# gamma	ks
  25.40338	  88.70863
   0.00000	  -0.00656
   0.10000	  -0.11765
   0.20000	  -0.15775
   0.30000	  -0.08541
   0.40000	  -0.02845
   0.50000	  -0.05825
   0.60000	  -0.09686
   0.70000	  -0.12303
   0.80000	  -0.01836
   0.90000	  -0.00631
   1.00000	   0.09025
   1.10000	   0.13131
   1.20000	   0.04424
   1.30000	   0.14948
   1.40000	   0.07786
   1.50000	   0.00956
   1.60000	  -0.03941
   1.70000	  -0.08514
   1.80000	   0.00196
   1.90000	  -0.02164
   2.00000	  -0.12919
   2.10000	  -0.13114
   2.20000	  -0.11725
   2.30000	  -0.07803
   2.40000	   0.04923
   2.50000	  -0.01025
   2.60000	   0.13675
   2.70000	   0.04407
   2.80000	   0.03080
   2.90000	   0.11696
   3.00000	   0.10129
   3.10000	   0.04120
   3.20000	  -0.11490
   3.30000	  -0.21858
   3.40000	  -0.18196
   3.50000	  -0.13031
   3.60000	  -0.09029
   3.70000	  -0.22187
   3.80000	  -0.18247
   3.90000	  -0.16792
   4.00000	  -0.12625
   4.10000	  -0.01999
   4.20000	  -0.05085
   4.30000	  -0.00441
   4.40000	   0.05951
   4.50000	   0.05931
   4.60000	   0.02976
   4.70000	   0.01583
   4.80000	   0.06001
   4.90000	   0.06459
   5.00000	   0.12046
   5.10000	   0.11616
   5.20000	   0.02974
   5.30000	   0.04392
   5.40000	   0.12939
   5.50000	   0.21174
   5.60000	   0.13856
   5.70000	   0.02519
   5.80000	  -0.00117
   5.90000	   0.12120
   6.00000	   0.13514
   6.10000	   0.12352
   6.20000	   0.06217
   6.30000	   0.01519
   6.40000	  -0.05553
   6.50000	  -0.12851
   6.60000	  -0.19558
   6.70000	  -0.12217
   6.80000	   0.03880
   6.90000	  -0.03601
   7.00000	  -0.00670
   7.10000	  -0.06858
   7.20000	  -0.20938
   7.30000	  -0.20818
   7.40000	  -0.08640
   7.50000	  -0.07216
   7.60000	   0.13164
   7.70000	   0.15415
   7.80000	   0.14036
   7.90000	   0.09561
   8.00000	  -0.00477
   8.10000	   0.00676
   8.20000	   0.07695
   8.30000	   0.03343
   8.40000	  -0.02651
   8.50000	  -0.04228
   8.60000	  -0.02483
   8.70000	  -0.04708
   8.80000	  -0.06644
   8.90000	   0.03749
   9.00000	   0.06341
   9.10000	  -0.03317
   9.20000	  -0.10838
   9.30000	  -0.04955
   9.40000	  -0.05486
   9.50000	   0.00130
   9.60000	   0.07794
   9.70000	  -0.09132
   9.80000	  -0.18986
   9.90000	  -0.16780
  10.00000	  -0.03994
  10.10000	  -0.03382
  10.20000	  -0.05015
  10.30000	  -0.06441
  10.40000	   0.01662
  10.50000	   0.02443
  10.60000	   0.14052
  10.70000	   0.09904
  10.80000	   0.17388
  10.90000	   0.08407
  11.00000	   0.11744
  11.10000	   0.04146
  11.20000	   0.08451
  11.30000	   0.21063
  11.40000	   0.19872
  11.50000	   0.04269
  11.60000	   0.03581
  11.70000	   0.04331
  11.80000	  -0.04607
  11.90000	  -0.12698
  12.00000	  -0.07776
  12.10000	   0.05643
  12.20000	   0.09300
  12.30000	   0.09573
  12.40000	   0.19083
  12.50000	   0.19988
  12.60000	   0.25300
  12.70000	   0.21334
  12.80000	   0.18771
  12.90000	   0.14220
  13.00000	   0.02327
  13.10000	  -0.04922
  13.20000	  -0.18716
  13.30000	  -0.15736
  13.40000	  -0.09958
  13.50000	  -0.03255
  13.60000	   0.00408
  13.70000	   0.12343
  13.80000	   0.16172
  13.90000	   0.04050
  14.00000	   0.01650
  14.10000	  -0.03515
  14.20000	   0.02143
  14.30000	   0.09320
  14.40000	   0.10725
  14.50000	   0.18001
  14.60000	   0.20712
  14.70000	   0.24011
  14.80000	   0.28019
  14.90000	   0.16445
  15.00000	   0.02677
  15.10000	  -0.03887
  15.20000	  -0.07596
  15.30000	  -0.08351
  15.40000	  -0.07259
  15.50000	  -0.21368
  15.60000	  -0.12051
  15.70000	  -0.15392
  15.80000	  -0.23352
  15.90000	  -0.15196
  16.00000	  -0.14416
  16.10000	  -0.14754
  16.20000	  -0.09399
  16.30000	   0.01472
  16.40000	   0.01142
  16.50000	   0.05145
  16.60000	   0.13187
  16.70000	   0.08156
  16.80000	  -0.11404
  16.90000	  -0.22127
  17.00000	  -0.17391
  17.10000	  -0.08768
  17.20000	  -0.14346
  17.30000	  -0.08644
  17.40000	  -0.16512
  17.50000	  -0.06557
  17.60000	  -0.02697
  17.70000	   0.03047
  17.80000	   0.02113
  17.90000	   0.08095
  18.00000	   0.19181
  18.10000	   0.15780
  18.20000	   0.13608
  18.30000	   0.16652
  18.40000	   0.07725
  18.50000	  -0.01458
  18.60000	  -0.00302
  18.70000	  -0.02799
  18.80000	  -0.00192
  18.90000	   0.03628
  19.00000	   0.02383
  19.10000	  -0.03859
  19.20000	  -0.00003
  19.30000	  -0.05132
  19.40000	   0.01233
  19.50000	   0.08659
  19.60000	   0.11371
  19.70000	   0.12956
  19.80000	   0.19629
  19.90000	   0.19336
  20.00000	   0.14071
  20.10000	   0.15275
  20.20000	   0.09424
  20.30000	  -0.01012
  20.40000	  -0.01437
  20.50000	   0.00548
  20.60000	   0.02646
  20.70000	  -0.00438
  20.80000	   0.02635
  20.90000	   0.12427
  21.00000	   0.13682
  21.10000	   0.06139
  21.20000	  -0.02143
  21.30000	  -0.15583
  21.40000	  -0.18508
  21.50000	  -0.15059
  21.60000	  -0.12066
  21.70000	  -0.00978
  21.80000	   0.03167
  21.90000	   0.16819
  22.00000	   0.05560
  22.10000	   0.03603
  22.20000	   0.05477
  22.30000	   0.04491
  22.40000	   0.05352
  22.50000	   0.04004
  22.60000	   0.18107
  22.70000	   0.10305
  22.80000	   0.06738
  22.90000	  -0.07987
  23.00000	  -0.03159
  23.10000	   0.06282
  23.20000	   0.03151
  23.30000	   0.01524
  23.40000	   0.07636
  23.50000	   0.16398
  23.60000	   0.23821
  23.70000	   0.24404
  23.80000	   0.21884
  23.90000	   0.07797
  24.00000	  -0.01044
  24.10000	   0.12655
  24.20000	   0.11752
  24.30000	   0.02126
  24.40000	   0.01885
  24.50000	   0.02209
  24.60000	   0.10421
  24.70000	   0.08572
  24.80000	   0.04013
  24.90000	   0.05127
  25.00000	   0.04737
  25.10000	  -0.01676
  25.20000	  -0.06419
  25.30000	  -0.04808
  25.40000	   0.07531
  25.50000	  -0.01947
  25.60000	  -0.01830
  25.70000	   0.03032
  25.80000	  -0.00492
  25.90000	  -0.07390
  26.00000	  -0.09396
  26.10000	   0.04277
  26.20000	   0.01553
  26.30000	   0.01760
  26.40000	   0.09825
  26.50000	   0.16183
  26.60000	   0.10810
  26.70000	   0.08560
  26.80000	   0.06657
  26.90000	   0.07776
  27.00000	   0.03841
  27.10000	   0.09518
  27.20000	   0.08982
  27.30000	   0.06685
  27.40000	   0.03787
  27.50000	  -0.14664
  27.60000	  -0.14646
  27.70000	  -0.08835
  27.80000	  -0.04358
  27.90000	  -0.11278
  28.00000	  -0.10110
  28.10000	  -0.05693
  28.20000	  -0.00343
  28.30000	   0.01658
  28.40000	  -0.07683
  28.50000	  -0.09153
  28.60000	  -0.10116
  28.70000	  -0.19988
  28.80000	  -0.16383
  28.90000	  -0.04207
  29.00000	  -0.05227
  29.10000	  -0.14820
  29.20000	  -0.17812
  29.30000	  -0.14743
  29.40000	  -0.11398
  29.50000	  -0.07036
  29.60000	   0.06177
  29.70000	   0.05072
  29.80000	   0.11424
  29.90000	   0.17524
  30.00000	   0.16330
  30.10000	   0.13819
  30.20000	   0.23123
  30.30000	   0.29023
  30.40000	   0.33721
  30.50000	   0.18459
  30.60000	   0.00820
  30.70000	  -0.06817
  30.80000	   0.00788
  30.90000	   0.02599
  31.00000	   0.02405
  31.10000	  -0.03763
  31.20000	   0.10302
  31.30000	   0.07473
  31.40000	  -0.01946
  31.50000	  -0.09757
  31.60000	  -0.09406
  31.70000	  -0.07986
  31.80000	  -0.08008
  31.90000	   0.01134
  32.00000	   0.08997
  32.10000	   0.12086
  32.20000	   0.14302
  32.30000	   0.04380
  32.40000	   0.07681
  32.50000	   0.05501
  32.60000	   0.01492
  32.70000	  -0.03241
  32.80000	  -0.08469
  32.90000	  -0.05802
  33.00000	   0.01996
  33.10000	  -0.04867
  33.20000	  -0.04810
  33.30000	  -0.06486
  33.40000	  -0.07022
  33.50000	   0.07256
  33.60000	   0.10245
  33.70000	   0.16518
  33.80000	   0.02143
  33.90000	  -0.06244
  34.00000	  -0.09552
  34.10000	  -0.08174
  34.20000	  -0.10241
  34.30000	  -0.12973
  34.40000	  -0.12391
  34.50000	  -0.07582
  34.60000	  -0.05498
  34.70000	  -0.00884
  34.80000	  -0.04078
  34.90000	  -0.03374
  35.00000	   0.05222
  35.10000	  -0.00542
  35.20000	   0.02563
  35.30000	   0.04589
  35.40000	   0.00651
  35.50000	   0.00449
  35.60000	  -0.08632
  35.70000	  -0.11380
  35.80000	  -0.08260
  35.90000	   0.07502
  36.00000	   0.02985
  36.10000	   0.01498
  36.20000	   0.09049
  36.30000	   0.15487
  36.40000	   0.08255
  36.50000	  -0.01241
  36.60000	   0.03463
  36.70000	   0.06652
  36.80000	   0.07108
  36.90000	   0.06321
  37.00000	   0.09189
  37.10000	   0.15714
  37.20000	   0.10979
  37.30000	  -0.00795
  37.40000	   0.05511
  37.50000	  -0.06864
  37.60000	  -0.11811
  37.70000	  -0.09623
  37.80000	  -0.04273
  37.90000	  -0.04133
  38.00000	  -0.10875
  38.10000	  -0.06073
  38.20000	  -0.03153
  38.30000	  -0.02805
  38.40000	  -0.04113
  38.50000	   0.02798
  38.60000	   0.02766
  38.70000	  -0.06405
  38.80000	  -0.06933
  38.90000	   0.07234
  39.00000	   0.05667
  39.10000	   0.09525
  39.20000	   0.18328
  39.30000	   0.30891
  39.40000	   0.31945
  39.50000	   0.29433
  39.60000	   0.23531
  39.70000	   0.25038
  39.80000	   0.12108
  39.90000	   0.14993
  40.00000	   0.03358
  40.10000	  -0.00829
  40.20000	  -0.05652
  40.30000	   0.01477
  40.40000	   0.13938
  40.50000	   0.15758
