# gamma	ks
  82.57681	  84.76963
   0.00000	  -0.06863
   0.10000	   0.03500
   0.20000	   0.00661
   0.30000	   0.01587
   0.40000	  -0.03095
   0.50000	  -0.04837
   0.60000	  -0.04338
   0.70000	  -0.07618
   0.80000	  -0.16176
   0.90000	  -0.16919
   1.00000	  -0.15340
   1.10000	  -0.15314
   1.20000	  -0.10971
   1.30000	  -0.13034
   1.40000	  -0.09965
   1.50000	  -0.13551
   1.60000	  -0.03924
   1.70000	  -0.04486
   1.80000	  -0.03792
   1.90000	  -0.05669
   2.00000	  -0.07284
   2.10000	  -0.05717
   2.20000	  -0.10747
   2.30000	  -0.07203
   2.40000	  -0.01469
   2.50000	   0.07217
   2.60000	   0.05759
   2.70000	   0.08818
   2.80000	   0.14125
   2.90000	   0.12817
   3.00000	   0.10477
   3.10000	   0.05308
   3.20000	   0.05626
   3.30000	   0.05764
   3.40000	   0.05575
   3.50000	   0.07027
   3.60000	   0.01541
   3.70000	  -0.05722
   3.80000	  -0.10446
   3.90000	  -0.10838
   4.00000	  -0.14326
   4.10000	  -0.14274
   4.20000	  -0.09772
   4.30000	  -0.08127
   4.40000	  -0.12826
   4.50000	  -0.15382
   4.60000	  -0.16056
   4.70000	  -0.17749
   4.80000	  -0.12794
   4.90000	   0.00158
   5.00000	   0.02630
   5.10000	  -0.02582
   5.20000	   0.04164
   5.30000	  -0.02797
   5.40000	  -0.08764
   5.50000	  -0.05111
   5.60000	  -0.12909
   5.70000	  -0.10430
   5.80000	  -0.09584
   5.90000	  -0.09582
   6.00000	  -0.09596
   6.10000	  -0.09148
   6.20000	  -0.19214
   6.30000	  -0.19097
   6.40000	  -0.18878
   6.50000	  -0.12499
   6.60000	  -0.08710
   6.70000	  -0.10295
   6.80000	  -0.02002
   6.90000	  -0.00291
   7.00000	  -0.02666
   7.10000	  -0.06006
   7.20000	  -0.03876
   7.30000	  -0.02522
   7.40000	  -0.01778
   7.50000	  -0.04595
   7.60000	   0.00841
   7.70000	   0.00416
   7.80000	   0.08601
   7.90000	   0.05946
   8.00000	   0.06708
   8.10000	   0.06821
   8.20000	   0.13918
   8.30000	   0.11634
   8.40000	   0.09813
   8.50000	   0.01267
   8.60000	   0.04902
   8.70000	   0.05300
   8.80000	   0.03182
   8.90000	   0.04949
   9.00000	   0.07697
   9.10000	   0.06117
   9.20000	   0.02308
   9.30000	  -0.03866
   9.40000	  -0.03455
   9.50000	   0.01657
   9.60000	  -0.00974
   9.70000	  -0.05221
   9.80000	   0.00738
   9.90000	  -0.00925
  10.00000	  -0.07588
  10.10000	   0.00156
  10.20000	  -0.10150
  10.30000	  -0.12088
  10.40000	  -0.14032
  10.50000	  -0.15247
  10.60000	  -0.18526
  10.70000	  -0.11029
  10.80000	  -0.09394
  10.90000	  -0.11126
  11.00000	  -0.14321
  11.10000	  -0.10351
  11.20000	  -0.14291
  11.30000	  -0.12437
  11.40000	  -0.11144
  11.50000	  -0.08132
  11.60000	  -0.06179
  11.70000	  -0.05144
  11.80000	   0.00444
  11.90000	   0.02897
  12.00000	   0.01225
  12.10000	  -0.03336
  12.20000	   0.01011
  12.30000	  -0.07587
  12.40000	  -0.03357
  12.50000	  -0.04546
  12.60000	  -0.00197
  12.70000	  -0.02793
  12.80000	  -0.03308
  12.90000	  -0.01124
  13.00000	   0.00809
  13.10000	   0.00736
  13.20000	   0.03659
  13.30000	   0.03104
  13.40000	   0.06296
  13.50000	   0.09840
  13.60000	   0.08965
  13.70000	  -0.04871
  13.80000	  -0.03161
  13.90000	  -0.05919
  14.00000	  -0.03267
  14.10000	  -0.08966
  14.20000	  -0.06989
  14.30000	  -0.02129
  14.40000	  -0.00807
  14.50000	   0.17867
  14.60000	   0.12737
  14.70000	   0.10003
  14.80000	   0.02858
  14.90000	   0.04014
  15.00000	   0.13865
  15.10000	   0.17254
  15.20000	   0.14077
  15.30000	   0.14653
  15.40000	   0.14555
  15.50000	   0.13603
  15.60000	   0.18709
  15.70000	   0.10534
  15.80000	   0.07925
  15.90000	   0.12586
  16.00000	   0.22745
  16.10000	   0.21285
  16.20000	   0.22881
  16.30000	   0.18375
  16.40000	   0.18911
  16.50000	   0.20110
  16.60000	   0.18964
  16.70000	   0.20363
  16.80000	   0.13504
  16.90000	   0.18703
  17.00000	   0.12465
  17.10000	   0.14425
  17.20000	   0.15462
  17.30000	   0.15247
  17.40000	   0.05573
  17.50000	  -0.01458
  17.60000	  -0.05741
  17.70000	   0.02145
  17.80000	   0.03580
  17.90000	   0.07261
  18.00000	   0.04378
  18.10000	   0.08768
  18.20000	   0.05728
  18.30000	   0.09917
  18.40000	   0.07956
  18.50000	   0.07940
  18.60000	   0.03863
  18.70000	   0.01872
  18.80000	   0.01755
  18.90000	   0.04848
  19.00000	   0.00291
  19.10000	  -0.00645
  19.20000	   0.06672
  19.30000	   0.01799
  19.40000	  -0.02515
  19.50000	  -0.03711
  19.60000	  -0.04941
  19.70000	   0.00110
  19.80000	  -0.00928
  19.90000	  -0.00579
  20.00000	   0.00237
  20.10000	   0.03102
  20.20000	   0.09727
  20.30000	   0.09552
  20.40000	   0.12042
  20.50000	   0.17680
  20.60000	   0.11590
  20.70000	   0.05018
  20.80000	   0.09694
  20.90000	   0.16776
  21.00000	   0.18767
  21.10000	   0.19522
  21.20000	   0.24962
  21.30000	   0.26116
  21.40000	   0.25458
  21.50000	   0.26639
  21.60000	   0.22058
  21.70000	   0.15775
  21.80000	   0.14905
  21.90000	   0.15097
  22.00000	   0.15483
  22.10000	   0.11642
  22.20000	   0.17664
  22.30000	   0.21848
  22.40000	   0.14222
  22.50000	   0.08292
  22.60000	  -0.01842
  22.70000	  -0.04079
  22.80000	   0.05959
  22.90000	   0.09447
  23.00000	   0.05777
  23.10000	   0.09112
  23.20000	   0.08011
  23.30000	   0.14573
  23.40000	   0.12765
  23.50000	   0.06756
  23.60000	   0.08343
  23.70000	  -0.01017
  23.80000	  -0.02652
  23.90000	   0.03621
  24.00000	   0.04758
  24.10000	  -0.01309
  24.20000	   0.08533
  24.30000	   0.06857
  24.40000	   0.14042
  24.50000	   0.03833
  24.60000	  -0.03703
  24.70000	  -0.00806
  24.80000	   0.02126
  24.90000	   0.05039
  25.00000	   0.04596
  25.10000	   0.13685
  25.20000	   0.14605
  25.30000	   0.14541
  25.40000	   0.17578
  25.50000	   0.14480
  25.60000	   0.03256
  25.70000	   0.01997
  25.80000	   0.06054
  25.90000	   0.04736
  26.00000	  -0.02361
  26.10000	  -0.05628
  26.20000	  -0.02764
  26.30000	  -0.07942
  26.40000	  -0.10070
  26.50000	  -0.10667
  26.60000	  -0.03000
  26.70000	  -0.08262
  26.80000	   0.01536
  26.90000	   0.09720
  27.00000	   0.10774
  27.10000	   0.15997
  27.20000	   0.18301
