# gamma	ks
  29.04176	  51.55909
   0.00000	  -0.06211
   0.10000	  -0.12642
   0.20000	  -0.09849
   0.30000	  -0.14777
   0.40000	  -0.15335
   0.50000	  -0.21823
   0.60000	  -0.25822
   0.70000	  -0.24930
   0.80000	  -0.21268
   0.90000	  -0.09454
   1.00000	  -0.14609
   1.10000	  -0.12436
   1.20000	  -0.12079
   1.30000	  -0.24316
   1.40000	  -0.15921
   1.50000	  -0.19880
   1.60000	  -0.14792
   1.70000	  -0.14225
   1.80000	  -0.14410
   1.90000	  -0.19684
   2.00000	  -0.23109
   2.10000	  -0.23449
   2.20000	  -0.18374
   2.30000	  -0.14894
   2.40000	  -0.18814
   2.50000	  -0.17609
   2.60000	  -0.13086
   2.70000	  -0.15674
   2.80000	  -0.22396
   2.90000	  -0.30956
   3.00000	  -0.21057
   3.10000	  -0.12724
   3.20000	  -0.07604
   3.30000	  -0.01455
   3.40000	   0.00673
   3.50000	  -0.02581
   3.60000	   0.15181
   3.70000	   0.13071
   3.80000	   0.12484
   3.90000	   0.10934
   4.00000	   0.13974
   4.10000	   0.08866
   4.20000	   0.05360
   4.30000	   0.11621
   4.40000	   0.16300
   4.50000	   0.16440
   4.60000	   0.14761
   4.70000	  -0.00664
   4.80000	  -0.17609
   4.90000	  -0.16134
   5.00000	  -0.07599
   5.10000	  -0.06323
   5.20000	  -0.02331
   5.30000	  -0.02806
   5.40000	  -0.01131
   5.50000	  -0.04102
   5.60000	   0.00876
   5.70000	   0.08138
   5.80000	   0.02882
   5.90000	   0.04434
   6.00000	   0.09674
   6.10000	  -0.03469
   6.20000	  -0.07524
   6.30000	  -0.07361
   6.40000	  -0.16535
   6.50000	  -0.19052
   6.60000	  -0.18855
   6.70000	  -0.11816
   6.80000	  -0.18259
   6.90000	  -0.17148
   7.00000	  -0.19863
   7.10000	  -0.10519
   7.20000	  -0.16149
   7.30000	  -0.18726
   7.40000	  -0.24888
   7.50000	  -0.35125
   7.60000	  -0.39104
   7.70000	  -0.31548
   7.80000	  -0.32423
   7.90000	  -0.28926
   8.00000	  -0.10569
   8.10000	  -0.09782
   8.20000	  -0.14867
   8.30000	  -0.07747
   8.40000	  -0.03975
   8.50000	  -0.06640
   8.60000	   0.07337
   8.70000	   0.06868
   8.80000	   0.03825
   8.90000	  -0.13988
   9.00000	  -0.17108
   9.10000	  -0.10394
   9.20000	   0.03547
   9.30000	   0.00757
   9.40000	   0.04907
   9.50000	   0.13095
   9.60000	   0.10212
   9.70000	   0.09399
   9.80000	   0.06300
   9.90000	   0.05808
  10.00000	   0.06735
  10.10000	  -0.00409
  10.20000	   0.05610
  10.30000	  -0.06860
  10.40000	  -0.08434
  10.50000	  -0.07999
  10.60000	  -0.11305
  10.70000	  -0.11804
  10.80000	  -0.13944
  10.90000	  -0.13487
  11.00000	   0.03268
  11.10000	   0.06312
  11.20000	   0.05402
  11.30000	  -0.07128
  11.40000	   0.02031
  11.50000	   0.01892
  11.60000	   0.13820
  11.70000	   0.03964
  11.80000	   0.01826
  11.90000	  -0.05680
  12.00000	  -0.07634
  12.10000	  -0.12953
  12.20000	  -0.09160
  12.30000	   0.00961
  12.40000	   0.13392
  12.50000	   0.10762
  12.60000	  -0.05724
  12.70000	  -0.13828
  12.80000	  -0.20297
  12.90000	  -0.29468
  13.00000	  -0.27181
  13.10000	  -0.26600
  13.20000	  -0.32298
  13.30000	  -0.24972
  13.40000	  -0.15231
  13.50000	  -0.17850
  13.60000	  -0.03074
  13.70000	   0.01398
  13.80000	   0.03393
  13.90000	   0.04504
  14.00000	   0.08051
  14.10000	  -0.02908
  14.20000	   0.02563
  14.30000	  -0.06721
  14.40000	  -0.13595
  14.50000	  -0.07113
  14.60000	  -0.08082
  14.70000	   0.01015
  14.80000	  -0.09268
  14.90000	  -0.16718
  15.00000	  -0.13345
  15.10000	  -0.18221
  15.20000	  -0.20277
  15.30000	  -0.11706
  15.40000	  -0.07025
  15.50000	  -0.02988
  15.60000	   0.10107
  15.70000	   0.09029
  15.80000	   0.05868
  15.90000	  -0.01720
  16.00000	  -0.01275
  16.10000	  -0.01254
  16.20000	  -0.05528
  16.30000	  -0.13533
  16.40000	  -0.18080
  16.50000	  -0.29838
  16.60000	  -0.25636
  16.70000	  -0.23426
  16.80000	  -0.27643
  16.90000	  -0.25262
  17.00000	  -0.14302
  17.10000	  -0.13004
  17.20000	  -0.11374
  17.30000	  -0.06445
  17.40000	  -0.04871
  17.50000	  -0.05923
  17.60000	  -0.14000
  17.70000	  -0.39645
  17.80000	  -0.45212
  17.90000	  -0.32021
  18.00000	  -0.20442
  18.10000	  -0.14816
  18.20000	  -0.20229
  18.30000	  -0.19468
  18.40000	  -0.02209
  18.50000	   0.12534
  18.60000	   0.16577
  18.70000	   0.18689
  18.80000	   0.13991
  18.90000	   0.08614
  19.00000	   0.13423
  19.10000	   0.15874
  19.20000	   0.15064
  19.30000	   0.13106
  19.40000	   0.06879
  19.50000	  -0.01299
  19.60000	  -0.03698
  19.70000	  -0.02214
  19.80000	   0.06404
  19.90000	   0.06842
  20.00000	   0.08358
  20.10000	   0.01159
  20.20000	   0.01845
  20.30000	  -0.07525
  20.40000	   0.04039
  20.50000	   0.04437
  20.60000	   0.06032
  20.70000	   0.04980
  20.80000	   0.05203
  20.90000	   0.10630
  21.00000	   0.16539
  21.10000	   0.20432
  21.20000	   0.16025
  21.30000	   0.17022
  21.40000	   0.11107
  21.50000	   0.05074
  21.60000	   0.09404
  21.70000	   0.12246
  21.80000	   0.19537
  21.90000	   0.19728
  22.00000	   0.14222
  22.10000	   0.07145
  22.20000	   0.01864
  22.30000	   0.01545
  22.40000	  -0.06604
  22.50000	  -0.10822
  22.60000	  -0.01455
  22.70000	   0.05779
  22.80000	   0.04814
  22.90000	   0.02676
  23.00000	  -0.05848
  23.10000	  -0.16842
  23.20000	  -0.12690
  23.30000	  -0.18513
  23.40000	  -0.12486
  23.50000	   0.03351
  23.60000	   0.09417
  23.70000	   0.06003
  23.80000	   0.11902
  23.90000	   0.04024
  24.00000	   0.02204
  24.10000	  -0.00283
  24.20000	   0.02752
  24.30000	   0.15919
  24.40000	   0.15864
  24.50000	   0.12304
  24.60000	   0.00639
  24.70000	  -0.12907
  24.80000	  -0.08288
  24.90000	   0.00066
  25.00000	   0.07613
  25.10000	  -0.05794
  25.20000	  -0.06946
  25.30000	  -0.02009
  25.40000	   0.17822
  25.50000	   0.19079
  25.60000	   0.24674
  25.70000	   0.24546
  25.80000	   0.16305
  25.90000	   0.26675
  26.00000	   0.34518
  26.10000	   0.32037
  26.20000	   0.13897
  26.30000	   0.09979
  26.40000	   0.11139
  26.50000	   0.06731
  26.60000	  -0.06650
  26.70000	  -0.17608
  26.80000	  -0.04071
  26.90000	  -0.07597
  27.00000	   0.01329
  27.10000	   0.00806
  27.20000	  -0.03492
  27.30000	   0.09857
  27.40000	   0.10918
  27.50000	   0.17797
  27.60000	   0.19105
  27.70000	   0.19936
  27.80000	   0.17671
  27.90000	   0.24932
  28.00000	   0.14442
  28.10000	   0.04439
  28.20000	   0.06684
  28.30000	   0.08565
  28.40000	   0.11133
  28.50000	   0.18344
  28.60000	   0.12831
  28.70000	   0.11154
  28.80000	   0.06600
  28.90000	   0.07750
  29.00000	  -0.02465
  29.10000	  -0.06906
  29.20000	  -0.13294
  29.30000	  -0.27255
  29.40000	  -0.30772
  29.50000	  -0.16731
  29.60000	  -0.10017
  29.70000	  -0.05862
  29.80000	  -0.05699
  29.90000	  -0.12939
  30.00000	  -0.16033
  30.10000	  -0.12858
  30.20000	  -0.18663
  30.30000	  -0.31889
  30.40000	  -0.29550
  30.50000	  -0.14829
  30.60000	  -0.22035
  30.70000	  -0.20894
  30.80000	  -0.16079
  30.90000	  -0.18529
  31.00000	  -0.11239
  31.10000	  -0.12193
  31.20000	  -0.04526
  31.30000	  -0.05774
  31.40000	  -0.09123
  31.50000	  -0.15849
  31.60000	  -0.11497
  31.70000	  -0.22189
  31.80000	  -0.16003
  31.90000	  -0.20669
  32.00000	  -0.11420
  32.10000	  -0.19942
  32.20000	  -0.10869
  32.30000	  -0.16880
  32.40000	  -0.10647
  32.50000	  -0.18537
  32.60000	  -0.12548
  32.70000	   0.00561
  32.80000	   0.01949
  32.90000	   0.05569
  33.00000	  -0.01437
  33.10000	  -0.03990
  33.20000	  -0.01129
  33.30000	   0.03441
  33.40000	   0.21135
  33.50000	   0.19159
  33.60000	   0.06751
  33.70000	   0.00509
  33.80000	  -0.01792
  33.90000	  -0.22698
  34.00000	  -0.26241
  34.10000	  -0.22257
