# gamma	ks
  28.79828	  81.71264
   0.00000	   0.09412
   0.10000	   0.00574
   0.20000	  -0.06386
   0.30000	  -0.07519
   0.40000	  -0.02562
   0.50000	   0.01415
   0.60000	   0.01605
   0.70000	   0.00091
   0.80000	   0.07726
   0.90000	   0.13395
   1.00000	   0.19798
   1.10000	   0.19598
   1.20000	   0.17166
   1.30000	   0.15588
   1.40000	   0.16164
   1.50000	   0.31583
   1.60000	   0.17404
   1.70000	   0.12390
   1.80000	  -0.03742
   1.90000	  -0.06485
   2.00000	   0.05151
   2.10000	   0.14466
   2.20000	   0.16338
   2.30000	   0.11579
   2.40000	   0.05771
   2.50000	  -0.00808
   2.60000	   0.00891
   2.70000	  -0.01614
   2.80000	   0.05739
   2.90000	   0.06631
   3.00000	   0.04256
   3.10000	   0.01948
   3.20000	  -0.05155
   3.30000	  -0.06377
   3.40000	  -0.07310
   3.50000	  -0.08195
   3.60000	  -0.02640
   3.70000	  -0.07190
   3.80000	  -0.08266
   3.90000	  -0.06894
   4.00000	  -0.08295
   4.10000	  -0.07541
   4.20000	   0.06202
   4.30000	   0.05708
   4.40000	   0.02189
   4.50000	  -0.01393
   4.60000	  -0.06020
   4.70000	   0.00583
   4.80000	  -0.06148
   4.90000	  -0.07946
   5.00000	  -0.16665
   5.10000	  -0.25541
   5.20000	  -0.32407
   5.30000	  -0.19316
   5.40000	  -0.22454
   5.50000	  -0.31657
   5.60000	  -0.28792
   5.70000	  -0.31682
   5.80000	  -0.34673
   5.90000	  -0.25339
   6.00000	  -0.07315
   6.10000	  -0.05475
   6.20000	   0.07922
   6.30000	   0.15726
   6.40000	   0.19624
   6.50000	   0.16561
   6.60000	   0.20780
   6.70000	   0.22213
   6.80000	   0.15513
   6.90000	   0.14105
   7.00000	   0.15872
   7.10000	   0.11484
   7.20000	   0.00556
   7.30000	  -0.02945
   7.40000	  -0.04020
   7.50000	  -0.09295
   7.60000	  -0.12097
   7.70000	  -0.13040
   7.80000	  -0.18883
   7.90000	  -0.20515
   8.00000	  -0.11381
   8.10000	  -0.12120
   8.20000	  -0.15779
   8.30000	  -0.22748
   8.40000	  -0.13500
   8.50000	  -0.18987
   8.60000	  -0.19327
   8.70000	  -0.16288
   8.80000	  -0.05810
   8.90000	  -0.07411
   9.00000	  -0.05715
   9.10000	  -0.00669
   9.20000	  -0.02875
   9.30000	   0.02765
   9.40000	  -0.02478
   9.50000	   0.00390
   9.60000	  -0.03564
   9.70000	  -0.04252
   9.80000	  -0.09599
   9.90000	  -0.09650
  10.00000	  -0.07647
  10.10000	  -0.12083
  10.20000	  -0.08948
  10.30000	  -0.06246
  10.40000	  -0.17672
  10.50000	  -0.19095
  10.60000	  -0.01288
  10.70000	   0.12461
  10.80000	   0.12112
  10.90000	   0.08576
  11.00000	   0.10011
  11.10000	   0.15611
  11.20000	   0.11415
  11.30000	   0.06450
  11.40000	  -0.07218
  11.50000	  -0.17741
  11.60000	  -0.14133
  11.70000	  -0.12271
  11.80000	  -0.04389
  11.90000	  -0.13451
  12.00000	  -0.13374
  12.10000	  -0.17838
  12.20000	  -0.26495
  12.30000	  -0.17459
  12.40000	  -0.21288
  12.50000	  -0.22210
  12.60000	  -0.20725
  12.70000	  -0.09466
  12.80000	  -0.10935
  12.90000	  -0.10817
  13.00000	  -0.06521
  13.10000	  -0.01420
  13.20000	  -0.06165
  13.30000	  -0.14913
  13.40000	  -0.17153
  13.50000	  -0.13928
  13.60000	  -0.10191
  13.70000	  -0.03576
  13.80000	   0.02929
