# gamma	ks
  53.44931	  88.06115
   0.00000	   0.05604
   0.10000	  -0.03426
   0.20000	  -0.02505
   0.30000	  -0.01328
   0.40000	   0.00703
   0.50000	   0.06713
   0.60000	   0.09637
   0.70000	   0.17749
   0.80000	   0.14789
   0.90000	   0.13674
   1.00000	   0.10290
   1.10000	   0.16152
   1.20000	   0.11453
   1.30000	   0.11868
   1.40000	   0.14456
   1.50000	   0.09764
   1.60000	   0.06266
   1.70000	   0.00310
   1.80000	   0.19275
   1.90000	   0.20879
   2.00000	   0.22676
   2.10000	   0.07784
   2.20000	  -0.00964
   2.30000	  -0.05733
   2.40000	  -0.04684
   2.50000	  -0.01177
   2.60000	  -0.15075
   2.70000	  -0.16718
   2.80000	  -0.15825
   2.90000	  -0.10503
   3.00000	  -0.10382
   3.10000	  -0.09780
   3.20000	  -0.10429
   3.30000	  -0.06935
   3.40000	  -0.13988
   3.50000	  -0.12542
   3.60000	  -0.10037
   3.70000	   0.01265
   3.80000	   0.00536
   3.90000	   0.09523
   4.00000	   0.13161
   4.10000	   0.02203
   4.20000	   0.01492
   4.30000	   0.08328
   4.40000	   0.07212
   4.50000	   0.04395
   4.60000	  -0.03982
   4.70000	   0.03625
   4.80000	  -0.01231
   4.90000	  -0.04778
   5.00000	   0.07304
   5.10000	  -0.02274
   5.20000	  -0.11915
   5.30000	  -0.20422
   5.40000	  -0.20380
   5.50000	  -0.10040
   5.60000	  -0.12127
   5.70000	  -0.11753
   5.80000	  -0.06280
   5.90000	   0.00529
   6.00000	   0.03494
   6.10000	   0.04098
   6.20000	   0.13051
   6.30000	   0.07801
   6.40000	   0.14590
   6.50000	   0.15344
   6.60000	   0.10723
   6.70000	   0.16171
   6.80000	   0.13772
   6.90000	   0.16584
   7.00000	   0.17341
   7.10000	   0.04221
   7.20000	   0.11863
   7.30000	   0.21342
   7.40000	   0.04357
   7.50000	  -0.01882
   7.60000	  -0.02209
   7.70000	  -0.06665
   7.80000	   0.00806
   7.90000	   0.09280
   8.00000	   0.11089
   8.10000	   0.15918
   8.20000	   0.09357
   8.30000	   0.04223
   8.40000	   0.02865
   8.50000	   0.10206
   8.60000	   0.03582
   8.70000	   0.01413
   8.80000	   0.02090
   8.90000	  -0.07652
   9.00000	  -0.12212
   9.10000	  -0.11720
   9.20000	  -0.06316
   9.30000	  -0.15188
   9.40000	  -0.11129
   9.50000	  -0.01105
   9.60000	   0.06212
   9.70000	  -0.02233
   9.80000	   0.08458
   9.90000	   0.06682
  10.00000	   0.08658
  10.10000	  -0.07354
  10.20000	  -0.00718
  10.30000	  -0.03284
  10.40000	   0.09279
  10.50000	   0.03158
  10.60000	   0.09406
  10.70000	   0.18835
  10.80000	   0.21638
  10.90000	   0.26589
  11.00000	   0.15384
  11.10000	   0.12076
  11.20000	   0.12499
  11.30000	   0.16878
  11.40000	   0.20511
  11.50000	   0.17617
  11.60000	   0.04256
  11.70000	  -0.00260
  11.80000	   0.05761
  11.90000	   0.03518
  12.00000	  -0.02879
  12.10000	  -0.13244
  12.20000	  -0.11824
  12.30000	  -0.03700
  12.40000	  -0.07216
  12.50000	  -0.11113
  12.60000	   0.03387
  12.70000	   0.00931
  12.80000	   0.03979
  12.90000	   0.09082
  13.00000	   0.02837
  13.10000	   0.06101
  13.20000	   0.07853
  13.30000	   0.10586
  13.40000	   0.08034
  13.50000	   0.04596
  13.60000	   0.03337
  13.70000	  -0.05076
  13.80000	  -0.04586
  13.90000	  -0.13484
  14.00000	  -0.28064
  14.10000	  -0.28049
  14.20000	  -0.21939
  14.30000	  -0.18682
  14.40000	  -0.13304
  14.50000	  -0.25731
  14.60000	  -0.20569
  14.70000	  -0.17489
  14.80000	  -0.14844
  14.90000	  -0.11715
  15.00000	  -0.17217
  15.10000	  -0.28298
  15.20000	  -0.25779
  15.30000	  -0.13510
  15.40000	  -0.21418
  15.50000	  -0.22162
  15.60000	  -0.25104
  15.70000	  -0.18394
  15.80000	  -0.16477
  15.90000	  -0.28635
  16.00000	  -0.29504
  16.10000	  -0.35994
  16.20000	  -0.44345
  16.30000	  -0.46365
  16.40000	  -0.31650
  16.50000	  -0.28947
  16.60000	  -0.28975
  16.70000	  -0.26484
  16.80000	  -0.13886
  16.90000	  -0.10863
  17.00000	  -0.03066
  17.10000	  -0.03334
  17.20000	  -0.06015
  17.30000	  -0.02934
  17.40000	   0.01420
  17.50000	   0.12230
  17.60000	   0.08624
  17.70000	   0.10121
  17.80000	   0.07260
  17.90000	   0.00836
  18.00000	   0.12515
  18.10000	   0.15000
  18.20000	   0.17497
  18.30000	   0.13036
  18.40000	   0.12510
  18.50000	   0.17755
  18.60000	   0.17466
  18.70000	   0.18716
  18.80000	   0.15053
  18.90000	   0.15760
  19.00000	   0.12381
  19.10000	   0.04278
  19.20000	   0.05774
  19.30000	   0.10400
  19.40000	  -0.01230
  19.50000	  -0.06020
  19.60000	  -0.09046
  19.70000	  -0.03148
  19.80000	  -0.06589
  19.90000	  -0.09243
  20.00000	  -0.07432
  20.10000	  -0.10852
  20.20000	  -0.12014
  20.30000	  -0.15760
  20.40000	  -0.19209
  20.50000	  -0.14693
  20.60000	  -0.04134
  20.70000	  -0.10064
  20.80000	  -0.04367
  20.90000	  -0.02486
  21.00000	  -0.14418
  21.10000	  -0.21670
  21.20000	  -0.18682
  21.30000	  -0.13540
  21.40000	  -0.13341
  21.50000	  -0.08655
  21.60000	  -0.05536
  21.70000	   0.08314
  21.80000	   0.06792
  21.90000	   0.03639
  22.00000	  -0.02397
  22.10000	  -0.06371
  22.20000	  -0.07607
  22.30000	  -0.11285
  22.40000	  -0.06436
  22.50000	  -0.00645
  22.60000	  -0.05252
  22.70000	  -0.10748
  22.80000	  -0.05572
  22.90000	  -0.06119
  23.00000	  -0.00270
  23.10000	   0.00177
  23.20000	  -0.01808
  23.30000	   0.05429
  23.40000	   0.06987
  23.50000	   0.07251
  23.60000	   0.12366
  23.70000	   0.08785
  23.80000	  -0.02386
  23.90000	  -0.09759
  24.00000	  -0.07987
  24.10000	  -0.13770
  24.20000	  -0.22797
  24.30000	  -0.27410
  24.40000	  -0.23910
  24.50000	  -0.24859
  24.60000	  -0.20033
  24.70000	  -0.14672
  24.80000	  -0.11862
  24.90000	  -0.10667
  25.00000	  -0.14009
  25.10000	  -0.16925
  25.20000	  -0.20770
  25.30000	  -0.29964
  25.40000	  -0.25876
  25.50000	  -0.24744
  25.60000	  -0.20474
  25.70000	  -0.14166
  25.80000	  -0.04477
  25.90000	  -0.01011
  26.00000	   0.08238
  26.10000	   0.01489
  26.20000	   0.02997
  26.30000	   0.04879
  26.40000	   0.01742
  26.50000	  -0.01165
  26.60000	  -0.04250
  26.70000	  -0.03630
  26.80000	   0.02715
  26.90000	   0.10229
  27.00000	   0.11317
  27.10000	   0.06725
  27.20000	   0.04796
  27.30000	   0.03835
  27.40000	   0.07106
  27.50000	   0.12471
  27.60000	   0.07347
  27.70000	   0.11202
  27.80000	   0.05529
  27.90000	   0.15218
  28.00000	   0.21420
  28.10000	   0.12184
  28.20000	   0.07157
  28.30000	   0.08188
  28.40000	   0.01777
  28.50000	   0.10822
  28.60000	   0.08701
  28.70000	   0.10349
  28.80000	   0.05339
  28.90000	   0.05690
  29.00000	   0.01890
  29.10000	  -0.03131
  29.20000	  -0.02522
  29.30000	  -0.00847
  29.40000	   0.02529
  29.50000	  -0.02168
  29.60000	  -0.08007
  29.70000	  -0.05959
  29.80000	  -0.13609
  29.90000	  -0.13893
  30.00000	  -0.13606
  30.10000	  -0.14075
  30.20000	  -0.17408
  30.30000	  -0.10969
  30.40000	  -0.07164
  30.50000	  -0.11186
  30.60000	  -0.12721
  30.70000	  -0.09839
  30.80000	  -0.09545
  30.90000	  -0.11417
  31.00000	  -0.19863
  31.10000	  -0.22874
  31.20000	  -0.12487
  31.30000	  -0.05416
  31.40000	   0.00851
  31.50000	   0.12348
  31.60000	   0.09059
  31.70000	   0.07156
  31.80000	   0.03297
  31.90000	  -0.03772
  32.00000	  -0.05026
  32.10000	  -0.05126
  32.20000	  -0.10695
  32.30000	  -0.04521
  32.40000	   0.01168
  32.50000	  -0.08978
  32.60000	  -0.10523
