# gamma	ks
  16.06416	  64.70053
   0.00000	   0.27762
   0.10000	   0.27703
   0.20000	   0.18859
   0.30000	   0.13987
   0.40000	   0.18157
   0.50000	   0.15759
   0.60000	   0.08472
   0.70000	   0.07836
   0.80000	   0.10068
   0.90000	   0.10378
   1.00000	  -0.00021
   1.10000	  -0.01559
   1.20000	   0.01830
   1.30000	  -0.03875
   1.40000	   0.00733
   1.50000	  -0.01600
   1.60000	   0.13016
   1.70000	   0.14546
   1.80000	   0.15134
   1.90000	   0.06529
   2.00000	  -0.01617
   2.10000	  -0.07765
   2.20000	  -0.00573
   2.30000	   0.03205
   2.40000	  -0.05372
   2.50000	  -0.13410
   2.60000	  -0.11374
   2.70000	  -0.08161
   2.80000	  -0.16082
   2.90000	  -0.05917
   3.00000	  -0.01173
   3.10000	  -0.02165
   3.20000	   0.01443
   3.30000	  -0.11779
   3.40000	  -0.05103
   3.50000	  -0.04911
   3.60000	  -0.15656
   3.70000	  -0.11626
   3.80000	  -0.16351
   3.90000	  -0.09472
   4.00000	  -0.07254
   4.10000	  -0.04100
   4.20000	  -0.02949
   4.30000	   0.08166
   4.40000	   0.13947
   4.50000	   0.08187
   4.60000	  -0.05971
   4.70000	  -0.07526
   4.80000	   0.11450
   4.90000	   0.21560
   5.00000	   0.19361
   5.10000	   0.18686
   5.20000	   0.21316
   5.30000	   0.19169
   5.40000	   0.19786
   5.50000	   0.08500
   5.60000	  -0.07717
   5.70000	  -0.08874
   5.80000	  -0.06686
   5.90000	  -0.03086
   6.00000	   0.04160
   6.10000	   0.07323
   6.20000	  -0.04088
   6.30000	  -0.02732
   6.40000	   0.03229
   6.50000	  -0.00187
   6.60000	   0.04498
   6.70000	   0.06714
   6.80000	   0.11585
   6.90000	  -0.02654
   7.00000	  -0.15627
   7.10000	  -0.17996
   7.20000	  -0.14468
   7.30000	  -0.08754
   7.40000	  -0.03094
   7.50000	   0.03202
   7.60000	   0.12827
   7.70000	   0.17377
   7.80000	   0.15314
   7.90000	   0.07846
   8.00000	   0.19264
   8.10000	   0.14885
   8.20000	   0.09143
   8.30000	   0.09480
   8.40000	  -0.04598
   8.50000	  -0.07212
   8.60000	  -0.06928
   8.70000	  -0.02930
   8.80000	  -0.13429
   8.90000	   0.02697
   9.00000	   0.26234
   9.10000	   0.37997
   9.20000	   0.29739
   9.30000	   0.12332
   9.40000	   0.05786
   9.50000	   0.00818
   9.60000	   0.01315
   9.70000	   0.05691
   9.80000	   0.02589
   9.90000	   0.01993
  10.00000	  -0.02140
  10.10000	  -0.01294
  10.20000	   0.05995
  10.30000	   0.14524
  10.40000	   0.14803
  10.50000	   0.07455
  10.60000	   0.03344
  10.70000	   0.08378
  10.80000	   0.18361
  10.90000	   0.14031
  11.00000	   0.03495
  11.10000	  -0.15355
  11.20000	  -0.25009
  11.30000	  -0.26935
  11.40000	  -0.32495
  11.50000	  -0.27250
  11.60000	  -0.25806
  11.70000	  -0.15961
  11.80000	  -0.09424
  11.90000	  -0.09511
  12.00000	  -0.03265
  12.10000	  -0.07382
  12.20000	  -0.01542
  12.30000	  -0.07746
  12.40000	   0.02546
  12.50000	   0.06681
  12.60000	  -0.04796
  12.70000	  -0.09945
  12.80000	  -0.09789
  12.90000	  -0.15285
  13.00000	  -0.08683
  13.10000	  -0.02135
  13.20000	   0.03006
  13.30000	   0.09656
  13.40000	   0.07406
  13.50000	   0.03910
  13.60000	   0.10716
  13.70000	   0.11124
  13.80000	   0.02528
  13.90000	  -0.01153
  14.00000	  -0.10041
  14.10000	  -0.14280
  14.20000	  -0.21382
  14.30000	  -0.25543
  14.40000	  -0.20048
  14.50000	  -0.14949
  14.60000	  -0.16673
  14.70000	  -0.23276
  14.80000	  -0.17348
  14.90000	  -0.22363
  15.00000	  -0.20005
  15.10000	  -0.09489
  15.20000	  -0.01413
  15.30000	   0.04641
  15.40000	  -0.01215
  15.50000	  -0.06639
  15.60000	  -0.00858
  15.70000	   0.08409
  15.80000	   0.02224
  15.90000	  -0.01643
  16.00000	   0.05537
  16.10000	   0.11882
  16.20000	   0.22778
  16.30000	   0.19202
  16.40000	  -0.04291
  16.50000	  -0.07913
  16.60000	   0.08472
  16.70000	  -0.01066
  16.80000	  -0.03828
  16.90000	  -0.12957
  17.00000	  -0.15684
  17.10000	  -0.21955
  17.20000	  -0.14054
  17.30000	  -0.10935
  17.40000	  -0.11576
  17.50000	  -0.10856
  17.60000	  -0.06125
  17.70000	  -0.05392
  17.80000	  -0.06796
  17.90000	  -0.12590
  18.00000	  -0.08878
  18.10000	  -0.07659
  18.20000	  -0.15424
  18.30000	  -0.13274
  18.40000	  -0.12056
  18.50000	  -0.10490
  18.60000	  -0.02065
  18.70000	  -0.02755
  18.80000	  -0.02328
  18.90000	   0.04694
  19.00000	  -0.02658
  19.10000	  -0.05378
  19.20000	  -0.06756
  19.30000	  -0.14127
  19.40000	  -0.12665
  19.50000	  -0.11631
  19.60000	  -0.01169
  19.70000	   0.10666
  19.80000	   0.09440
  19.90000	   0.07390
  20.00000	   0.14137
  20.10000	   0.20437
  20.20000	   0.20192
  20.30000	   0.09108
  20.40000	  -0.11362
  20.50000	  -0.18331
  20.60000	  -0.20943
  20.70000	  -0.22050
  20.80000	  -0.13561
  20.90000	  -0.04134
  21.00000	  -0.10634
  21.10000	  -0.05216
  21.20000	  -0.04339
  21.30000	  -0.00140
  21.40000	  -0.09603
  21.50000	  -0.08247
  21.60000	  -0.09092
  21.70000	  -0.07914
  21.80000	  -0.14164
  21.90000	  -0.12917
  22.00000	   0.01002
  22.10000	  -0.03250
  22.20000	   0.00256
  22.30000	   0.10014
  22.40000	   0.08466
  22.50000	   0.12277
  22.60000	   0.17419
  22.70000	   0.28147
  22.80000	   0.25741
  22.90000	   0.17246
  23.00000	   0.09542
  23.10000	  -0.02261
  23.20000	  -0.02518
  23.30000	   0.02669
  23.40000	   0.00498
  23.50000	  -0.01751
  23.60000	  -0.03493
  23.70000	   0.05013
  23.80000	  -0.06536
  23.90000	  -0.01491
  24.00000	  -0.00098
  24.10000	  -0.09730
  24.20000	  -0.17431
  24.30000	  -0.14280
  24.40000	  -0.10587
  24.50000	  -0.07680
  24.60000	  -0.12667
  24.70000	  -0.10093
  24.80000	  -0.00782
  24.90000	   0.05697
  25.00000	   0.17837
  25.10000	   0.18900
  25.20000	   0.16569
  25.30000	   0.04011
  25.40000	   0.12824
  25.50000	   0.16232
  25.60000	   0.14131
  25.70000	  -0.00060
  25.80000	  -0.04390
  25.90000	   0.05816
  26.00000	   0.12630
  26.10000	   0.17528
  26.20000	   0.12534
  26.30000	   0.01462
  26.40000	  -0.13785
  26.50000	  -0.03569
  26.60000	  -0.05093
  26.70000	  -0.02962
  26.80000	   0.04072
  26.90000	   0.02491
  27.00000	  -0.02666
  27.10000	   0.00934
  27.20000	   0.06128
  27.30000	  -0.08989
  27.40000	  -0.23257
  27.50000	  -0.15578
  27.60000	  -0.07344
  27.70000	  -0.05095
  27.80000	  -0.15663
  27.90000	  -0.15854
  28.00000	  -0.09819
  28.10000	  -0.06886
  28.20000	  -0.10905
  28.30000	  -0.12763
  28.40000	  -0.11399
  28.50000	   0.00211
  28.60000	   0.13173
  28.70000	   0.11300
  28.80000	   0.08536
  28.90000	   0.08273
  29.00000	   0.12522
  29.10000	   0.08722
  29.20000	   0.01070
  29.30000	  -0.01131
  29.40000	  -0.01957
  29.50000	   0.10585
  29.60000	   0.12116
  29.70000	  -0.00684
  29.80000	  -0.10313
  29.90000	   0.00114
  30.00000	   0.15600
  30.10000	   0.24214
  30.20000	   0.16240
  30.30000	   0.08300
  30.40000	   0.12886
  30.50000	   0.10500
  30.60000	   0.07079
  30.70000	   0.13221
  30.80000	   0.19252
  30.90000	   0.22288
  31.00000	   0.06547
  31.10000	  -0.06435
  31.20000	   0.00225
  31.30000	   0.06719
  31.40000	   0.13574
  31.50000	   0.22302
  31.60000	   0.15674
  31.70000	   0.07041
  31.80000	   0.12516
  31.90000	   0.13372
  32.00000	  -0.02851
  32.10000	  -0.23224
  32.20000	  -0.10593
  32.30000	  -0.00659
  32.40000	  -0.05793
  32.50000	  -0.16073
  32.60000	  -0.11288
  32.70000	   0.03577
  32.80000	   0.09450
  32.90000	   0.10977
  33.00000	   0.14713
  33.10000	   0.24232
  33.20000	   0.26362
  33.30000	   0.14299
  33.40000	   0.19500
  33.50000	   0.20691
  33.60000	   0.17320
  33.70000	   0.12880
  33.80000	  -0.00392
  33.90000	  -0.06524
  34.00000	   0.05515
  34.10000	   0.00759
  34.20000	  -0.10494
  34.30000	  -0.09504
  34.40000	  -0.15620
  34.50000	  -0.13528
  34.60000	   0.02816
  34.70000	  -0.05024
  34.80000	  -0.06016
  34.90000	  -0.07403
  35.00000	   0.12509
  35.10000	   0.07774
  35.20000	   0.03051
  35.30000	  -0.01030
  35.40000	  -0.05886
  35.50000	  -0.03613
  35.60000	   0.03861
  35.70000	   0.01079
  35.80000	   0.03605
  35.90000	   0.04963
  36.00000	   0.00765
  36.10000	   0.05029
  36.20000	   0.14212
  36.30000	  -0.01440
  36.40000	  -0.00641
  36.50000	  -0.10731
  36.60000	  -0.09002
  36.70000	  -0.10619
  36.80000	   0.01696
  36.90000	   0.09918
  37.00000	   0.15850
  37.10000	   0.25059
  37.20000	   0.11291
  37.30000	   0.06994
  37.40000	  -0.08455
  37.50000	  -0.03810
  37.60000	   0.00814
  37.70000	  -0.01403
  37.80000	  -0.16888
  37.90000	  -0.06565
  38.00000	  -0.02218
  38.10000	   0.00140
  38.20000	   0.02941
  38.30000	   0.02352
  38.40000	  -0.05562
  38.50000	  -0.05922
  38.60000	   0.08767
  38.70000	   0.11675
  38.80000	   0.01661
  38.90000	   0.05514
  39.00000	   0.07719
  39.10000	   0.09451
  39.20000	   0.10623
  39.30000	   0.20236
  39.40000	   0.14407
  39.50000	   0.02421
  39.60000	  -0.14766
  39.70000	  -0.11720
  39.80000	  -0.09733
  39.90000	  -0.10162
  40.00000	  -0.18018
  40.10000	  -0.18541
  40.20000	  -0.18622
  40.30000	  -0.13859
  40.40000	  -0.07129
  40.50000	   0.01841
  40.60000	   0.01203
  40.70000	  -0.06477
  40.80000	   0.01139
  40.90000	   0.09601
  41.00000	   0.04501
  41.10000	  -0.01287
  41.20000	   0.00332
  41.30000	   0.03693
  41.40000	   0.02074
  41.50000	   0.01992
  41.60000	   0.14908
  41.70000	   0.07025
  41.80000	   0.12244
  41.90000	   0.18976
  42.00000	   0.15041
  42.10000	   0.09890
  42.20000	   0.16723
  42.30000	   0.15433
  42.40000	   0.12463
  42.50000	   0.09557
  42.60000	   0.11862
  42.70000	   0.12164
  42.80000	   0.09075
  42.90000	   0.06859
  43.00000	   0.03254
  43.10000	   0.04298
  43.20000	  -0.06918
  43.30000	  -0.13316
  43.40000	  -0.24034
  43.50000	  -0.17789
  43.60000	  -0.06704
  43.70000	  -0.04201
  43.80000	   0.05922
  43.90000	   0.05741
  44.00000	   0.14751
  44.10000	   0.08664
  44.20000	   0.03100
  44.30000	   0.13743
  44.40000	   0.03747
  44.50000	   0.00673
  44.60000	  -0.02066
  44.70000	  -0.05728
  44.80000	  -0.06233
  44.90000	  -0.17267
  45.00000	  -0.07433
  45.10000	   0.03270
  45.20000	  -0.02354
  45.30000	   0.00066
  45.40000	   0.00322
  45.50000	  -0.04046
  45.60000	  -0.02210
  45.70000	  -0.06622
  45.80000	  -0.13968
  45.90000	  -0.12518
  46.00000	  -0.13389
  46.10000	  -0.16926
  46.20000	  -0.07820
  46.30000	  -0.01272
  46.40000	  -0.01304
  46.50000	  -0.09171
  46.60000	  -0.19084
  46.70000	  -0.14860
  46.80000	  -0.16696
  46.90000	  -0.18817
  47.00000	  -0.13671
  47.10000	  -0.24198
  47.20000	  -0.14142
  47.30000	   0.02397
  47.40000	   0.05470
  47.50000	   0.06174
  47.60000	  -0.00634
  47.70000	  -0.01347
  47.80000	  -0.09499
  47.90000	  -0.11245
  48.00000	  -0.04742
  48.10000	   0.09004
  48.20000	   0.10439
  48.30000	   0.03162
  48.40000	  -0.06640
  48.50000	  -0.11725
  48.60000	  -0.23186
  48.70000	  -0.16531
  48.80000	  -0.06546
  48.90000	  -0.07494
  49.00000	  -0.09656
  49.10000	  -0.03915
  49.20000	   0.14670
  49.30000	   0.13632
  49.40000	   0.18693
  49.50000	   0.12992
  49.60000	   0.05811
  49.70000	  -0.01938
  49.80000	   0.02242
  49.90000	  -0.01928
  50.00000	  -0.09513
  50.10000	  -0.13529
  50.20000	  -0.03096
  50.30000	   0.16606
  50.40000	   0.21876
  50.50000	   0.29662
  50.60000	   0.28873
  50.70000	   0.06686
  50.80000	  -0.04252
  50.90000	  -0.02795
  51.00000	  -0.00520
  51.10000	   0.06104
  51.20000	   0.00441
  51.30000	  -0.00808
  51.40000	  -0.02511
  51.50000	  -0.08696
  51.60000	   0.09652
  51.70000	   0.01939
  51.80000	   0.01327
  51.90000	   0.00486
  52.00000	  -0.04195
  52.10000	  -0.11621
  52.20000	  -0.20269
  52.30000	  -0.20852
  52.40000	  -0.10037
  52.50000	   0.07931
  52.60000	   0.15063
  52.70000	   0.10566
  52.80000	  -0.06110
  52.90000	  -0.02213
  53.00000	  -0.04136
  53.10000	  -0.01288
  53.20000	  -0.05240
  53.30000	  -0.05597
  53.40000	  -0.01548
  53.50000	   0.00030
  53.60000	   0.08368
  53.70000	   0.06322
  53.80000	  -0.02824
  53.90000	  -0.02992
  54.00000	   0.05967
  54.10000	   0.13635
  54.20000	   0.15014
  54.30000	   0.07581
  54.40000	   0.03224
  54.50000	   0.08425
  54.60000	   0.04510
  54.70000	   0.03448
  54.80000	  -0.04060
  54.90000	  -0.01951
  55.00000	  -0.13834
  55.10000	  -0.13704
  55.20000	  -0.09900
  55.30000	   0.00538
  55.40000	   0.09577
  55.50000	   0.10928
  55.60000	   0.03189
  55.70000	   0.08209
  55.80000	   0.14628
  55.90000	   0.11921
  56.00000	   0.21168
  56.10000	   0.25489
  56.20000	   0.05482
  56.30000	  -0.18670
  56.40000	  -0.22365
  56.50000	  -0.21198
  56.60000	  -0.19067
  56.70000	  -0.21394
  56.80000	  -0.09952
  56.90000	  -0.06803
  57.00000	  -0.02636
  57.10000	   0.03075
  57.20000	  -0.09477
  57.30000	  -0.11947
  57.40000	  -0.02347
  57.50000	  -0.04200
  57.60000	  -0.00416
  57.70000	   0.02500
  57.80000	   0.07996
  57.90000	  -0.02513
  58.00000	  -0.04389
  58.10000	   0.01827
  58.20000	   0.05931
  58.30000	   0.08426
  58.40000	   0.03457
  58.50000	   0.03236
  58.60000	   0.14953
  58.70000	   0.22302
  58.80000	   0.20201
  58.90000	   0.03315
  59.00000	   0.01732
  59.10000	   0.08797
  59.20000	   0.22822
  59.30000	   0.32542
  59.40000	   0.19989
  59.50000	   0.14940
  59.60000	   0.00659
  59.70000	  -0.11390
  59.80000	  -0.22529
  59.90000	  -0.30996
  60.00000	  -0.25362
  60.10000	  -0.20905
  60.20000	  -0.12562
  60.30000	  -0.14162
  60.40000	  -0.22616
  60.50000	  -0.18233
  60.60000	  -0.07160
  60.70000	   0.00738
  60.80000	   0.13136
  60.90000	  -0.04950
  61.00000	  -0.23443
  61.10000	  -0.09431
  61.20000	  -0.03360
  61.30000	   0.03158
  61.40000	   0.19194
  61.50000	   0.24407
  61.60000	   0.22568
  61.70000	   0.25596
  61.80000	   0.30495
  61.90000	   0.22680
  62.00000	   0.21510
  62.10000	   0.04630
  62.20000	   0.00911
  62.30000	  -0.00442
  62.40000	  -0.05876
  62.50000	   0.01452
  62.60000	  -0.00258
  62.70000	   0.04384
  62.80000	   0.03718
  62.90000	  -0.12094
  63.00000	  -0.24399
  63.10000	  -0.22834
  63.20000	  -0.15252
  63.30000	  -0.13023
  63.40000	  -0.11837
  63.50000	  -0.05968
  63.60000	  -0.02117
  63.70000	  -0.07559
  63.80000	  -0.10857
  63.90000	   0.00450
  64.00000	   0.01707
  64.10000	   0.02857
  64.20000	   0.14064
  64.30000	   0.10341
  64.40000	   0.12942
  64.50000	   0.07869
  64.60000	   0.07855
  64.70000	   0.10295
  64.80000	   0.13080
  64.90000	   0.23848
  65.00000	   0.23165
  65.10000	   0.22072
  65.20000	   0.25027
  65.30000	   0.27049
  65.40000	   0.20424
  65.50000	   0.19997
  65.60000	   0.07881
  65.70000	  -0.06611
  65.80000	  -0.26439
  65.90000	  -0.17295
  66.00000	  -0.12085
  66.10000	   0.03050
  66.20000	   0.01433
  66.30000	   0.01555
  66.40000	  -0.04498
  66.50000	  -0.06306
  66.60000	   0.01046
  66.70000	   0.18623
  66.80000	   0.18626
  66.90000	   0.17449
  67.00000	   0.06905
  67.10000	   0.09466
  67.20000	  -0.00071
  67.30000	  -0.07152
  67.40000	  -0.04096
  67.50000	   0.03694
  67.60000	   0.03324
  67.70000	  -0.12551
  67.80000	  -0.21061
  67.90000	  -0.06060
  68.00000	   0.01348
  68.10000	   0.03340
  68.20000	  -0.03799
  68.30000	  -0.03613
  68.40000	  -0.05284
  68.50000	  -0.11550
  68.60000	  -0.10168
  68.70000	  -0.12731
  68.80000	   0.04860
  68.90000	   0.04501
  69.00000	  -0.04045
  69.10000	  -0.07307
  69.20000	  -0.06628
  69.30000	  -0.09378
  69.40000	  -0.20086
  69.50000	  -0.27741
  69.60000	  -0.26915
