# gamma	ks
  16.01666	  32.25875
   0.00000	   0.00566
   0.10000	   0.10297
   0.20000	   0.04444
   0.30000	  -0.01963
   0.40000	  -0.09197
   0.50000	  -0.09988
   0.60000	  -0.09020
   0.70000	  -0.11660
   0.80000	  -0.07925
   0.90000	  -0.00465
   1.00000	   0.15930
   1.10000	   0.25086
   1.20000	   0.26942
   1.30000	   0.18810
   1.40000	   0.19037
   1.50000	   0.17440
   1.60000	   0.14134
   1.70000	   0.17074
   1.80000	   0.19353
   1.90000	   0.17687
   2.00000	   0.05382
   2.10000	   0.09156
   2.20000	   0.08360
   2.30000	   0.10064
   2.40000	   0.22608
   2.50000	   0.31049
   2.60000	   0.32868
   2.70000	   0.29860
   2.80000	   0.21123
   2.90000	   0.08794
   3.00000	  -0.01147
   3.10000	   0.01005
   3.20000	   0.07038
   3.30000	   0.11948
   3.40000	   0.16152
   3.50000	   0.06980
   3.60000	  -0.05001
   3.70000	  -0.12541
   3.80000	  -0.07846
   3.90000	  -0.01466
   4.00000	  -0.00619
   4.10000	   0.02686
   4.20000	  -0.01557
   4.30000	  -0.00620
   4.40000	  -0.03204
   4.50000	   0.11584
   4.60000	   0.13633
   4.70000	   0.03655
   4.80000	  -0.10835
   4.90000	  -0.18397
   5.00000	  -0.30283
   5.10000	  -0.24969
   5.20000	  -0.13801
   5.30000	   0.00536
   5.40000	   0.00414
   5.50000	   0.09310
   5.60000	   0.00175
   5.70000	  -0.07560
   5.80000	  -0.13361
   5.90000	  -0.21992
   6.00000	  -0.22719
   6.10000	  -0.14417
   6.20000	  -0.04448
   6.30000	  -0.08384
   6.40000	  -0.11790
   6.50000	  -0.12774
   6.60000	  -0.08276
   6.70000	  -0.08715
   6.80000	  -0.11123
   6.90000	  -0.10049
   7.00000	  -0.06535
   7.10000	   0.00653
   7.20000	   0.10050
   7.30000	   0.10514
   7.40000	  -0.01172
   7.50000	  -0.01624
   7.60000	  -0.01628
   7.70000	   0.03009
   7.80000	   0.06525
   7.90000	  -0.12094
   8.00000	  -0.11815
   8.10000	  -0.07728
   8.20000	  -0.02380
   8.30000	  -0.06764
   8.40000	  -0.19027
   8.50000	  -0.17890
   8.60000	  -0.14118
   8.70000	  -0.11163
   8.80000	  -0.11689
   8.90000	  -0.28549
   9.00000	  -0.32518
   9.10000	  -0.24678
   9.20000	  -0.25713
   9.30000	  -0.16655
   9.40000	  -0.02663
   9.50000	  -0.11895
   9.60000	  -0.17846
   9.70000	  -0.06220
   9.80000	   0.02449
   9.90000	   0.00812
  10.00000	  -0.01977
  10.10000	  -0.04339
  10.20000	  -0.02279
  10.30000	   0.02802
  10.40000	   0.17998
  10.50000	   0.14738
  10.60000	   0.00221
  10.70000	   0.00223
  10.80000	   0.04173
  10.90000	  -0.02263
  11.00000	  -0.11213
  11.10000	  -0.18192
  11.20000	  -0.32283
  11.30000	  -0.29339
  11.40000	  -0.43624
  11.50000	  -0.53501
  11.60000	  -0.62089
  11.70000	  -0.51837
  11.80000	  -0.53329
  11.90000	  -0.51871
  12.00000	  -0.56740
  12.10000	  -0.45311
  12.20000	  -0.40435
  12.30000	  -0.37160
  12.40000	  -0.34573
  12.50000	  -0.35563
  12.60000	  -0.21482
  12.70000	  -0.16278
  12.80000	  -0.02452
  12.90000	   0.05502
  13.00000	   0.07357
  13.10000	   0.14703
  13.20000	   0.18097
  13.30000	   0.05424
  13.40000	   0.08110
  13.50000	   0.07612
  13.60000	   0.16760
  13.70000	   0.26880
  13.80000	   0.24125
  13.90000	   0.29508
  14.00000	   0.26318
  14.10000	   0.25296
  14.20000	   0.24114
  14.30000	   0.19644
  14.40000	  -0.00710
  14.50000	  -0.02754
  14.60000	   0.01716
  14.70000	   0.05077
  14.80000	   0.05747
  14.90000	   0.05658
  15.00000	   0.15319
  15.10000	   0.21766
  15.20000	   0.17117
  15.30000	   0.16428
  15.40000	   0.23497
  15.50000	   0.19688
  15.60000	   0.25181
  15.70000	   0.21525
  15.80000	   0.10001
  15.90000	   0.01688
  16.00000	  -0.00854
  16.10000	  -0.01940
  16.20000	   0.05264
  16.30000	   0.07543
  16.40000	   0.00028
  16.50000	  -0.06499
  16.60000	  -0.13389
  16.70000	  -0.07773
  16.80000	  -0.13912
  16.90000	   0.04555
  17.00000	   0.16357
  17.10000	   0.27258
  17.20000	   0.23635
  17.30000	  -0.00683
  17.40000	  -0.06578
  17.50000	  -0.17046
  17.60000	  -0.17237
  17.70000	  -0.09675
  17.80000	   0.01560
  17.90000	   0.13604
  18.00000	   0.22970
  18.10000	   0.39417
  18.20000	   0.29351
  18.30000	   0.20310
  18.40000	   0.25249
  18.50000	   0.26221
  18.60000	   0.14888
  18.70000	   0.09314
  18.80000	   0.06639
  18.90000	   0.05126
  19.00000	   0.03712
  19.10000	  -0.02120
  19.20000	  -0.14532
  19.30000	  -0.05140
  19.40000	   0.05319
  19.50000	   0.08862
  19.60000	   0.04948
  19.70000	   0.00233
  19.80000	  -0.03171
  19.90000	  -0.01048
  20.00000	   0.03928
  20.10000	  -0.07826
  20.20000	  -0.20552
  20.30000	  -0.21553
  20.40000	  -0.19969
  20.50000	  -0.20265
  20.60000	  -0.11306
  20.70000	  -0.05775
  20.80000	   0.04342
  20.90000	   0.02344
  21.00000	   0.05130
  21.10000	  -0.04797
  21.20000	  -0.16338
  21.30000	  -0.14681
  21.40000	  -0.20318
  21.50000	  -0.18731
  21.60000	  -0.22487
  21.70000	  -0.21290
  21.80000	  -0.29686
  21.90000	  -0.27458
  22.00000	  -0.12342
  22.10000	  -0.05424
  22.20000	   0.10692
  22.30000	   0.14154
  22.40000	  -0.03584
  22.50000	  -0.07807
  22.60000	  -0.05590
  22.70000	   0.05275
  22.80000	   0.20685
  22.90000	   0.15557
  23.00000	   0.22116
  23.10000	   0.20435
  23.20000	   0.31751
  23.30000	   0.39963
  23.40000	   0.52346
  23.50000	   0.44479
  23.60000	   0.42423
  23.70000	   0.38618
  23.80000	   0.36141
  23.90000	   0.37316
  24.00000	   0.40622
  24.10000	   0.50765
  24.20000	   0.43174
  24.30000	   0.32040
  24.40000	   0.28467
  24.50000	   0.15798
  24.60000	   0.18598
  24.70000	   0.27245
  24.80000	   0.28756
  24.90000	   0.17259
  25.00000	   0.14722
  25.10000	   0.14532
  25.20000	   0.09442
  25.30000	   0.01186
  25.40000	   0.00478
  25.50000	   0.10339
  25.60000	   0.23267
  25.70000	   0.30359
  25.80000	   0.36318
  25.90000	   0.32054
  26.00000	   0.25460
  26.10000	   0.22667
  26.20000	   0.13474
  26.30000	   0.06286
  26.40000	  -0.04427
  26.50000	  -0.04926
  26.60000	  -0.07829
  26.70000	  -0.04838
  26.80000	  -0.02795
  26.90000	  -0.04714
  27.00000	   0.03391
  27.10000	   0.00413
  27.20000	   0.07956
  27.30000	   0.01673
  27.40000	  -0.00574
  27.50000	  -0.06778
  27.60000	  -0.05343
  27.70000	  -0.02723
  27.80000	   0.00358
  27.90000	   0.06521
  28.00000	   0.17340
  28.10000	   0.20482
  28.20000	   0.13763
  28.30000	   0.07654
  28.40000	   0.25244
  28.50000	   0.16208
  28.60000	   0.20113
  28.70000	   0.20119
  28.80000	   0.19560
  28.90000	   0.21552
  29.00000	   0.40056
  29.10000	   0.43608
  29.20000	   0.32090
  29.30000	   0.29663
  29.40000	   0.21081
  29.50000	   0.25247
  29.60000	   0.22869
  29.70000	   0.22933
  29.80000	   0.23944
  29.90000	   0.17245
  30.00000	   0.15926
  30.10000	   0.17774
  30.20000	   0.22589
  30.30000	   0.24285
  30.40000	   0.19480
  30.50000	   0.16723
  30.60000	   0.25821
  30.70000	   0.27403
  30.80000	   0.26424
  30.90000	   0.18628
  31.00000	   0.19139
  31.10000	   0.17626
  31.20000	   0.18630
  31.30000	   0.11370
  31.40000	   0.01512
  31.50000	   0.00648
  31.60000	  -0.11666
  31.70000	  -0.12963
  31.80000	  -0.19397
  31.90000	  -0.26734
  32.00000	  -0.11819
  32.10000	  -0.01233
  32.20000	   0.02591
  32.30000	   0.01623
  32.40000	  -0.10207
  32.50000	  -0.18537
  32.60000	  -0.16169
  32.70000	  -0.10078
  32.80000	  -0.06395
  32.90000	   0.03987
  33.00000	   0.11637
  33.10000	   0.19464
  33.20000	   0.23321
  33.30000	   0.21357
  33.40000	   0.13257
  33.50000	   0.06393
  33.60000	  -0.04467
  33.70000	  -0.07933
  33.80000	  -0.03274
  33.90000	   0.15180
  34.00000	   0.29187
  34.10000	   0.31233
  34.20000	   0.41521
  34.30000	   0.53027
  34.40000	   0.50445
  34.50000	   0.46159
  34.60000	   0.43625
  34.70000	   0.19371
  34.80000	   0.10367
  34.90000	   0.08273
  35.00000	  -0.01459
  35.10000	  -0.13410
  35.20000	  -0.22082
  35.30000	  -0.10989
  35.40000	  -0.10710
  35.50000	  -0.14015
  35.60000	  -0.12941
  35.70000	  -0.11997
  35.80000	  -0.10382
  35.90000	   0.02720
  36.00000	   0.17122
  36.10000	   0.17734
  36.20000	   0.04831
  36.30000	   0.07051
  36.40000	   0.11709
  36.50000	   0.07434
  36.60000	  -0.00801
  36.70000	  -0.00827
  36.80000	   0.14341
  36.90000	   0.04689
  37.00000	  -0.10375
  37.10000	  -0.04380
  37.20000	  -0.07051
  37.30000	  -0.15426
  37.40000	  -0.06458
  37.50000	   0.03062
  37.60000	   0.01109
  37.70000	  -0.03953
  37.80000	   0.03605
  37.90000	   0.00935
  38.00000	  -0.01653
  38.10000	  -0.09949
  38.20000	  -0.13198
  38.30000	  -0.18218
  38.40000	  -0.21777
  38.50000	  -0.30477
  38.60000	  -0.31926
  38.70000	  -0.26558
  38.80000	  -0.19993
  38.90000	  -0.05734
  39.00000	   0.01056
  39.10000	   0.08748
  39.20000	   0.13497
  39.30000	   0.16978
  39.40000	   0.07583
  39.50000	  -0.08452
  39.60000	   0.01002
  39.70000	   0.08789
  39.80000	   0.00144
  39.90000	   0.01503
  40.00000	  -0.10682
  40.10000	  -0.10266
  40.20000	  -0.01341
  40.30000	  -0.00018
  40.40000	  -0.01865
  40.50000	  -0.05336
  40.60000	  -0.15618
  40.70000	  -0.15343
  40.80000	  -0.15956
  40.90000	  -0.19346
  41.00000	  -0.14045
  41.10000	  -0.15455
  41.20000	   0.00857
  41.30000	   0.29128
  41.40000	   0.39345
  41.50000	   0.28361
  41.60000	   0.29759
  41.70000	   0.26495
  41.80000	   0.17853
  41.90000	  -0.05339
  42.00000	  -0.08591
  42.10000	  -0.22794
  42.20000	  -0.26237
  42.30000	  -0.18271
  42.40000	  -0.14868
  42.50000	  -0.14523
  42.60000	  -0.21862
  42.70000	  -0.40216
  42.80000	  -0.51818
  42.90000	  -0.47577
  43.00000	  -0.33033
  43.10000	  -0.35944
  43.20000	  -0.32397
  43.30000	  -0.18736
  43.40000	  -0.08569
  43.50000	  -0.09599
  43.60000	  -0.17310
  43.70000	  -0.22903
  43.80000	  -0.24115
  43.90000	  -0.26344
  44.00000	  -0.29295
  44.10000	  -0.30667
  44.20000	  -0.29873
  44.30000	  -0.21613
  44.40000	  -0.03972
  44.50000	   0.09744
  44.60000	   0.12870
