# gamma	ks
  73.69968	  45.80597
   0.00000	  -0.00491
   0.10000	  -0.05915
   0.20000	  -0.07313
   0.30000	  -0.09153
   0.40000	  -0.08002
   0.50000	  -0.04971
   0.60000	  -0.02477
   0.70000	   0.02267
   0.80000	   0.00307
   0.90000	   0.00083
   1.00000	  -0.03999
   1.10000	  -0.02143
   1.20000	  -0.02542
   1.30000	  -0.06993
   1.40000	  -0.16138
   1.50000	  -0.22374
   1.60000	  -0.16825
   1.70000	  -0.15115
   1.80000	  -0.03794
   1.90000	   0.00901
   2.00000	  -0.06783
   2.10000	  -0.07519
   2.20000	  -0.05194
   2.30000	  -0.09608
   2.40000	  -0.06586
   2.50000	  -0.11452
   2.60000	  -0.19046
   2.70000	  -0.21697
   2.80000	  -0.24134
   2.90000	  -0.23789
   3.00000	  -0.20417
   3.10000	  -0.17387
   3.20000	  -0.15593
   3.30000	  -0.13824
   3.40000	  -0.16163
   3.50000	  -0.17123
   3.60000	  -0.15547
   3.70000	  -0.14740
   3.80000	  -0.04663
   3.90000	  -0.03311
   4.00000	   0.00210
   4.10000	   0.08525
   4.20000	   0.09184
   4.30000	   0.08885
   4.40000	   0.20313
   4.50000	   0.20794
   4.60000	   0.11894
   4.70000	   0.07500
   4.80000	   0.05958
   4.90000	   0.05983
   5.00000	   0.03768
   5.10000	   0.00063
   5.20000	   0.02650
   5.30000	  -0.02927
   5.40000	  -0.06907
   5.50000	  -0.14224
   5.60000	  -0.16362
   5.70000	  -0.21361
   5.80000	  -0.11815
   5.90000	  -0.10578
   6.00000	  -0.10057
   6.10000	  -0.07740
   6.20000	  -0.04049
   6.30000	  -0.05021
   6.40000	   0.02104
   6.50000	   0.06591
   6.60000	   0.04182
   6.70000	   0.06931
   6.80000	   0.04202
   6.90000	  -0.03296
   7.00000	  -0.00766
   7.10000	   0.06109
   7.20000	   0.03901
   7.30000	   0.06916
   7.40000	   0.05597
   7.50000	   0.15661
   7.60000	   0.10324
   7.70000	   0.04625
   7.80000	   0.11227
   7.90000	   0.11859
   8.00000	   0.12535
   8.10000	   0.17302
   8.20000	   0.08341
   8.30000	   0.09594
   8.40000	   0.12544
   8.50000	   0.06140
   8.60000	   0.01107
   8.70000	   0.05427
   8.80000	   0.10842
   8.90000	   0.07737
   9.00000	   0.16652
   9.10000	   0.15529
   9.20000	   0.14200
   9.30000	   0.17031
   9.40000	   0.12834
   9.50000	   0.08465
   9.60000	   0.12620
   9.70000	   0.16545
   9.80000	   0.06752
   9.90000	  -0.05442
  10.00000	  -0.13448
  10.10000	  -0.17824
  10.20000	  -0.19568
  10.30000	  -0.17385
  10.40000	  -0.07187
  10.50000	  -0.09094
  10.60000	  -0.00913
  10.70000	   0.05112
  10.80000	   0.07539
  10.90000	   0.06465
  11.00000	   0.10102
  11.10000	   0.08989
  11.20000	   0.12209
  11.30000	   0.01050
  11.40000	  -0.04440
  11.50000	  -0.12014
  11.60000	  -0.06562
  11.70000	  -0.14340
  11.80000	  -0.18218
  11.90000	  -0.19307
  12.00000	  -0.18707
  12.10000	  -0.22730
  12.20000	  -0.17661
  12.30000	  -0.08252
  12.40000	  -0.04450
  12.50000	  -0.04435
  12.60000	  -0.05078
  12.70000	  -0.14421
  12.80000	  -0.19567
  12.90000	  -0.09426
  13.00000	  -0.12057
  13.10000	  -0.07461
  13.20000	  -0.01119
  13.30000	   0.06922
  13.40000	   0.07381
  13.50000	   0.11213
  13.60000	   0.09002
  13.70000	   0.05053
  13.80000	   0.02344
  13.90000	   0.03914
  14.00000	  -0.02058
  14.10000	  -0.01569
  14.20000	  -0.10395
  14.30000	  -0.15772
  14.40000	  -0.08504
  14.50000	  -0.10309
  14.60000	  -0.07538
  14.70000	  -0.15222
  14.80000	  -0.14435
  14.90000	  -0.12560
  15.00000	  -0.14701
  15.10000	  -0.12919
  15.20000	  -0.11249
  15.30000	  -0.09080
  15.40000	  -0.11297
  15.50000	  -0.10566
  15.60000	  -0.12644
  15.70000	  -0.08590
  15.80000	  -0.09311
  15.90000	  -0.12368
  16.00000	  -0.06429
  16.10000	  -0.02209
  16.20000	  -0.01160
  16.30000	  -0.09075
  16.40000	  -0.06608
  16.50000	  -0.11239
  16.60000	  -0.16851
  16.70000	  -0.14188
  16.80000	  -0.16875
  16.90000	  -0.19064
  17.00000	  -0.26583
  17.10000	  -0.14391
  17.20000	  -0.15991
  17.30000	  -0.16473
  17.40000	  -0.17506
  17.50000	  -0.22700
  17.60000	  -0.21111
  17.70000	  -0.16738
  17.80000	  -0.15868
  17.90000	  -0.12429
  18.00000	  -0.07348
  18.10000	  -0.05493
  18.20000	  -0.10564
  18.30000	  -0.05027
  18.40000	  -0.04252
  18.50000	  -0.02691
  18.60000	  -0.02899
  18.70000	  -0.01807
  18.80000	  -0.12689
  18.90000	  -0.18768
  19.00000	  -0.15308
  19.10000	  -0.07586
  19.20000	  -0.09629
  19.30000	  -0.17567
  19.40000	  -0.09855
  19.50000	  -0.12588
  19.60000	  -0.12476
  19.70000	  -0.10233
  19.80000	  -0.14893
  19.90000	  -0.20163
  20.00000	  -0.25583
  20.10000	  -0.27897
  20.20000	  -0.39316
  20.30000	  -0.44019
  20.40000	  -0.44211
  20.50000	  -0.39649
  20.60000	  -0.37501
  20.70000	  -0.44804
  20.80000	  -0.40558
  20.90000	  -0.30143
  21.00000	  -0.26297
  21.10000	  -0.09092
  21.20000	   0.07373
  21.30000	   0.15807
  21.40000	   0.16493
  21.50000	   0.12988
  21.60000	   0.08633
  21.70000	   0.04653
  21.80000	   0.01364
  21.90000	   0.07009
  22.00000	   0.10077
  22.10000	   0.10308
  22.20000	   0.06088
  22.30000	   0.10295
  22.40000	   0.09736
  22.50000	   0.12709
  22.60000	   0.15233
  22.70000	   0.19627
  22.80000	   0.14840
  22.90000	   0.17494
  23.00000	   0.11690
  23.10000	   0.15133
  23.20000	   0.25539
  23.30000	   0.28510
  23.40000	   0.31093
  23.50000	   0.24162
  23.60000	   0.19393
  23.70000	   0.16963
  23.80000	   0.05113
  23.90000	   0.02122
  24.00000	   0.04179
