# gamma	ks
  13.03721	  48.94077
   0.00000	  -0.43374
   0.10000	  -0.31288
   0.20000	  -0.26099
   0.30000	  -0.24535
   0.40000	  -0.20932
   0.50000	  -0.15550
   0.60000	  -0.08870
   0.70000	  -0.01659
   0.80000	   0.10928
   0.90000	   0.03236
   1.00000	   0.07189
   1.10000	   0.05393
   1.20000	   0.07901
   1.30000	   0.00789
   1.40000	   0.09570
   1.50000	  -0.00368
   1.60000	  -0.12123
   1.70000	  -0.28515
   1.80000	  -0.23231
   1.90000	  -0.15322
   2.00000	   0.04416
   2.10000	   0.01574
   2.20000	  -0.02501
   2.30000	   0.04851
   2.40000	   0.06974
   2.50000	   0.20076
   2.60000	   0.21085
   2.70000	   0.13640
   2.80000	   0.13508
   2.90000	   0.16770
   3.00000	   0.11070
   3.10000	   0.01753
   3.20000	  -0.00236
   3.30000	   0.01952
   3.40000	  -0.04935
   3.50000	   0.03844
   3.60000	  -0.04967
   3.70000	  -0.14739
   3.80000	  -0.09743
   3.90000	  -0.04109
   4.00000	  -0.09306
   4.10000	  -0.05648
   4.20000	   0.09394
   4.30000	   0.06063
   4.40000	  -0.07278
   4.50000	  -0.33600
   4.60000	  -0.35623
   4.70000	  -0.29413
   4.80000	  -0.19383
   4.90000	  -0.03720
   5.00000	   0.05268
   5.10000	   0.17122
   5.20000	   0.25428
   5.30000	   0.27254
   5.40000	   0.09306
   5.50000	  -0.12939
   5.60000	  -0.08606
   5.70000	  -0.06967
   5.80000	  -0.10228
   5.90000	  -0.01263
   6.00000	   0.05512
   6.10000	  -0.02680
   6.20000	  -0.12222
   6.30000	  -0.10592
   6.40000	  -0.11097
   6.50000	  -0.10183
   6.60000	   0.02321
   6.70000	   0.09137
   6.80000	   0.08698
   6.90000	   0.06390
   7.00000	  -0.00417
   7.10000	   0.03633
   7.20000	   0.14124
   7.30000	   0.28630
   7.40000	   0.31562
   7.50000	   0.20653
   7.60000	  -0.02036
   7.70000	  -0.17935
   7.80000	  -0.18073
   7.90000	  -0.09155
   8.00000	   0.03916
   8.10000	   0.05392
   8.20000	  -0.20751
   8.30000	  -0.24818
   8.40000	  -0.23555
   8.50000	  -0.26534
   8.60000	  -0.10562
   8.70000	   0.08445
   8.80000	   0.20565
   8.90000	   0.10235
   9.00000	   0.06607
   9.10000	  -0.05813
   9.20000	  -0.04909
   9.30000	   0.19760
   9.40000	   0.14883
   9.50000	   0.10522
   9.60000	   0.00685
   9.70000	  -0.08519
   9.80000	  -0.04181
   9.90000	  -0.04717
  10.00000	  -0.01339
  10.10000	  -0.03844
  10.20000	   0.00980
  10.30000	   0.07534
  10.40000	   0.00124
  10.50000	   0.05371
  10.60000	   0.07387
  10.70000	  -0.04815
  10.80000	   0.01598
  10.90000	   0.07248
  11.00000	   0.18594
  11.10000	   0.14152
  11.20000	   0.10277
  11.30000	   0.00807
  11.40000	  -0.03037
  11.50000	  -0.04789
  11.60000	  -0.00817
  11.70000	  -0.08056
  11.80000	  -0.06348
  11.90000	  -0.06073
  12.00000	   0.00824
  12.10000	   0.06518
  12.20000	   0.02739
  12.30000	  -0.05563
  12.40000	   0.04795
  12.50000	   0.12576
  12.60000	   0.18107
  12.70000	   0.08774
  12.80000	   0.00903
  12.90000	  -0.09322
  13.00000	   0.03216
  13.10000	   0.19845
  13.20000	   0.16641
  13.30000	   0.19472
  13.40000	   0.25484
  13.50000	   0.19129
  13.60000	   0.10533
  13.70000	   0.04818
  13.80000	   0.11640
  13.90000	   0.03212
  14.00000	  -0.03163
  14.10000	   0.02151
