# gamma	ks
  59.37871	  46.74162
   0.00000	  -0.03395
   0.10000	   0.00662
   0.20000	  -0.00065
   0.30000	   0.04052
   0.40000	   0.04193
   0.50000	   0.11232
   0.60000	   0.12049
   0.70000	   0.15996
   0.80000	   0.19913
   0.90000	   0.25192
   1.00000	   0.16858
   1.10000	   0.12108
   1.20000	   0.14700
   1.30000	   0.08463
   1.40000	   0.04220
   1.50000	   0.06039
   1.60000	   0.00313
   1.70000	   0.03131
   1.80000	   0.10477
   1.90000	   0.11296
   2.00000	   0.02046
   2.10000	   0.10680
   2.20000	   0.09524
   2.30000	   0.07424
   2.40000	   0.06671
   2.50000	  -0.00676
   2.60000	  -0.07451
   2.70000	  -0.03039
   2.80000	  -0.07178
   2.90000	  -0.03511
   3.00000	  -0.04781
   3.10000	  -0.12478
   3.20000	  -0.12283
   3.30000	  -0.18251
   3.40000	  -0.09430
   3.50000	  -0.12204
   3.60000	  -0.15029
   3.70000	  -0.14833
   3.80000	  -0.19011
   3.90000	  -0.22891
   4.00000	  -0.12525
   4.10000	  -0.20832
   4.20000	  -0.14989
   4.30000	  -0.19399
   4.40000	  -0.18378
   4.50000	  -0.20060
   4.60000	  -0.12579
   4.70000	  -0.17232
   4.80000	  -0.16260
   4.90000	  -0.10090
   5.00000	  -0.02226
   5.10000	  -0.00853
   5.20000	   0.04423
   5.30000	   0.07019
   5.40000	   0.02882
   5.50000	   0.08284
   5.60000	   0.08607
   5.70000	   0.17323
   5.80000	   0.18369
   5.90000	   0.20374
   6.00000	   0.17923
   6.10000	   0.16195
   6.20000	   0.15985
   6.30000	   0.04866
   6.40000	   0.08451
   6.50000	   0.19042
   6.60000	   0.17714
   6.70000	   0.21254
   6.80000	   0.19633
   6.90000	   0.15589
   7.00000	   0.08802
   7.10000	   0.07295
   7.20000	   0.07788
   7.30000	   0.09655
   7.40000	   0.09165
   7.50000	   0.03092
   7.60000	   0.08542
   7.70000	   0.04408
   7.80000	   0.02993
   7.90000	   0.03159
   8.00000	   0.05768
   8.10000	   0.05929
   8.20000	   0.06382
   8.30000	   0.03115
   8.40000	   0.01571
   8.50000	   0.02897
   8.60000	  -0.00981
   8.70000	  -0.04472
   8.80000	  -0.05763
   8.90000	  -0.05084
   9.00000	   0.02233
   9.10000	   0.07290
   9.20000	  -0.04042
   9.30000	   0.02030
   9.40000	   0.05414
   9.50000	   0.03360
   9.60000	  -0.00077
   9.70000	   0.00045
   9.80000	  -0.04033
   9.90000	  -0.02448
  10.00000	   0.01200
  10.10000	   0.01892
  10.20000	  -0.02408
  10.30000	  -0.07404
  10.40000	  -0.08923
  10.50000	  -0.07087
  10.60000	  -0.11457
  10.70000	  -0.15437
  10.80000	  -0.13907
  10.90000	  -0.24731
  11.00000	  -0.19624
  11.10000	  -0.13453
  11.20000	  -0.15562
  11.30000	  -0.22051
  11.40000	  -0.17976
  11.50000	  -0.13813
  11.60000	  -0.21019
  11.70000	  -0.24981
  11.80000	  -0.31744
  11.90000	  -0.33900
  12.00000	  -0.28340
  12.10000	  -0.25224
  12.20000	  -0.18696
  12.30000	  -0.20313
  12.40000	  -0.28479
  12.50000	  -0.30772
  12.60000	  -0.29712
  12.70000	  -0.32675
  12.80000	  -0.34916
  12.90000	  -0.31179
  13.00000	  -0.33399
  13.10000	  -0.23222
  13.20000	  -0.14664
  13.30000	  -0.17872
  13.40000	  -0.16326
  13.50000	  -0.11002
  13.60000	  -0.12841
  13.70000	  -0.06143
  13.80000	  -0.00869
  13.90000	   0.02571
  14.00000	  -0.02705
  14.10000	  -0.17108
  14.20000	  -0.20743
  14.30000	  -0.13174
  14.40000	  -0.12154
  14.50000	  -0.11954
  14.60000	  -0.10476
  14.70000	  -0.18969
  14.80000	  -0.17516
  14.90000	  -0.20199
  15.00000	  -0.15990
  15.10000	  -0.13880
  15.20000	  -0.13327
  15.30000	  -0.07350
  15.40000	  -0.01428
  15.50000	  -0.01658
  15.60000	  -0.08684
  15.70000	  -0.09656
  15.80000	  -0.09233
  15.90000	   0.00466
  16.00000	  -0.00675
  16.10000	  -0.00192
  16.20000	   0.03370
  16.30000	   0.07393
  16.40000	  -0.01204
  16.50000	   0.06809
  16.60000	   0.12147
  16.70000	   0.15582
  16.80000	   0.11295
  16.90000	   0.05474
  17.00000	   0.12232
  17.10000	   0.10171
  17.20000	   0.09280
  17.30000	   0.05591
  17.40000	   0.07285
  17.50000	   0.01862
  17.60000	  -0.01313
  17.70000	  -0.10816
  17.80000	  -0.09040
  17.90000	  -0.08282
  18.00000	  -0.09107
  18.10000	  -0.12854
  18.20000	  -0.09271
  18.30000	  -0.08711
  18.40000	  -0.07488
  18.50000	  -0.04094
  18.60000	  -0.03426
  18.70000	   0.02914
  18.80000	  -0.07568
  18.90000	  -0.00731
  19.00000	  -0.03710
  19.10000	  -0.11221
  19.20000	  -0.11686
  19.30000	  -0.22654
  19.40000	  -0.29890
  19.50000	  -0.28336
  19.60000	  -0.25653
  19.70000	  -0.17188
  19.80000	  -0.12019
  19.90000	  -0.11398
  20.00000	  -0.15003
  20.10000	  -0.11707
  20.20000	  -0.07797
  20.30000	  -0.10091
  20.40000	  -0.06673
  20.50000	  -0.02517
  20.60000	  -0.01817
  20.70000	  -0.08364
  20.80000	  -0.11501
  20.90000	  -0.17104
  21.00000	  -0.17860
  21.10000	  -0.21578
  21.20000	  -0.17351
  21.30000	  -0.11568
  21.40000	  -0.07252
  21.50000	  -0.12328
  21.60000	  -0.10651
  21.70000	   0.01652
  21.80000	   0.12966
  21.90000	   0.18465
  22.00000	   0.16082
  22.10000	   0.14390
  22.20000	   0.10211
  22.30000	   0.19686
  22.40000	   0.20594
  22.50000	   0.20362
  22.60000	   0.21396
  22.70000	   0.27218
  22.80000	   0.25543
  22.90000	   0.20780
  23.00000	   0.12954
  23.10000	   0.09884
  23.20000	   0.09419
  23.30000	   0.09588
  23.40000	   0.03302
  23.50000	   0.04745
  23.60000	   0.10643
  23.70000	  -0.10792
  23.80000	  -0.04254
  23.90000	  -0.03071
  24.00000	   0.07702
  24.10000	   0.09823
  24.20000	   0.15740
  24.30000	   0.24071
  24.40000	   0.21407
  24.50000	   0.22546
  24.60000	   0.36459
  24.70000	   0.29938
  24.80000	   0.25750
  24.90000	   0.28868
  25.00000	   0.25947
  25.10000	   0.29867
  25.20000	   0.31581
  25.30000	   0.31576
