# gamma	ks
  12.66312	  60.86301
   0.00000	   0.00034
   0.10000	   0.09959
   0.20000	   0.01837
   0.30000	  -0.07669
   0.40000	  -0.06310
   0.50000	   0.00115
   0.60000	  -0.00825
   0.70000	  -0.00792
   0.80000	  -0.06821
   0.90000	  -0.10705
   1.00000	  -0.05139
   1.10000	  -0.13245
   1.20000	  -0.10377
   1.30000	  -0.02393
   1.40000	  -0.00065
   1.50000	   0.07685
   1.60000	   0.01381
   1.70000	  -0.01054
   1.80000	   0.03249
   1.90000	   0.02213
   2.00000	   0.05882
   2.10000	  -0.04258
   2.20000	  -0.07180
   2.30000	  -0.00634
   2.40000	   0.04085
   2.50000	   0.02265
   2.60000	  -0.00736
   2.70000	  -0.00673
   2.80000	   0.00399
   2.90000	  -0.04447
   3.00000	  -0.10882
   3.10000	   0.05995
   3.20000	   0.17730
   3.30000	   0.11940
   3.40000	   0.13939
   3.50000	   0.11949
   3.60000	   0.13282
   3.70000	   0.03065
   3.80000	  -0.00738
   3.90000	   0.02746
   4.00000	   0.04898
   4.10000	   0.08193
   4.20000	   0.03675
   4.30000	   0.04460
   4.40000	  -0.12341
   4.50000	  -0.20519
   4.60000	  -0.17228
   4.70000	  -0.10408
   4.80000	   0.10702
   4.90000	   0.29421
   5.00000	   0.18360
   5.10000	  -0.04966
   5.20000	  -0.22002
   5.30000	  -0.18822
   5.40000	  -0.09041
   5.50000	   0.08376
   5.60000	   0.12267
   5.70000	   0.22009
   5.80000	   0.16811
   5.90000	   0.18848
   6.00000	   0.04801
   6.10000	  -0.10138
   6.20000	  -0.13729
   6.30000	  -0.05932
   6.40000	  -0.10260
   6.50000	  -0.07648
   6.60000	   0.03453
   6.70000	   0.13541
   6.80000	   0.16481
   6.90000	   0.21419
   7.00000	   0.14024
   7.10000	   0.04326
   7.20000	   0.08033
   7.30000	   0.13452
   7.40000	   0.12793
   7.50000	   0.05292
   7.60000	   0.04089
   7.70000	   0.08734
   7.80000	   0.07390
   7.90000	   0.03930
   8.00000	   0.08432
   8.10000	   0.13861
   8.20000	   0.15648
   8.30000	   0.16551
   8.40000	   0.13219
   8.50000	   0.06822
   8.60000	  -0.03132
   8.70000	  -0.04487
   8.80000	  -0.03190
   8.90000	   0.06375
   9.00000	   0.01056
   9.10000	  -0.07738
   9.20000	   0.02014
   9.30000	   0.04012
   9.40000	   0.14059
   9.50000	   0.19323
   9.60000	   0.16645
   9.70000	   0.12291
   9.80000	   0.13869
   9.90000	   0.13271
  10.00000	   0.03370
  10.10000	  -0.02407
  10.20000	  -0.01965
  10.30000	   0.00510
  10.40000	   0.05267
  10.50000	   0.01440
  10.60000	   0.06280
  10.70000	  -0.04627
  10.80000	  -0.02992
  10.90000	  -0.08708
  11.00000	  -0.09075
  11.10000	  -0.03207
  11.20000	  -0.02531
  11.30000	   0.06451
  11.40000	   0.15521
  11.50000	   0.17607
  11.60000	   0.13162
  11.70000	   0.07716
  11.80000	   0.02996
  11.90000	  -0.00690
  12.00000	   0.05377
  12.10000	   0.10512
  12.20000	   0.05896
  12.30000	  -0.02703
  12.40000	  -0.07909
  12.50000	  -0.07700
  12.60000	  -0.11134
  12.70000	  -0.14542
  12.80000	  -0.12669
  12.90000	  -0.11662
  13.00000	  -0.15306
  13.10000	  -0.14706
  13.20000	  -0.02512
  13.30000	   0.07205
  13.40000	   0.09612
  13.50000	  -0.03289
  13.60000	  -0.17952
  13.70000	  -0.33722
  13.80000	  -0.39637
  13.90000	  -0.38497
  14.00000	  -0.29971
  14.10000	  -0.20630
  14.20000	  -0.04914
  14.30000	  -0.00225
  14.40000	   0.11846
  14.50000	   0.12752
  14.60000	   0.10994
  14.70000	   0.05348
  14.80000	  -0.00721
  14.90000	   0.03588
  15.00000	   0.02414
  15.10000	   0.10433
  15.20000	   0.17051
  15.30000	   0.12142
  15.40000	   0.01411
  15.50000	  -0.11813
  15.60000	  -0.08703
  15.70000	  -0.04535
  15.80000	   0.02629
  15.90000	   0.12343
  16.00000	   0.07084
  16.10000	   0.00168
  16.20000	  -0.00379
  16.30000	  -0.03395
  16.40000	  -0.02668
  16.50000	   0.05270
  16.60000	   0.07269
  16.70000	   0.12767
  16.80000	   0.17573
  16.90000	   0.19592
  17.00000	   0.22668
  17.10000	   0.15335
  17.20000	  -0.08303
  17.30000	  -0.15940
  17.40000	  -0.18823
  17.50000	  -0.21326
  17.60000	  -0.15027
  17.70000	   0.00410
  17.80000	   0.08920
  17.90000	   0.09260
  18.00000	   0.13519
  18.10000	   0.27681
  18.20000	   0.29147
  18.30000	   0.22874
  18.40000	   0.08144
  18.50000	  -0.07586
  18.60000	  -0.14528
  18.70000	   0.02137
  18.80000	   0.12506
  18.90000	   0.09162
  19.00000	   0.07505
  19.10000	   0.10420
  19.20000	   0.15865
  19.30000	   0.12319
  19.40000	   0.03208
  19.50000	  -0.07949
  19.60000	  -0.17311
  19.70000	  -0.10933
  19.80000	  -0.01494
  19.90000	  -0.00660
  20.00000	   0.00243
  20.10000	   0.15484
  20.20000	   0.13894
  20.30000	   0.02438
  20.40000	   0.00396
  20.50000	   0.03118
  20.60000	  -0.03109
  20.70000	  -0.01453
  20.80000	  -0.12704
  20.90000	  -0.02842
  21.00000	   0.02164
  21.10000	  -0.11023
  21.20000	  -0.12842
  21.30000	  -0.10175
  21.40000	  -0.05883
  21.50000	  -0.13697
  21.60000	  -0.04282
  21.70000	   0.05274
  21.80000	   0.04145
  21.90000	   0.09000
  22.00000	  -0.02798
  22.10000	   0.01391
  22.20000	   0.04077
  22.30000	   0.07225
  22.40000	   0.05023
  22.50000	   0.00097
  22.60000	  -0.12619
  22.70000	  -0.02578
  22.80000	  -0.02098
  22.90000	  -0.06187
  23.00000	  -0.08890
  23.10000	  -0.13806
  23.20000	  -0.09066
  23.30000	  -0.01756
  23.40000	  -0.03069
  23.50000	   0.00513
  23.60000	   0.03811
  23.70000	  -0.03477
  23.80000	  -0.10303
  23.90000	  -0.09662
  24.00000	  -0.07835
  24.10000	   0.00033
  24.20000	   0.06453
  24.30000	   0.01205
  24.40000	  -0.02483
  24.50000	  -0.08121
  24.60000	  -0.13167
  24.70000	  -0.24908
  24.80000	  -0.23803
  24.90000	  -0.16452
  25.00000	  -0.19112
  25.10000	  -0.24545
  25.20000	  -0.19959
  25.30000	  -0.10919
  25.40000	  -0.09580
  25.50000	  -0.02496
  25.60000	  -0.03257
  25.70000	   0.02618
  25.80000	   0.03965
  25.90000	   0.05965
  26.00000	   0.05415
  26.10000	   0.13455
  26.20000	   0.12588
  26.30000	   0.16506
  26.40000	   0.12310
  26.50000	   0.02207
  26.60000	  -0.00966
  26.70000	  -0.18401
  26.80000	  -0.16367
  26.90000	  -0.24969
  27.00000	  -0.22033
  27.10000	  -0.24717
  27.20000	  -0.05469
  27.30000	   0.04875
  27.40000	  -0.02156
  27.50000	  -0.04173
  27.60000	  -0.07819
  27.70000	  -0.17207
  27.80000	  -0.20823
  27.90000	   0.00285
  28.00000	   0.08587
  28.10000	  -0.04586
  28.20000	  -0.09431
  28.30000	  -0.16038
  28.40000	  -0.18207
  28.50000	  -0.11062
  28.60000	  -0.05610
  28.70000	  -0.03172
  28.80000	  -0.02350
  28.90000	   0.02752
  29.00000	   0.02289
  29.10000	  -0.12175
  29.20000	  -0.18256
  29.30000	  -0.12703
  29.40000	  -0.04725
  29.50000	   0.04398
  29.60000	  -0.02903
  29.70000	  -0.04036
  29.80000	  -0.09379
  29.90000	  -0.07126
  30.00000	  -0.07717
  30.10000	  -0.08148
  30.20000	  -0.07423
  30.30000	  -0.05561
  30.40000	   0.03586
  30.50000	   0.08437
  30.60000	   0.12007
  30.70000	   0.11224
  30.80000	   0.04217
  30.90000	  -0.02805
  31.00000	  -0.08661
  31.10000	  -0.06270
  31.20000	   0.02976
  31.30000	   0.09202
  31.40000	   0.14750
  31.50000	   0.07109
  31.60000	   0.00953
  31.70000	  -0.04231
  31.80000	   0.05354
  31.90000	  -0.01771
  32.00000	  -0.02749
  32.10000	  -0.04651
  32.20000	  -0.01732
  32.30000	  -0.00573
  32.40000	  -0.02077
  32.50000	  -0.04779
  32.60000	   0.03580
  32.70000	  -0.02205
  32.80000	  -0.07514
  32.90000	  -0.05975
  33.00000	  -0.02139
  33.10000	  -0.01593
  33.20000	  -0.05820
  33.30000	  -0.12866
  33.40000	  -0.18499
  33.50000	  -0.17479
  33.60000	  -0.19968
  33.70000	  -0.17223
  33.80000	  -0.17979
  33.90000	  -0.15105
  34.00000	  -0.18918
  34.10000	  -0.23400
  34.20000	  -0.25428
  34.30000	  -0.06174
  34.40000	   0.08737
  34.50000	   0.16516
  34.60000	   0.17372
  34.70000	   0.20915
  34.80000	   0.17522
  34.90000	   0.03042
  35.00000	  -0.02115
  35.10000	   0.03192
  35.20000	   0.07520
  35.30000	   0.16594
  35.40000	   0.18018
  35.50000	   0.14865
  35.60000	   0.12889
  35.70000	   0.09235
  35.80000	   0.01651
  35.90000	  -0.11540
  36.00000	  -0.04307
  36.10000	   0.01019
  36.20000	   0.04261
  36.30000	  -0.00859
  36.40000	  -0.13897
  36.50000	  -0.06122
  36.60000	   0.06646
  36.70000	   0.13447
  36.80000	   0.13964
  36.90000	   0.18326
  37.00000	   0.13187
  37.10000	   0.09551
  37.20000	   0.10988
  37.30000	   0.06934
  37.40000	   0.09731
  37.50000	   0.10205
  37.60000	   0.07576
  37.70000	  -0.03548
  37.80000	  -0.12009
  37.90000	  -0.01515
  38.00000	  -0.01450
  38.10000	  -0.06192
  38.20000	  -0.03970
  38.30000	  -0.03924
  38.40000	   0.04868
  38.50000	  -0.17272
  38.60000	  -0.39270
  38.70000	  -0.26062
  38.80000	   0.01454
  38.90000	   0.20361
  39.00000	   0.15387
  39.10000	   0.16793
  39.20000	   0.22589
  39.30000	   0.30085
  39.40000	   0.24168
  39.50000	   0.12048
  39.60000	   0.08799
  39.70000	   0.14674
  39.80000	   0.10087
  39.90000	  -0.00008
  40.00000	  -0.03331
  40.10000	  -0.02774
  40.20000	   0.15548
  40.30000	   0.15562
  40.40000	  -0.01930
  40.50000	  -0.20556
  40.60000	  -0.09212
  40.70000	  -0.01400
  40.80000	  -0.00685
  40.90000	  -0.03315
  41.00000	  -0.11920
  41.10000	  -0.15642
  41.20000	  -0.19993
  41.30000	  -0.18515
  41.40000	  -0.17302
  41.50000	  -0.13843
  41.60000	  -0.08821
  41.70000	  -0.17472
  41.80000	  -0.23858
  41.90000	  -0.13879
  42.00000	  -0.06276
  42.10000	   0.06363
  42.20000	   0.18863
  42.30000	   0.15701
  42.40000	   0.08880
  42.50000	   0.11884
  42.60000	   0.21160
  42.70000	  -0.01275
  42.80000	  -0.06197
  42.90000	  -0.06105
  43.00000	  -0.12521
  43.10000	  -0.11232
  43.20000	  -0.13422
  43.30000	  -0.06537
  43.40000	   0.07372
  43.50000	   0.10400
  43.60000	   0.17598
  43.70000	   0.11405
  43.80000	   0.09546
  43.90000	  -0.01632
  44.00000	  -0.08486
  44.10000	  -0.01032
  44.20000	   0.06974
  44.30000	   0.10794
  44.40000	   0.11700
  44.50000	   0.13588
  44.60000	   0.19397
  44.70000	   0.20631
  44.80000	   0.17199
  44.90000	   0.06217
  45.00000	  -0.08797
  45.10000	  -0.10922
  45.20000	  -0.00823
  45.30000	   0.02666
  45.40000	   0.00543
  45.50000	   0.02539
  45.60000	   0.03041
  45.70000	  -0.04559
  45.80000	   0.01850
  45.90000	   0.10948
  46.00000	   0.17255
  46.10000	   0.23839
  46.20000	   0.11070
  46.30000	  -0.01547
  46.40000	  -0.05735
  46.50000	   0.05253
  46.60000	   0.09338
  46.70000	   0.05917
  46.80000	   0.06477
  46.90000	   0.01256
  47.00000	   0.01425
  47.10000	  -0.04503
  47.20000	  -0.00097
  47.30000	  -0.07556
  47.40000	  -0.14080
  47.50000	  -0.11344
  47.60000	  -0.00566
  47.70000	   0.06167
  47.80000	   0.01909
  47.90000	  -0.05831
  48.00000	  -0.17530
  48.10000	  -0.03638
  48.20000	   0.08850
  48.30000	   0.01490
  48.40000	   0.00423
  48.50000	  -0.02831
  48.60000	  -0.01131
  48.70000	  -0.09510
  48.80000	  -0.06475
  48.90000	  -0.02972
  49.00000	  -0.06742
  49.10000	  -0.03800
  49.20000	  -0.00071
  49.30000	   0.03472
  49.40000	   0.02121
  49.50000	   0.00512
  49.60000	  -0.02112
  49.70000	  -0.02441
  49.80000	  -0.05463
  49.90000	  -0.04809
  50.00000	  -0.12297
  50.10000	  -0.13098
  50.20000	  -0.15902
  50.30000	  -0.13759
  50.40000	   0.01565
  50.50000	   0.23948
  50.60000	   0.21539
  50.70000	   0.23671
  50.80000	   0.16239
  50.90000	   0.13431
  51.00000	   0.16161
  51.10000	   0.16703
  51.20000	   0.18454
  51.30000	   0.09038
  51.40000	   0.01966
  51.50000	  -0.03504
  51.60000	  -0.00598
  51.70000	  -0.02807
  51.80000	   0.06868
  51.90000	   0.09820
  52.00000	   0.03342
  52.10000	  -0.06834
  52.20000	  -0.13435
  52.30000	  -0.20950
  52.40000	  -0.21755
  52.50000	  -0.20130
  52.60000	  -0.12642
  52.70000	  -0.07036
  52.80000	  -0.00956
  52.90000	  -0.07903
  53.00000	  -0.12789
  53.10000	  -0.09757
  53.20000	  -0.06970
  53.30000	  -0.00825
  53.40000	  -0.05384
  53.50000	  -0.14493
  53.60000	  -0.18782
  53.70000	  -0.24141
  53.80000	  -0.15415
  53.90000	  -0.03711
  54.00000	  -0.04196
  54.10000	  -0.07157
  54.20000	  -0.03067
  54.30000	   0.03535
  54.40000	   0.03310
  54.50000	   0.17931
  54.60000	   0.11889
  54.70000	   0.09095
  54.80000	   0.02717
  54.90000	   0.03849
  55.00000	   0.04002
  55.10000	   0.02016
  55.20000	   0.07226
  55.30000	   0.09948
  55.40000	   0.07379
  55.50000	  -0.02261
  55.60000	   0.03002
  55.70000	   0.10996
  55.80000	   0.11126
  55.90000	   0.07457
  56.00000	   0.04626
  56.10000	   0.03779
  56.20000	   0.04763
  56.30000	   0.04881
  56.40000	   0.16694
  56.50000	   0.16691
  56.60000	   0.20621
  56.70000	   0.11104
  56.80000	   0.04924
  56.90000	   0.14945
  57.00000	   0.07840
  57.10000	  -0.02244
  57.20000	  -0.14341
  57.30000	  -0.14171
  57.40000	  -0.06421
  57.50000	   0.00292
  57.60000	  -0.01740
  57.70000	   0.01480
  57.80000	   0.02509
  57.90000	   0.08297
  58.00000	   0.13945
  58.10000	  -0.03757
  58.20000	  -0.25049
  58.30000	  -0.35636
  58.40000	  -0.17655
  58.50000	  -0.06503
  58.60000	   0.00440
  58.70000	  -0.01710
  58.80000	  -0.15559
  58.90000	  -0.27817
  59.00000	  -0.24500
  59.10000	  -0.18165
  59.20000	  -0.11940
  59.30000	  -0.06310
  59.40000	   0.06078
  59.50000	   0.05589
  59.60000	   0.02601
  59.70000	   0.01028
  59.80000	  -0.05932
