# gamma	ks
  61.64057	  15.91361
   0.00000	   0.00000
   0.10000	  -0.02743
   0.20000	  -0.00279
   0.30000	   0.09184
   0.40000	   0.13973
   0.50000	   0.13313
   0.60000	   0.11622
   0.70000	   0.13611
   0.80000	   0.14687
   0.90000	   0.16751
   1.00000	   0.14154
   1.10000	   0.09295
   1.20000	   0.09579
   1.30000	   0.06718
   1.40000	   0.01392
   1.50000	   0.01878
   1.60000	   0.03391
   1.70000	  -0.03312
   1.80000	  -0.03787
   1.90000	  -0.06433
   2.00000	  -0.01481
   2.10000	   0.06015
   2.20000	   0.10103
   2.30000	   0.07989
   2.40000	   0.17212
   2.50000	   0.14614
   2.60000	   0.03297
   2.70000	   0.01014
   2.80000	   0.07939
   2.90000	   0.11892
   3.00000	   0.10800
   3.10000	   0.08134
   3.20000	   0.09327
   3.30000	   0.09071
   3.40000	   0.12453
   3.50000	   0.13345
   3.60000	   0.09297
   3.70000	   0.01580
   3.80000	   0.00554
   3.90000	   0.03956
   4.00000	   0.02421
   4.10000	  -0.03728
   4.20000	  -0.01538
   4.30000	  -0.00144
   4.40000	  -0.08050
   4.50000	  -0.08424
   4.60000	  -0.07261
   4.70000	  -0.14111
   4.80000	  -0.17539
   4.90000	  -0.15064
   5.00000	  -0.10011
   5.10000	  -0.09211
   5.20000	  -0.05778
   5.30000	  -0.04063
   5.40000	  -0.03020
   5.50000	   0.04390
   5.60000	   0.06911
   5.70000	   0.04027
   5.80000	   0.00365
   5.90000	  -0.01280
   6.00000	  -0.00389
   6.10000	   0.04237
   6.20000	   0.07128
   6.30000	   0.13204
   6.40000	   0.11448
   6.50000	   0.15029
   6.60000	   0.17162
   6.70000	   0.15329
   6.80000	   0.18015
   6.90000	   0.23129
   7.00000	   0.27729
   7.10000	   0.28225
   7.20000	   0.26872
   7.30000	   0.27921
   7.40000	   0.18655
   7.50000	   0.00057
   7.60000	   0.00882
   7.70000	  -0.04386
   7.80000	  -0.07436
   7.90000	  -0.03816
   8.00000	  -0.09220
   8.10000	  -0.15583
   8.20000	  -0.12222
   8.30000	  -0.10027
   8.40000	  -0.06010
   8.50000	  -0.10580
   8.60000	  -0.10213
   8.70000	  -0.05325
   8.80000	  -0.00059
   8.90000	  -0.03468
   9.00000	  -0.02313
   9.10000	   0.02483
   9.20000	   0.03266
   9.30000	  -0.00914
   9.40000	  -0.00255
   9.50000	  -0.01161
   9.60000	   0.00461
   9.70000	   0.01008
   9.80000	   0.00693
   9.90000	  -0.01771
  10.00000	  -0.07559
  10.10000	  -0.05306
  10.20000	   0.01218
  10.30000	  -0.03928
  10.40000	  -0.09387
  10.50000	  -0.09224
  10.60000	  -0.08204
  10.70000	  -0.15021
  10.80000	  -0.13479
  10.90000	  -0.12960
  11.00000	  -0.10932
  11.10000	  -0.14199
  11.20000	  -0.22949
  11.30000	  -0.27114
  11.40000	  -0.23508
  11.50000	  -0.18462
  11.60000	  -0.14953
  11.70000	  -0.19106
  11.80000	  -0.13745
  11.90000	  -0.11041
  12.00000	  -0.15904
  12.10000	  -0.12495
  12.20000	  -0.13523
  12.30000	  -0.14056
  12.40000	  -0.04427
  12.50000	  -0.08009
  12.60000	  -0.14085
  12.70000	  -0.14117
  12.80000	  -0.22405
  12.90000	  -0.23397
  13.00000	  -0.26292
  13.10000	  -0.26319
  13.20000	  -0.17836
  13.30000	  -0.16774
  13.40000	  -0.20417
  13.50000	  -0.24964
  13.60000	  -0.24008
  13.70000	  -0.31145
  13.80000	  -0.28294
  13.90000	  -0.31663
  14.00000	  -0.23327
  14.10000	  -0.16293
  14.20000	  -0.11778
  14.30000	  -0.10718
  14.40000	  -0.19173
  14.50000	  -0.09923
  14.60000	  -0.18818
  14.70000	  -0.24254
  14.80000	  -0.26503
  14.90000	  -0.15695
  15.00000	  -0.08263
  15.10000	  -0.07977
  15.20000	  -0.09285
  15.30000	   0.01354
  15.40000	  -0.11905
  15.50000	  -0.14607
  15.60000	  -0.09045
  15.70000	  -0.09761
  15.80000	  -0.12699
  15.90000	  -0.14086
  16.00000	  -0.15388
  16.10000	  -0.29023
  16.20000	  -0.32207
  16.30000	  -0.26372
  16.40000	  -0.26345
  16.50000	  -0.28777
  16.60000	  -0.22784
  16.70000	  -0.19998
  16.80000	  -0.15132
  16.90000	  -0.11635
  17.00000	  -0.07065
  17.10000	  -0.02456
  17.20000	   0.00968
  17.30000	  -0.00323
  17.40000	  -0.01863
  17.50000	  -0.00720
  17.60000	  -0.09444
  17.70000	  -0.09402
  17.80000	  -0.00699
  17.90000	  -0.03863
  18.00000	   0.00232
  18.10000	   0.04221
  18.20000	   0.07808
  18.30000	   0.09259
  18.40000	   0.03978
  18.50000	   0.04336
  18.60000	   0.00598
  18.70000	   0.03135
  18.80000	   0.03302
  18.90000	   0.05228
  19.00000	   0.01851
  19.10000	   0.02199
  19.20000	   0.06582
  19.30000	   0.11864
  19.40000	   0.11380
  19.50000	   0.05231
  19.60000	   0.09804
  19.70000	   0.11755
  19.80000	   0.17162
  19.90000	   0.06062
  20.00000	   0.07232
  20.10000	   0.21637
  20.20000	   0.26887
  20.30000	   0.26508
  20.40000	   0.32178
  20.50000	   0.24888
  20.60000	   0.20244
  20.70000	   0.13198
  20.80000	   0.20647
  20.90000	   0.22304
  21.00000	   0.21866
  21.10000	   0.19923
  21.20000	   0.28192
  21.30000	   0.23474
  21.40000	   0.19605
  21.50000	   0.20046
  21.60000	   0.27112
  21.70000	   0.34005
  21.80000	   0.31678
  21.90000	   0.29342
  22.00000	   0.30095
  22.10000	   0.26857
  22.20000	   0.36860
  22.30000	   0.39887
  22.40000	   0.43688
  22.50000	   0.44490
  22.60000	   0.49827
  22.70000	   0.44374
  22.80000	   0.43181
  22.90000	   0.44074
  23.00000	   0.42399
  23.10000	   0.40085
  23.20000	   0.40025
  23.30000	   0.27903
  23.40000	   0.30706
  23.50000	   0.33132
  23.60000	   0.26588
  23.70000	   0.12848
  23.80000	   0.07623
  23.90000	   0.04318
  24.00000	   0.06079
  24.10000	   0.09849
  24.20000	  -0.02237
  24.30000	   0.02215
  24.40000	   0.06031
  24.50000	   0.06352
  24.60000	   0.08498
  24.70000	   0.12622
  24.80000	   0.21740
  24.90000	   0.25946
  25.00000	   0.19283
  25.10000	   0.17955
  25.20000	   0.12012
  25.30000	   0.22216
  25.40000	   0.28323
  25.50000	   0.29726
  25.60000	   0.36036
  25.70000	   0.38168
  25.80000	   0.36691
  25.90000	   0.25070
  26.00000	   0.24850
  26.10000	   0.16367
  26.20000	   0.08110
  26.30000	   0.11803
  26.40000	   0.12351
  26.50000	   0.17790
  26.60000	   0.19591
  26.70000	   0.19851
  26.80000	   0.24791
  26.90000	   0.15701
  27.00000	   0.16326
  27.10000	   0.17649
  27.20000	   0.14696
  27.30000	   0.13724
  27.40000	   0.08994
  27.50000	   0.11152
  27.60000	   0.07008
  27.70000	   0.13384
  27.80000	   0.15291
  27.90000	   0.10176
  28.00000	   0.14334
  28.10000	   0.07124
  28.20000	   0.05845
  28.30000	   0.12941
  28.40000	   0.20822
  28.50000	   0.23186
  28.60000	   0.20042
  28.70000	   0.36307
  28.80000	   0.28875
  28.90000	   0.19486
  29.00000	   0.24889
  29.10000	   0.21725
  29.20000	   0.20213
  29.30000	   0.24877
  29.40000	   0.24562
  29.50000	   0.24358
  29.60000	   0.31787
  29.70000	   0.38212
  29.80000	   0.30285
  29.90000	   0.22864
  30.00000	   0.16054
  30.10000	   0.11207
  30.20000	   0.13537
  30.30000	   0.10391
  30.40000	   0.15677
  30.50000	   0.16255
  30.60000	   0.13848
  30.70000	   0.11669
  30.80000	   0.06020
  30.90000	   0.02617
  31.00000	  -0.00733
  31.10000	   0.03526
  31.20000	   0.06699
  31.30000	   0.03677
  31.40000	   0.22696
  31.50000	   0.21970
  31.60000	   0.17080
  31.70000	   0.18073
  31.80000	   0.12859
  31.90000	   0.13769
  32.00000	   0.09102
  32.10000	   0.13793
  32.20000	   0.08061
  32.30000	   0.12178
  32.40000	   0.12086
  32.50000	   0.18544
  32.60000	   0.20255
  32.70000	   0.21949
  32.80000	   0.27499
  32.90000	   0.31000
  33.00000	   0.32547
  33.10000	   0.25618
  33.20000	   0.21096
  33.30000	   0.23610
  33.40000	   0.25460
  33.50000	   0.19622
  33.60000	   0.20927
  33.70000	   0.15744
  33.80000	   0.21187
  33.90000	   0.23268
  34.00000	   0.24320
