# gamma	ks
  67.88837	  82.16963
   0.00000	  -0.19683
   0.10000	  -0.14863
   0.20000	  -0.15819
   0.30000	  -0.05032
   0.40000	   0.07562
   0.50000	   0.03543
   0.60000	   0.09056
   0.70000	   0.07476
   0.80000	   0.10355
   0.90000	   0.14962
   1.00000	   0.15806
   1.10000	   0.14211
   1.20000	   0.07932
   1.30000	   0.14491
   1.40000	   0.12111
   1.50000	   0.11408
   1.60000	   0.19163
   1.70000	   0.16468
   1.80000	   0.18079
   1.90000	   0.22193
   2.00000	   0.25092
   2.10000	   0.22758
   2.20000	   0.26201
   2.30000	   0.24235
   2.40000	   0.17841
   2.50000	   0.25442
   2.60000	   0.20315
   2.70000	   0.21293
   2.80000	   0.16593
   2.90000	   0.19723
   3.00000	   0.13488
   3.10000	   0.13242
   3.20000	   0.05200
   3.30000	   0.13926
   3.40000	   0.13471
   3.50000	   0.08822
   3.60000	   0.09044
   3.70000	   0.09340
   3.80000	   0.14170
   3.90000	   0.13544
   4.00000	   0.09279
   4.10000	   0.08190
   4.20000	   0.13424
   4.30000	   0.09102
   4.40000	   0.13214
   4.50000	   0.12282
   4.60000	   0.08252
   4.70000	   0.06136
   4.80000	   0.03617
   4.90000	   0.05099
   5.00000	   0.10363
   5.10000	   0.08954
   5.20000	   0.00274
   5.30000	  -0.07866
   5.40000	  -0.05779
   5.50000	  -0.01407
   5.60000	   0.01550
   5.70000	   0.01767
   5.80000	   0.01214
   5.90000	  -0.02060
   6.00000	   0.04176
   6.10000	   0.06713
   6.20000	   0.03735
   6.30000	   0.02650
   6.40000	   0.09391
   6.50000	   0.12743
   6.60000	   0.14739
   6.70000	   0.16756
   6.80000	   0.19888
   6.90000	   0.32299
   7.00000	   0.27842
   7.10000	   0.31877
   7.20000	   0.26764
   7.30000	   0.28300
   7.40000	   0.24414
   7.50000	   0.11118
   7.60000	   0.01887
   7.70000	  -0.02521
   7.80000	  -0.04298
   7.90000	  -0.06474
   8.00000	  -0.02609
   8.10000	  -0.03586
   8.20000	  -0.06283
   8.30000	  -0.06445
   8.40000	  -0.02711
   8.50000	  -0.10631
   8.60000	  -0.10598
   8.70000	  -0.11093
   8.80000	  -0.12231
   8.90000	  -0.02152
   9.00000	  -0.11700
   9.10000	  -0.14632
   9.20000	  -0.03462
   9.30000	  -0.01901
   9.40000	  -0.03871
   9.50000	  -0.06935
   9.60000	   0.00786
   9.70000	  -0.00641
   9.80000	  -0.00008
   9.90000	   0.05571
  10.00000	   0.06007
  10.10000	   0.01798
  10.20000	  -0.00322
  10.30000	  -0.04614
  10.40000	   0.00696
  10.50000	   0.02448
  10.60000	   0.07599
  10.70000	   0.05913
  10.80000	   0.02394
  10.90000	  -0.02428
  11.00000	  -0.02244
  11.10000	  -0.04393
  11.20000	  -0.08462
  11.30000	  -0.11824
  11.40000	  -0.02065
  11.50000	   0.01047
  11.60000	  -0.06156
  11.70000	   0.02853
  11.80000	   0.08998
  11.90000	   0.09320
  12.00000	   0.04685
  12.10000	   0.05267
  12.20000	   0.05506
  12.30000	   0.08672
  12.40000	  -0.06778
  12.50000	  -0.02257
  12.60000	   0.03193
  12.70000	   0.07788
  12.80000	   0.09791
  12.90000	   0.04966
  13.00000	  -0.06001
  13.10000	  -0.03137
  13.20000	  -0.03880
  13.30000	  -0.05448
  13.40000	  -0.06853
  13.50000	  -0.03876
  13.60000	  -0.01003
  13.70000	   0.04729
  13.80000	   0.13888
  13.90000	   0.24019
  14.00000	   0.18504
  14.10000	   0.14694
  14.20000	   0.12988
  14.30000	   0.06000
  14.40000	  -0.00905
  14.50000	  -0.01555
