# gamma	ks
  72.57799	  30.43766
   0.00000	  -0.00284
   0.10000	   0.00079
   0.20000	   0.00747
   0.30000	   0.05845
   0.40000	   0.02468
   0.50000	   0.00556
   0.60000	   0.00097
   0.70000	   0.00794
   0.80000	  -0.04491
   0.90000	   0.04580
   1.00000	   0.06235
   1.10000	   0.09332
   1.20000	   0.11556
   1.30000	   0.07362
   1.40000	   0.05518
   1.50000	   0.09271
   1.60000	   0.14325
   1.70000	   0.11101
   1.80000	   0.08812
   1.90000	   0.03768
   2.00000	   0.09103
   2.10000	  -0.01695
   2.20000	   0.00026
   2.30000	   0.03333
   2.40000	   0.02846
   2.50000	   0.05305
   2.60000	   0.05671
   2.70000	   0.07515
   2.80000	   0.15106
   2.90000	   0.19153
   3.00000	   0.15237
   3.10000	   0.19794
   3.20000	   0.22522
   3.30000	   0.29255
   3.40000	   0.28780
   3.50000	   0.18856
   3.60000	   0.17783
   3.70000	   0.04532
   3.80000	   0.04041
   3.90000	   0.06423
   4.00000	   0.13098
   4.10000	   0.13969
   4.20000	   0.14996
   4.30000	   0.14760
   4.40000	   0.27064
   4.50000	   0.30550
   4.60000	   0.29251
   4.70000	   0.29020
   4.80000	   0.27557
   4.90000	   0.24630
   5.00000	   0.22766
   5.10000	   0.28177
   5.20000	   0.26361
   5.30000	   0.12610
   5.40000	   0.15966
   5.50000	   0.18526
   5.60000	   0.10531
   5.70000	   0.08124
   5.80000	   0.00577
   5.90000	   0.01681
   6.00000	   0.04870
   6.10000	   0.04783
   6.20000	   0.04414
   6.30000	   0.04854
   6.40000	   0.02487
   6.50000	   0.05530
   6.60000	   0.14218
   6.70000	   0.04886
   6.80000	   0.08386
   6.90000	   0.03597
   7.00000	   0.11476
   7.10000	   0.15624
   7.20000	   0.19066
   7.30000	   0.19592
   7.40000	   0.10159
   7.50000	   0.08862
   7.60000	   0.06012
   7.70000	   0.01693
   7.80000	   0.06022
   7.90000	   0.08179
   8.00000	   0.03481
   8.10000	   0.00725
   8.20000	  -0.04813
   8.30000	  -0.13458
   8.40000	  -0.14324
   8.50000	  -0.08650
   8.60000	  -0.05692
   8.70000	  -0.03686
   8.80000	  -0.05717
   8.90000	  -0.07331
   9.00000	  -0.19968
   9.10000	  -0.20759
   9.20000	  -0.26931
   9.30000	  -0.12534
   9.40000	  -0.12944
   9.50000	  -0.17285
   9.60000	  -0.22881
   9.70000	  -0.24517
   9.80000	  -0.23812
   9.90000	  -0.16742
  10.00000	  -0.15886
  10.10000	  -0.21684
  10.20000	  -0.21907
  10.30000	  -0.17488
  10.40000	  -0.14877
  10.50000	  -0.01002
  10.60000	   0.06768
  10.70000	   0.04836
  10.80000	   0.00275
  10.90000	  -0.05372
  11.00000	  -0.04349
  11.10000	  -0.05104
  11.20000	  -0.10915
  11.30000	  -0.05837
  11.40000	  -0.10732
  11.50000	  -0.11102
  11.60000	  -0.02552
  11.70000	  -0.03104
  11.80000	  -0.01506
  11.90000	   0.00917
  12.00000	  -0.02929
  12.10000	  -0.00999
  12.20000	  -0.06564
  12.30000	  -0.01378
  12.40000	   0.08026
  12.50000	   0.09244
  12.60000	   0.15825
  12.70000	   0.08239
  12.80000	   0.07775
  12.90000	   0.12348
  13.00000	   0.20643
  13.10000	   0.21066
  13.20000	   0.17143
  13.30000	   0.04937
  13.40000	   0.00921
  13.50000	   0.00196
  13.60000	   0.01719
  13.70000	   0.06358
  13.80000	  -0.05172
  13.90000	  -0.13427
  14.00000	  -0.19107
  14.10000	  -0.17692
  14.20000	  -0.15625
  14.30000	  -0.21445
  14.40000	  -0.31852
  14.50000	  -0.29284
  14.60000	  -0.25386
  14.70000	  -0.20977
  14.80000	  -0.26143
  14.90000	  -0.21893
  15.00000	  -0.22264
  15.10000	  -0.29147
  15.20000	  -0.30652
  15.30000	  -0.20811
  15.40000	  -0.14927
  15.50000	  -0.14408
  15.60000	  -0.17836
  15.70000	  -0.17672
  15.80000	  -0.09168
  15.90000	  -0.09080
  16.00000	  -0.04595
  16.10000	  -0.02338
  16.20000	  -0.00051
  16.30000	  -0.02794
  16.40000	  -0.06714
  16.50000	  -0.14328
  16.60000	  -0.09058
  16.70000	  -0.03907
  16.80000	  -0.12502
  16.90000	  -0.06833
  17.00000	  -0.01963
  17.10000	   0.03228
  17.20000	  -0.02667
  17.30000	  -0.02535
  17.40000	  -0.02856
  17.50000	  -0.05367
  17.60000	  -0.00628
  17.70000	   0.04080
  17.80000	   0.17408
  17.90000	   0.27139
  18.00000	   0.19078
  18.10000	   0.32137
  18.20000	   0.37200
  18.30000	   0.35523
  18.40000	   0.42600
  18.50000	   0.49121
  18.60000	   0.51681
  18.70000	   0.56681
  18.80000	   0.39575
  18.90000	   0.27156
  19.00000	   0.16117
  19.10000	   0.17574
  19.20000	   0.14408
  19.30000	   0.12357
  19.40000	   0.12617
  19.50000	   0.08102
  19.60000	   0.06323
  19.70000	   0.07337
  19.80000	  -0.04037
  19.90000	  -0.01208
  20.00000	  -0.03670
  20.10000	  -0.06916
  20.20000	  -0.09706
  20.30000	  -0.16728
