# gamma	ks
  12.37426	  81.36846
   0.00000	  -0.25160
   0.10000	  -0.16672
   0.20000	  -0.08272
   0.30000	   0.02341
   0.40000	  -0.00016
   0.50000	  -0.12458
   0.60000	  -0.11524
   0.70000	  -0.00805
   0.80000	   0.02164
   0.90000	   0.02180
   1.00000	   0.05588
   1.10000	   0.01557
   1.20000	  -0.07176
   1.30000	  -0.09230
   1.40000	   0.03339
   1.50000	   0.14753
   1.60000	   0.13700
   1.70000	   0.10567
   1.80000	   0.06759
   1.90000	  -0.01770
   2.00000	  -0.16209
   2.10000	  -0.07346
   2.20000	   0.01986
   2.30000	   0.03937
   2.40000	   0.08553
   2.50000	   0.03679
   2.60000	  -0.01330
   2.70000	  -0.06409
   2.80000	  -0.12912
   2.90000	  -0.07910
   3.00000	  -0.04304
   3.10000	   0.01472
   3.20000	   0.01636
   3.30000	  -0.04004
   3.40000	  -0.08442
   3.50000	  -0.10966
   3.60000	  -0.00452
   3.70000	   0.13543
   3.80000	   0.03990
   3.90000	  -0.05322
   4.00000	  -0.04749
   4.10000	  -0.04313
   4.20000	  -0.05609
   4.30000	  -0.01575
   4.40000	   0.00766
   4.50000	   0.13302
   4.60000	   0.16913
   4.70000	   0.12939
   4.80000	  -0.00957
   4.90000	  -0.05434
   5.00000	   0.04442
   5.10000	   0.02326
   5.20000	  -0.05402
   5.30000	  -0.07420
   5.40000	  -0.09414
   5.50000	  -0.07161
   5.60000	  -0.04381
   5.70000	  -0.06552
   5.80000	  -0.00621
   5.90000	   0.01410
   6.00000	   0.11360
   6.10000	   0.14856
   6.20000	   0.06851
   6.30000	   0.10071
   6.40000	   0.04194
   6.50000	   0.04913
   6.60000	   0.02029
   6.70000	  -0.04318
   6.80000	  -0.07540
   6.90000	  -0.05507
   7.00000	   0.01879
   7.10000	   0.11907
   7.20000	   0.03036
   7.30000	  -0.08133
   7.40000	  -0.05469
   7.50000	   0.16536
   7.60000	   0.10689
   7.70000	   0.00273
   7.80000	   0.01151
   7.90000	   0.03958
   8.00000	   0.17169
   8.10000	   0.21114
   8.20000	   0.28609
   8.30000	   0.22125
   8.40000	   0.12795
   8.50000	   0.01323
   8.60000	  -0.04417
   8.70000	  -0.01147
   8.80000	   0.09940
   8.90000	   0.14291
   9.00000	   0.06664
   9.10000	  -0.01859
   9.20000	   0.00319
   9.30000	  -0.02539
   9.40000	  -0.02318
   9.50000	   0.10060
   9.60000	  -0.05397
   9.70000	  -0.21082
   9.80000	  -0.18872
   9.90000	  -0.08753
  10.00000	  -0.02373
  10.10000	  -0.05384
  10.20000	  -0.06560
  10.30000	   0.01228
  10.40000	  -0.11039
  10.50000	  -0.20055
  10.60000	  -0.19638
  10.70000	   0.02600
  10.80000	   0.17971
  10.90000	   0.18292
  11.00000	   0.10273
  11.10000	  -0.02203
  11.20000	  -0.03898
  11.30000	   0.06676
  11.40000	   0.09925
  11.50000	   0.07386
  11.60000	   0.09954
  11.70000	   0.17841
  11.80000	   0.13006
  11.90000	   0.19895
  12.00000	   0.16735
  12.10000	   0.09083
  12.20000	   0.04224
  12.30000	  -0.01277
  12.40000	  -0.04172
  12.50000	  -0.06352
  12.60000	   0.02693
  12.70000	   0.11213
  12.80000	   0.11381
  12.90000	   0.07231
  13.00000	   0.06698
  13.10000	  -0.08018
  13.20000	  -0.18346
  13.30000	  -0.20516
  13.40000	  -0.17023
  13.50000	  -0.01959
  13.60000	   0.12600
  13.70000	   0.10049
  13.80000	   0.03889
  13.90000	  -0.08951
  14.00000	  -0.08162
  14.10000	  -0.09334
  14.20000	  -0.13248
  14.30000	  -0.10346
  14.40000	   0.00853
  14.50000	   0.06212
  14.60000	  -0.02565
  14.70000	   0.06169
  14.80000	   0.12060
  14.90000	   0.10293
  15.00000	   0.02038
  15.10000	  -0.03655
  15.20000	  -0.07435
  15.30000	  -0.16321
  15.40000	  -0.08887
  15.50000	  -0.10130
  15.60000	  -0.06731
  15.70000	  -0.21517
  15.80000	  -0.22208
  15.90000	  -0.21581
  16.00000	  -0.02965
  16.10000	   0.06745
  16.20000	   0.07211
  16.30000	  -0.02163
  16.40000	  -0.07568
  16.50000	  -0.10422
  16.60000	  -0.05247
  16.70000	  -0.09235
  16.80000	  -0.11494
  16.90000	  -0.10955
  17.00000	  -0.02637
  17.10000	  -0.03693
  17.20000	  -0.14758
  17.30000	  -0.09986
  17.40000	  -0.16248
  17.50000	  -0.06732
  17.60000	  -0.05253
  17.70000	  -0.01677
  17.80000	  -0.04424
  17.90000	  -0.08517
  18.00000	   0.04177
  18.10000	   0.10151
  18.20000	   0.04347
  18.30000	  -0.03638
  18.40000	   0.00870
  18.50000	   0.00448
  18.60000	  -0.11249
  18.70000	  -0.24487
  18.80000	  -0.14248
  18.90000	  -0.06895
  19.00000	   0.04680
  19.10000	   0.10420
  19.20000	   0.09355
  19.30000	   0.08726
  19.40000	   0.15381
  19.50000	   0.12228
  19.60000	   0.11428
  19.70000	   0.14398
  19.80000	   0.06069
  19.90000	   0.11728
  20.00000	   0.18438
  20.10000	   0.09123
  20.20000	   0.07061
  20.30000	   0.11217
  20.40000	   0.06027
  20.50000	   0.06393
  20.60000	  -0.05755
  20.70000	  -0.20131
  20.80000	  -0.26666
  20.90000	  -0.18815
  21.00000	  -0.05415
  21.10000	   0.01684
  21.20000	  -0.09701
  21.30000	  -0.13483
  21.40000	  -0.04121
  21.50000	   0.06263
  21.60000	  -0.00631
  21.70000	  -0.05135
  21.80000	  -0.03666
  21.90000	  -0.09408
  22.00000	  -0.04010
  22.10000	  -0.09836
  22.20000	  -0.06944
