# gamma	ks
  65.00067	  71.73408
   0.00000	  -0.11215
   0.10000	  -0.15071
   0.20000	  -0.14789
   0.30000	  -0.19098
   0.40000	  -0.12821
   0.50000	  -0.06717
   0.60000	  -0.07656
   0.70000	  -0.10364
   0.80000	  -0.03096
   0.90000	  -0.10496
   1.00000	  -0.10618
   1.10000	  -0.06198
   1.20000	  -0.08179
   1.30000	   0.00159
   1.40000	   0.00233
   1.50000	  -0.01154
   1.60000	  -0.07923
   1.70000	  -0.02951
   1.80000	  -0.05121
   1.90000	  -0.07066
   2.00000	   0.00165
   2.10000	   0.05357
   2.20000	   0.00037
   2.30000	  -0.02365
   2.40000	  -0.04743
   2.50000	   0.00155
   2.60000	   0.02184
   2.70000	  -0.00251
   2.80000	  -0.13278
   2.90000	  -0.10803
   3.00000	  -0.22759
   3.10000	  -0.14531
   3.20000	  -0.11486
   3.30000	  -0.05369
   3.40000	   0.01056
   3.50000	   0.03803
   3.60000	   0.00318
   3.70000	  -0.00651
   3.80000	  -0.07335
   3.90000	  -0.12372
   4.00000	  -0.07769
   4.10000	  -0.01493
   4.20000	  -0.09879
   4.30000	  -0.12202
   4.40000	   0.03789
   4.50000	  -0.03973
   4.60000	  -0.03529
   4.70000	  -0.00644
   4.80000	  -0.04534
   4.90000	  -0.10222
   5.00000	  -0.15895
   5.10000	  -0.17718
   5.20000	  -0.19801
   5.30000	  -0.13215
   5.40000	  -0.14457
   5.50000	  -0.09704
   5.60000	  -0.00659
   5.70000	  -0.01043
   5.80000	   0.02332
   5.90000	   0.10259
   6.00000	   0.15385
   6.10000	   0.16179
   6.20000	   0.15995
   6.30000	   0.08405
   6.40000	   0.10930
   6.50000	   0.02595
   6.60000	   0.08707
   6.70000	   0.07570
   6.80000	   0.18194
   6.90000	   0.11177
   7.00000	   0.10547
   7.10000	   0.05200
   7.20000	  -0.00220
   7.30000	  -0.05279
   7.40000	  -0.06206
   7.50000	  -0.04960
   7.60000	  -0.11429
   7.70000	  -0.06305
   7.80000	  -0.12864
   7.90000	  -0.16688
   8.00000	  -0.15635
   8.10000	  -0.10899
   8.20000	   0.00308
   8.30000	   0.02933
   8.40000	   0.07597
   8.50000	   0.06651
   8.60000	   0.10516
   8.70000	   0.07358
   8.80000	   0.07470
   8.90000	   0.01963
   9.00000	   0.01984
   9.10000	   0.02332
   9.20000	   0.02342
   9.30000	  -0.03413
   9.40000	  -0.04529
   9.50000	  -0.04216
   9.60000	  -0.03502
   9.70000	   0.02107
   9.80000	  -0.09467
   9.90000	  -0.19621
  10.00000	  -0.20245
  10.10000	  -0.14332
  10.20000	  -0.14669
  10.30000	  -0.12603
  10.40000	  -0.08545
  10.50000	  -0.00026
  10.60000	  -0.08996
  10.70000	  -0.03361
  10.80000	  -0.05914
  10.90000	  -0.01822
  11.00000	   0.00908
  11.10000	  -0.03939
  11.20000	   0.01972
  11.30000	   0.01270
  11.40000	  -0.00474
  11.50000	  -0.03179
  11.60000	  -0.04446
  11.70000	  -0.10190
  11.80000	  -0.06428
  11.90000	  -0.07261
  12.00000	  -0.06352
  12.10000	  -0.10644
  12.20000	  -0.09797
  12.30000	  -0.20563
  12.40000	  -0.21101
  12.50000	  -0.15439
  12.60000	  -0.20134
  12.70000	  -0.09918
  12.80000	  -0.03446
  12.90000	  -0.01026
  13.00000	  -0.00501
  13.10000	  -0.01275
  13.20000	  -0.08471
  13.30000	  -0.11446
  13.40000	  -0.06088
  13.50000	  -0.09860
  13.60000	  -0.06202
  13.70000	  -0.10831
  13.80000	  -0.04990
  13.90000	   0.09654
  14.00000	   0.11719
  14.10000	   0.11090
  14.20000	   0.20403
  14.30000	   0.20220
  14.40000	   0.19164
  14.50000	   0.14873
  14.60000	   0.12537
  14.70000	   0.12418
  14.80000	   0.15577
  14.90000	   0.20364
  15.00000	   0.18730
  15.10000	   0.13664
  15.20000	   0.13622
  15.30000	   0.15306
  15.40000	   0.23055
  15.50000	   0.21927
  15.60000	   0.12137
  15.70000	   0.12992
  15.80000	   0.15575
  15.90000	   0.07149
  16.00000	   0.00166
  16.10000	  -0.01802
  16.20000	   0.07380
  16.30000	   0.05766
  16.40000	   0.00855
  16.50000	   0.02530
  16.60000	   0.08154
  16.70000	   0.00116
  16.80000	  -0.02516
  16.90000	   0.05510
  17.00000	   0.10337
  17.10000	   0.12070
  17.20000	   0.04771
  17.30000	  -0.06551
  17.40000	  -0.11256
  17.50000	  -0.21247
  17.60000	  -0.11694
  17.70000	  -0.10793
  17.80000	  -0.03230
  17.90000	  -0.06741
  18.00000	   0.05048
  18.10000	   0.02945
  18.20000	   0.00698
  18.30000	  -0.02456
  18.40000	  -0.11179
  18.50000	  -0.12506
  18.60000	  -0.06561
  18.70000	  -0.05338
  18.80000	  -0.20482
  18.90000	  -0.22355
  19.00000	  -0.22435
  19.10000	  -0.12109
  19.20000	  -0.01085
  19.30000	   0.00188
  19.40000	   0.02797
  19.50000	  -0.00223
  19.60000	   0.05723
  19.70000	   0.04349
  19.80000	   0.06763
  19.90000	   0.01345
  20.00000	   0.06593
  20.10000	   0.08585
  20.20000	   0.14516
  20.30000	   0.14334
  20.40000	   0.14667
  20.50000	   0.10987
  20.60000	   0.11851
  20.70000	   0.10845
  20.80000	   0.12624
  20.90000	   0.15561
  21.00000	   0.12644
  21.10000	   0.04771
  21.20000	   0.09132
  21.30000	   0.03456
  21.40000	   0.09166
  21.50000	   0.09871
  21.60000	   0.01355
  21.70000	   0.08018
  21.80000	   0.06715
  21.90000	   0.01101
  22.00000	  -0.05442
  22.10000	  -0.01973
  22.20000	  -0.05312
  22.30000	   0.04257
  22.40000	   0.15167
  22.50000	   0.10282
  22.60000	   0.08506
  22.70000	   0.05445
  22.80000	   0.07927
  22.90000	   0.17738
  23.00000	   0.16540
  23.10000	   0.13882
  23.20000	   0.05450
  23.30000	   0.02618
  23.40000	  -0.04298
  23.50000	   0.00779
  23.60000	  -0.00036
  23.70000	   0.01262
  23.80000	  -0.02555
  23.90000	  -0.01246
  24.00000	   0.01754
  24.10000	   0.03039
  24.20000	   0.04444
  24.30000	   0.09491
  24.40000	   0.13376
  24.50000	   0.20037
  24.60000	   0.13334
  24.70000	   0.12000
  24.80000	   0.05716
  24.90000	  -0.04749
  25.00000	  -0.03619
  25.10000	  -0.13372
  25.20000	  -0.10993
  25.30000	  -0.03710
  25.40000	  -0.01731
  25.50000	   0.00840
  25.60000	  -0.00123
  25.70000	   0.04992
  25.80000	  -0.00586
  25.90000	  -0.01697
  26.00000	   0.06243
  26.10000	   0.00896
  26.20000	  -0.06598
  26.30000	  -0.07718
  26.40000	  -0.05889
  26.50000	  -0.09372
  26.60000	  -0.03471
  26.70000	  -0.00579
  26.80000	  -0.09984
  26.90000	  -0.09647
  27.00000	  -0.15290
  27.10000	  -0.22231
  27.20000	  -0.05320
  27.30000	  -0.12583
  27.40000	  -0.12266
  27.50000	  -0.11271
  27.60000	  -0.07663
  27.70000	  -0.19098
  27.80000	  -0.12773
  27.90000	  -0.19647
  28.00000	  -0.17837
  28.10000	  -0.18396
  28.20000	  -0.13735
  28.30000	  -0.13792
  28.40000	  -0.06032
  28.50000	  -0.07952
  28.60000	  -0.10887
  28.70000	  -0.15820
  28.80000	  -0.16421
  28.90000	  -0.04166
  29.00000	  -0.02070
  29.10000	  -0.00024
  29.20000	  -0.04460
  29.30000	   0.03867
  29.40000	   0.02759
  29.50000	  -0.00625
  29.60000	  -0.07244
  29.70000	  -0.02431
  29.80000	  -0.03091
  29.90000	   0.00102
  30.00000	  -0.04265
  30.10000	  -0.09839
  30.20000	  -0.06928
  30.30000	   0.04165
  30.40000	   0.03599
  30.50000	   0.02460
  30.60000	   0.06905
  30.70000	   0.04022
  30.80000	   0.06150
  30.90000	   0.08640
  31.00000	   0.12822
  31.10000	   0.11831
  31.20000	   0.04305
  31.30000	   0.11134
  31.40000	   0.07627
  31.50000	   0.02120
  31.60000	   0.06782
  31.70000	   0.04349
  31.80000	   0.06965
  31.90000	   0.13718
  32.00000	   0.11008
  32.10000	   0.04640
  32.20000	   0.06753
  32.30000	   0.04440
  32.40000	   0.03209
  32.50000	   0.08072
  32.60000	   0.11504
  32.70000	   0.17550
  32.80000	   0.21761
  32.90000	   0.27442
  33.00000	   0.18307
  33.10000	   0.21851
  33.20000	   0.18891
  33.30000	   0.06949
  33.40000	   0.09386
  33.50000	   0.19523
  33.60000	   0.25198
  33.70000	   0.28617
  33.80000	   0.34244
  33.90000	   0.33040
  34.00000	   0.27502
  34.10000	   0.19525
  34.20000	   0.18903
  34.30000	   0.24558
  34.40000	   0.15750
  34.50000	   0.12356
  34.60000	   0.13226
  34.70000	   0.09868
  34.80000	   0.05140
  34.90000	   0.06749
  35.00000	  -0.04508
  35.10000	  -0.11067
  35.20000	  -0.16435
  35.30000	  -0.17307
  35.40000	  -0.12946
  35.50000	  -0.07886
  35.60000	  -0.08207
  35.70000	  -0.21342
  35.80000	  -0.18676
  35.90000	  -0.16122
  36.00000	  -0.10075
  36.10000	  -0.18087
  36.20000	  -0.21595
  36.30000	  -0.19048
  36.40000	  -0.17099
  36.50000	  -0.09192
  36.60000	  -0.08692
  36.70000	  -0.11468
  36.80000	  -0.02634
  36.90000	   0.00949
  37.00000	  -0.01984
  37.10000	  -0.00361
  37.20000	  -0.05381
  37.30000	  -0.07915
  37.40000	  -0.10236
  37.50000	  -0.15303
  37.60000	  -0.19081
  37.70000	  -0.26258
  37.80000	  -0.18396
  37.90000	  -0.18797
  38.00000	  -0.20011
  38.10000	  -0.21253
  38.20000	  -0.23274
  38.30000	  -0.12264
  38.40000	  -0.16972
  38.50000	  -0.11129
  38.60000	  -0.13252
  38.70000	  -0.08302
  38.80000	   0.02299
  38.90000	  -0.02525
  39.00000	  -0.03249
  39.10000	  -0.09726
  39.20000	  -0.04838
  39.30000	  -0.02868
  39.40000	  -0.04811
  39.50000	  -0.02362
  39.60000	  -0.03697
  39.70000	   0.07545
  39.80000	   0.00632
  39.90000	  -0.07809
  40.00000	  -0.05565
  40.10000	  -0.10286
  40.20000	  -0.11581
  40.30000	  -0.06199
  40.40000	  -0.07179
  40.50000	  -0.10798
  40.60000	  -0.06485
  40.70000	   0.00625
  40.80000	   0.01552
  40.90000	   0.10329
  41.00000	   0.03695
  41.10000	   0.01437
  41.20000	  -0.02859
  41.30000	  -0.06158
  41.40000	  -0.08185
  41.50000	   0.01292
  41.60000	   0.07025
  41.70000	   0.10720
  41.80000	   0.08893
  41.90000	   0.07996
  42.00000	   0.00824
  42.10000	   0.02899
  42.20000	   0.01398
  42.30000	  -0.02198
  42.40000	   0.06701
  42.50000	  -0.00289
  42.60000	  -0.05315
  42.70000	   0.03227
  42.80000	  -0.01119
  42.90000	   0.02309
  43.00000	   0.00223
  43.10000	  -0.09772
  43.20000	  -0.05891
  43.30000	  -0.01783
  43.40000	  -0.09475
  43.50000	  -0.12561
  43.60000	  -0.14959
  43.70000	  -0.17486
  43.80000	  -0.16310
  43.90000	  -0.08786
  44.00000	  -0.11204
  44.10000	  -0.09004
  44.20000	  -0.08063
  44.30000	  -0.13934
  44.40000	  -0.15608
  44.50000	  -0.06848
  44.60000	  -0.09487
  44.70000	  -0.08084
  44.80000	  -0.04992
  44.90000	  -0.04610
  45.00000	  -0.10575
  45.10000	  -0.08088
  45.20000	  -0.04308
  45.30000	  -0.05247
  45.40000	  -0.01611
  45.50000	   0.01062
  45.60000	   0.08022
  45.70000	   0.05287
  45.80000	   0.02414
  45.90000	   0.04699
  46.00000	   0.10029
  46.10000	   0.10447
  46.20000	   0.12185
  46.30000	   0.14655
  46.40000	   0.14986
  46.50000	   0.20599
  46.60000	   0.21395
  46.70000	   0.26085
  46.80000	   0.23236
  46.90000	   0.19236
  47.00000	   0.23173
  47.10000	   0.21200
  47.20000	   0.24553
  47.30000	   0.22961
  47.40000	   0.14441
  47.50000	   0.07502
  47.60000	   0.02318
  47.70000	  -0.05628
  47.80000	  -0.03670
  47.90000	   0.02149
  48.00000	   0.07291
  48.10000	   0.08160
  48.20000	   0.06970
  48.30000	   0.07985
  48.40000	   0.10261
  48.50000	   0.13385
  48.60000	   0.11841
  48.70000	   0.11847
  48.80000	   0.04481
  48.90000	   0.08031
  49.00000	   0.11305
  49.10000	   0.04618
  49.20000	   0.05529
  49.30000	   0.15075
  49.40000	   0.13417
  49.50000	   0.21511
  49.60000	   0.21138
  49.70000	   0.16398
  49.80000	   0.15271
  49.90000	   0.17668
  50.00000	   0.16956
  50.10000	   0.16250
  50.20000	   0.17646
  50.30000	   0.17408
  50.40000	   0.11666
  50.50000	   0.11995
  50.60000	   0.15922
  50.70000	   0.12870
  50.80000	   0.14658
  50.90000	   0.20033
  51.00000	   0.18559
  51.10000	   0.17964
  51.20000	   0.21012
  51.30000	   0.21596
  51.40000	   0.24063
  51.50000	   0.21093
  51.60000	   0.17866
  51.70000	   0.16672
  51.80000	   0.12735
  51.90000	   0.11279
  52.00000	   0.09963
  52.10000	   0.11164
  52.20000	   0.13524
  52.30000	   0.10004
  52.40000	   0.04451
  52.50000	   0.07271
  52.60000	   0.15095
  52.70000	   0.13624
  52.80000	   0.06363
  52.90000	   0.02162
  53.00000	  -0.03633
  53.10000	   0.04551
  53.20000	   0.00275
  53.30000	  -0.00987
  53.40000	  -0.01034
  53.50000	  -0.04156
  53.60000	  -0.08118
  53.70000	  -0.11346
  53.80000	  -0.10922
  53.90000	  -0.01345
  54.00000	  -0.04457
  54.10000	   0.02618
  54.20000	   0.01833
  54.30000	   0.04597
  54.40000	   0.09037
  54.50000	   0.05268
  54.60000	   0.04613
  54.70000	  -0.03818
  54.80000	  -0.05333
  54.90000	  -0.09410
  55.00000	  -0.15137
  55.10000	  -0.21271
  55.20000	  -0.19247
  55.30000	  -0.23452
  55.40000	  -0.22189
  55.50000	  -0.23101
  55.60000	  -0.15986
  55.70000	  -0.06803
  55.80000	  -0.00182
  55.90000	   0.03158
  56.00000	  -0.07336
  56.10000	  -0.01657
  56.20000	  -0.02923
  56.30000	   0.02315
  56.40000	   0.02193
  56.50000	  -0.00480
  56.60000	   0.07122
  56.70000	   0.01919
  56.80000	  -0.01065
  56.90000	  -0.05894
  57.00000	  -0.04545
  57.10000	  -0.03795
  57.20000	  -0.04989
  57.30000	  -0.06846
  57.40000	  -0.03724
  57.50000	   0.02772
  57.60000	   0.06855
  57.70000	   0.05086
  57.80000	   0.00766
  57.90000	  -0.05124
  58.00000	   0.01275
  58.10000	  -0.01805
  58.20000	   0.05423
  58.30000	   0.09326
  58.40000	   0.12161
  58.50000	   0.17585
  58.60000	   0.14620
  58.70000	   0.09651
  58.80000	   0.05323
  58.90000	   0.09853
  59.00000	   0.14026
  59.10000	   0.12753
  59.20000	   0.12782
  59.30000	   0.04464
  59.40000	   0.00107
  59.50000	   0.04727
  59.60000	   0.00601
  59.70000	   0.03465
  59.80000	   0.08156
  59.90000	   0.11824
  60.00000	   0.16528
  60.10000	   0.07700
  60.20000	   0.03854
  60.30000	   0.08440
  60.40000	   0.11202
  60.50000	   0.08158
  60.60000	   0.03150
  60.70000	   0.06324
  60.80000	  -0.04907
  60.90000	  -0.04099
  61.00000	  -0.08160
  61.10000	  -0.14859
  61.20000	  -0.24929
  61.30000	  -0.14721
  61.40000	  -0.18091
  61.50000	  -0.15285
  61.60000	  -0.16612
  61.70000	  -0.12935
  61.80000	  -0.20378
  61.90000	  -0.10363
  62.00000	  -0.11383
  62.10000	  -0.10351
  62.20000	  -0.11718
  62.30000	  -0.11245
  62.40000	  -0.13779
  62.50000	  -0.04958
  62.60000	  -0.01454
  62.70000	  -0.05812
  62.80000	  -0.02701
  62.90000	  -0.00334
  63.00000	   0.00370
  63.10000	  -0.00729
  63.20000	   0.01923
  63.30000	   0.04742
  63.40000	   0.09150
  63.50000	   0.08166
  63.60000	  -0.00677
  63.70000	   0.03843
  63.80000	   0.01601
  63.90000	  -0.02505
  64.00000	   0.02057
  64.10000	   0.04255
  64.20000	  -0.01278
  64.30000	  -0.00764
  64.40000	  -0.14490
  64.50000	  -0.12593
  64.60000	  -0.12988
  64.70000	  -0.11183
  64.80000	  -0.10557
  64.90000	  -0.13572
  65.00000	  -0.12212
  65.10000	  -0.13988
  65.20000	  -0.11863
  65.30000	  -0.11092
  65.40000	  -0.08652
  65.50000	  -0.08559
  65.60000	  -0.04628
  65.70000	  -0.11428
  65.80000	  -0.21099
  65.90000	  -0.21251
  66.00000	  -0.17273
  66.10000	  -0.10927
  66.20000	  -0.29075
  66.30000	  -0.19613
  66.40000	  -0.15519
  66.50000	  -0.11286
  66.60000	  -0.09188
  66.70000	  -0.04250
  66.80000	   0.03116
  66.90000	   0.07926
  67.00000	   0.04336
  67.10000	   0.09469
  67.20000	   0.12133
  67.30000	   0.09061
  67.40000	   0.07789
  67.50000	   0.02276
  67.60000	   0.09293
  67.70000	   0.15947
  67.80000	   0.21049
  67.90000	   0.22197
  68.00000	   0.19670
  68.10000	   0.20939
  68.20000	   0.12240
  68.30000	   0.08465
  68.40000	   0.10456
  68.50000	   0.10927
  68.60000	   0.12801
  68.70000	   0.12325
  68.80000	   0.12261
  68.90000	   0.19839
  69.00000	   0.22344
  69.10000	   0.27166
  69.20000	   0.29054
  69.30000	   0.30668
  69.40000	   0.23365
  69.50000	   0.30575
  69.60000	   0.21634
  69.70000	   0.27230
  69.80000	   0.32714
  69.90000	   0.32011
  70.00000	   0.30186
  70.10000	   0.22378
  70.20000	   0.15652
  70.30000	   0.11236
  70.40000	   0.06661
  70.50000	   0.01969
  70.60000	  -0.00490
  70.70000	   0.04353
  70.80000	   0.00156
  70.90000	  -0.03588
  71.00000	  -0.06473
  71.10000	  -0.13283
  71.20000	  -0.09694
  71.30000	  -0.11895
  71.40000	  -0.19836
  71.50000	  -0.19189
  71.60000	  -0.15869
  71.70000	  -0.20004
  71.80000	  -0.16544
  71.90000	  -0.17076
  72.00000	  -0.09690
  72.10000	  -0.10306
  72.20000	  -0.21246
  72.30000	  -0.24155
  72.40000	  -0.19089
  72.50000	  -0.26971
  72.60000	  -0.19552
  72.70000	  -0.16335
  72.80000	  -0.17097
  72.90000	  -0.10757
  73.00000	  -0.14973
  73.10000	  -0.14726
  73.20000	  -0.18220
  73.30000	  -0.13784
  73.40000	  -0.10661
  73.50000	  -0.11751
  73.60000	  -0.07452
  73.70000	  -0.11141
  73.80000	  -0.07439
  73.90000	  -0.04584
  74.00000	  -0.06007
  74.10000	  -0.04410
  74.20000	  -0.01087
  74.30000	  -0.02036
  74.40000	   0.00448
