# gamma	ks
  74.83371	  12.30127
   0.00000	   0.00983
   0.10000	  -0.01955
   0.20000	  -0.07878
   0.30000	  -0.12487
   0.40000	  -0.11085
   0.50000	  -0.08611
   0.60000	  -0.04332
   0.70000	  -0.11216
   0.80000	  -0.03062
   0.90000	  -0.01088
   1.00000	   0.00359
   1.10000	  -0.01133
   1.20000	  -0.05578
   1.30000	  -0.11963
   1.40000	  -0.19824
   1.50000	  -0.26295
   1.60000	  -0.28178
   1.70000	  -0.38877
   1.80000	  -0.31611
   1.90000	  -0.35495
   2.00000	  -0.34256
   2.10000	  -0.30609
   2.20000	  -0.22754
   2.30000	  -0.27130
   2.40000	  -0.37296
   2.50000	  -0.38693
   2.60000	  -0.36486
   2.70000	  -0.46535
   2.80000	  -0.45872
   2.90000	  -0.46750
   3.00000	  -0.48636
   3.10000	  -0.51048
   3.20000	  -0.55907
   3.30000	  -0.57919
   3.40000	  -0.58474
   3.50000	  -0.67352
   3.60000	  -0.65209
   3.70000	  -0.65152
   3.80000	  -0.70228
   3.90000	  -0.60142
   4.00000	  -0.53282
   4.10000	  -0.49931
   4.20000	  -0.53247
   4.30000	  -0.50714
   4.40000	  -0.49093
   4.50000	  -0.59265
   4.60000	  -0.61696
   4.70000	  -0.63961
   4.80000	  -0.55514
   4.90000	  -0.58417
   5.00000	  -0.58492
   5.10000	  -0.49493
   5.20000	  -0.46195
   5.30000	  -0.44754
   5.40000	  -0.42098
   5.50000	  -0.45420
   5.60000	  -0.45100
   5.70000	  -0.43443
   5.80000	  -0.46782
   5.90000	  -0.46683
   6.00000	  -0.48683
   6.10000	  -0.42304
   6.20000	  -0.43608
   6.30000	  -0.49159
   6.40000	  -0.51619
   6.50000	  -0.53215
   6.60000	  -0.51286
   6.70000	  -0.48655
   6.80000	  -0.52600
   6.90000	  -0.45667
   7.00000	  -0.39055
   7.10000	  -0.37967
   7.20000	  -0.40737
   7.30000	  -0.44857
   7.40000	  -0.47604
   7.50000	  -0.56330
   7.60000	  -0.53852
   7.70000	  -0.41291
   7.80000	  -0.44785
   7.90000	  -0.45376
   8.00000	  -0.41083
   8.10000	  -0.36858
   8.20000	  -0.33011
   8.30000	  -0.29314
   8.40000	  -0.28662
   8.50000	  -0.23761
   8.60000	  -0.31824
   8.70000	  -0.31763
   8.80000	  -0.40121
   8.90000	  -0.43368
   9.00000	  -0.39112
   9.10000	  -0.30741
   9.20000	  -0.40858
   9.30000	  -0.51890
   9.40000	  -0.50605
   9.50000	  -0.59119
   9.60000	  -0.61161
   9.70000	  -0.66551
   9.80000	  -0.67620
   9.90000	  -0.65984
  10.00000	  -0.58705
  10.10000	  -0.44648
  10.20000	  -0.49584
  10.30000	  -0.50747
  10.40000	  -0.45649
  10.50000	  -0.42337
  10.60000	  -0.37856
  10.70000	  -0.43213
  10.80000	  -0.47411
  10.90000	  -0.48376
  11.00000	  -0.41581
  11.10000	  -0.35513
  11.20000	  -0.32548
  11.30000	  -0.32828
  11.40000	  -0.25479
  11.50000	  -0.20572
  11.60000	  -0.23926
  11.70000	  -0.21517
  11.80000	  -0.27939
  11.90000	  -0.28432
  12.00000	  -0.31968
  12.10000	  -0.32617
  12.20000	  -0.38429
  12.30000	  -0.31389
  12.40000	  -0.29536
  12.50000	  -0.31691
  12.60000	  -0.27128
  12.70000	  -0.25248
  12.80000	  -0.20533
  12.90000	  -0.09037
  13.00000	  -0.06574
  13.10000	   0.05318
  13.20000	   0.05908
  13.30000	   0.05327
  13.40000	   0.16406
  13.50000	   0.15834
  13.60000	   0.11537
  13.70000	   0.09162
  13.80000	   0.12959
  13.90000	   0.17031
  14.00000	   0.11575
  14.10000	   0.17410
  14.20000	   0.27135
  14.30000	   0.25696
  14.40000	   0.27969
  14.50000	   0.29689
  14.60000	   0.25481
  14.70000	   0.35634
  14.80000	   0.25787
  14.90000	   0.26573
  15.00000	   0.20831
  15.10000	   0.16192
  15.20000	   0.11026
  15.30000	   0.18799
  15.40000	   0.23242
  15.50000	   0.21043
  15.60000	   0.20918
  15.70000	   0.11286
  15.80000	   0.10994
  15.90000	   0.15459
  16.00000	   0.16855
  16.10000	   0.15954
  16.20000	   0.09092
  16.30000	  -0.01164
  16.40000	   0.05498
  16.50000	   0.04243
  16.60000	   0.08201
  16.70000	   0.18322
  16.80000	   0.14395
  16.90000	   0.23850
  17.00000	   0.19850
  17.10000	   0.18757
  17.20000	   0.31038
  17.30000	   0.31218
