# gamma	ks
  53.59523	  94.50985
   0.00000	  -0.08622
   0.10000	  -0.02455
   0.20000	   0.08238
   0.30000	   0.11795
   0.40000	   0.07654
   0.50000	   0.13384
   0.60000	   0.11711
   0.70000	   0.13552
   0.80000	   0.11295
   0.90000	   0.02312
   1.00000	   0.04240
   1.10000	   0.03690
   1.20000	  -0.03362
   1.30000	  -0.01093
   1.40000	  -0.03045
   1.50000	   0.01327
   1.60000	   0.12289
   1.70000	   0.11120
   1.80000	   0.03209
   1.90000	   0.11522
   2.00000	   0.12581
   2.10000	   0.16641
   2.20000	   0.11942
   2.30000	   0.11856
   2.40000	   0.04259
   2.50000	   0.03025
   2.60000	   0.03629
   2.70000	   0.12932
   2.80000	   0.20936
   2.90000	   0.16634
   3.00000	   0.11865
   3.10000	  -0.00301
   3.20000	   0.03653
   3.30000	   0.06050
   3.40000	  -0.02347
   3.50000	   0.03048
   3.60000	   0.09707
   3.70000	   0.14242
   3.80000	   0.19790
   3.90000	   0.12713
   4.00000	   0.12147
   4.10000	   0.06107
   4.20000	   0.03598
   4.30000	   0.03190
   4.40000	   0.01478
   4.50000	   0.10845
   4.60000	   0.18624
   4.70000	   0.18836
   4.80000	   0.06732
   4.90000	   0.09325
   5.00000	   0.03235
   5.10000	  -0.07007
   5.20000	  -0.11331
   5.30000	  -0.07190
   5.40000	  -0.06742
   5.50000	  -0.01081
   5.60000	  -0.13438
   5.70000	  -0.19456
   5.80000	  -0.14314
   5.90000	  -0.11219
   6.00000	  -0.20021
   6.10000	  -0.19475
   6.20000	  -0.12281
   6.30000	  -0.09079
   6.40000	  -0.09211
   6.50000	  -0.06704
   6.60000	  -0.07480
   6.70000	   0.03261
   6.80000	   0.03514
   6.90000	  -0.02666
   7.00000	  -0.07475
   7.10000	  -0.10308
   7.20000	  -0.07868
   7.30000	  -0.01531
   7.40000	   0.00291
   7.50000	   0.07779
   7.60000	   0.09709
   7.70000	   0.13439
   7.80000	   0.11347
   7.90000	   0.06837
   8.00000	   0.02213
   8.10000	  -0.07347
   8.20000	  -0.05052
   8.30000	  -0.08652
   8.40000	  -0.00347
   8.50000	  -0.05199
   8.60000	   0.00900
   8.70000	  -0.06165
   8.80000	  -0.04792
   8.90000	  -0.10171
   9.00000	  -0.09079
   9.10000	  -0.06225
   9.20000	  -0.02359
   9.30000	  -0.05786
   9.40000	  -0.13115
   9.50000	  -0.10493
   9.60000	  -0.12697
   9.70000	  -0.12613
   9.80000	  -0.03224
   9.90000	  -0.01915
  10.00000	  -0.03257
  10.10000	  -0.05415
  10.20000	  -0.00057
  10.30000	   0.06544
  10.40000	   0.11286
  10.50000	   0.13657
  10.60000	   0.10961
  10.70000	   0.10609
  10.80000	   0.12305
  10.90000	   0.04480
  11.00000	  -0.10767
  11.10000	  -0.15896
  11.20000	  -0.15127
  11.30000	  -0.18540
  11.40000	  -0.15321
  11.50000	  -0.13136
  11.60000	  -0.09666
  11.70000	  -0.00508
  11.80000	  -0.01371
  11.90000	  -0.02660
  12.00000	  -0.02491
  12.10000	   0.03698
  12.20000	   0.00493
  12.30000	   0.03167
  12.40000	   0.02538
  12.50000	  -0.04885
  12.60000	  -0.07225
  12.70000	  -0.06557
  12.80000	  -0.02079
  12.90000	  -0.01921
  13.00000	  -0.11091
  13.10000	  -0.11872
  13.20000	  -0.09589
  13.30000	  -0.17653
  13.40000	  -0.11219
  13.50000	  -0.03994
  13.60000	   0.03684
  13.70000	  -0.02089
  13.80000	   0.03079
  13.90000	  -0.03166
  14.00000	  -0.04303
  14.10000	   0.02226
  14.20000	  -0.07306
  14.30000	  -0.08114
  14.40000	  -0.17177
  14.50000	  -0.16062
  14.60000	  -0.13651
  14.70000	  -0.14063
  14.80000	  -0.12918
  14.90000	  -0.12731
  15.00000	  -0.04089
  15.10000	   0.00741
  15.20000	  -0.04883
  15.30000	  -0.21560
  15.40000	  -0.23025
  15.50000	  -0.22685
  15.60000	  -0.24170
  15.70000	  -0.20144
  15.80000	  -0.11809
  15.90000	  -0.12215
  16.00000	  -0.12717
  16.10000	  -0.03105
  16.20000	  -0.02196
