# gamma	ks
  51.27058	  72.11138
   0.00000	  -0.22100
   0.10000	  -0.12648
   0.20000	  -0.01744
   0.30000	   0.11766
   0.40000	   0.11512
   0.50000	   0.22168
   0.60000	   0.16538
   0.70000	   0.10386
   0.80000	   0.12952
   0.90000	   0.15357
   1.00000	   0.18764
   1.10000	   0.13670
   1.20000	   0.09136
   1.30000	  -0.03134
   1.40000	  -0.02149
   1.50000	  -0.07615
   1.60000	  -0.02728
   1.70000	  -0.04032
   1.80000	  -0.09812
   1.90000	  -0.05398
   2.00000	  -0.07994
   2.10000	  -0.10640
   2.20000	  -0.03581
   2.30000	   0.01394
   2.40000	   0.01785
   2.50000	   0.03685
   2.60000	   0.04102
   2.70000	   0.02173
   2.80000	   0.08762
   2.90000	   0.03709
   3.00000	   0.07099
   3.10000	   0.14201
   3.20000	   0.12079
   3.30000	   0.10741
   3.40000	   0.11690
   3.50000	   0.12771
   3.60000	   0.25489
   3.70000	   0.21373
   3.80000	   0.11910
   3.90000	   0.09804
   4.00000	   0.08797
   4.10000	   0.06434
   4.20000	   0.06487
   4.30000	   0.12054
   4.40000	   0.11577
   4.50000	   0.13699
   4.60000	   0.11232
   4.70000	   0.00747
   4.80000	   0.01070
   4.90000	  -0.01622
   5.00000	   0.05792
   5.10000	   0.12617
   5.20000	   0.19316
   5.30000	   0.19782
   5.40000	   0.12668
   5.50000	   0.09906
   5.60000	   0.10972
   5.70000	   0.12291
   5.80000	   0.09734
   5.90000	   0.14279
   6.00000	   0.13034
   6.10000	   0.03642
   6.20000	  -0.05430
   6.30000	  -0.05107
   6.40000	  -0.07040
   6.50000	  -0.00622
   6.60000	   0.01062
   6.70000	   0.07623
   6.80000	   0.11392
   6.90000	   0.04444
   7.00000	   0.05420
   7.10000	   0.01435
   7.20000	   0.02434
   7.30000	   0.05272
   7.40000	  -0.00154
   7.50000	   0.03197
   7.60000	   0.08549
   7.70000	   0.05255
   7.80000	   0.06797
   7.90000	   0.13891
   8.00000	   0.17785
   8.10000	   0.13336
   8.20000	   0.10042
   8.30000	   0.09947
   8.40000	   0.10695
   8.50000	   0.11035
   8.60000	   0.12935
   8.70000	   0.07718
   8.80000	  -0.05914
   8.90000	  -0.02715
   9.00000	  -0.02274
   9.10000	   0.01507
   9.20000	   0.00982
