# gamma	ks
  83.09019	  62.81342
   0.00000	   0.17093
   0.10000	   0.13908
   0.20000	   0.21781
   0.30000	   0.24912
   0.40000	   0.22704
   0.50000	   0.26199
   0.60000	   0.32073
   0.70000	   0.27145
   0.80000	   0.28918
   0.90000	   0.32872
   1.00000	   0.27674
   1.10000	   0.29289
   1.20000	   0.19402
   1.30000	   0.20447
   1.40000	   0.23290
   1.50000	   0.20182
   1.60000	   0.19978
   1.70000	   0.17760
   1.80000	   0.15755
   1.90000	   0.23797
   2.00000	   0.14111
   2.10000	   0.13495
   2.20000	   0.17145
   2.30000	   0.13110
   2.40000	   0.08986
   2.50000	   0.08696
   2.60000	   0.03258
   2.70000	   0.03032
   2.80000	   0.00971
   2.90000	  -0.00222
   3.00000	  -0.02203
   3.10000	  -0.08528
   3.20000	  -0.05339
   3.30000	  -0.10024
   3.40000	  -0.06546
   3.50000	  -0.13888
   3.60000	  -0.14083
   3.70000	  -0.12864
   3.80000	  -0.08735
   3.90000	  -0.07650
   4.00000	   0.04053
   4.10000	   0.03516
   4.20000	   0.01909
   4.30000	   0.01929
   4.40000	  -0.02486
   4.50000	   0.04904
   4.60000	   0.03930
   4.70000	   0.13201
   4.80000	   0.11839
   4.90000	   0.09978
   5.00000	   0.07880
   5.10000	   0.08015
   5.20000	   0.10014
   5.30000	   0.11139
   5.40000	   0.12093
   5.50000	   0.12919
   5.60000	   0.16845
   5.70000	   0.12800
   5.80000	   0.12565
   5.90000	   0.07807
   6.00000	   0.00904
   6.10000	   0.02078
   6.20000	   0.03392
   6.30000	  -0.04922
   6.40000	   0.00584
   6.50000	   0.05335
   6.60000	   0.06458
   6.70000	   0.05645
   6.80000	   0.03540
   6.90000	  -0.03721
   7.00000	   0.00446
   7.10000	   0.01827
   7.20000	   0.03618
   7.30000	   0.15605
   7.40000	   0.17139
   7.50000	   0.32695
   7.60000	   0.31976
   7.70000	   0.32174
   7.80000	   0.23321
   7.90000	   0.17026
   8.00000	   0.13582
   8.10000	   0.14431
   8.20000	   0.16339
   8.30000	   0.15510
   8.40000	   0.09449
   8.50000	   0.11766
   8.60000	   0.05610
   8.70000	   0.09678
   8.80000	   0.05743
   8.90000	   0.07441
   9.00000	  -0.01361
   9.10000	   0.04263
   9.20000	   0.04159
   9.30000	   0.07620
   9.40000	   0.04424
   9.50000	   0.04542
   9.60000	   0.06325
   9.70000	   0.09124
   9.80000	  -0.01547
   9.90000	  -0.00268
  10.00000	  -0.03803
  10.10000	  -0.02152
  10.20000	   0.08194
  10.30000	   0.10474
  10.40000	   0.09790
  10.50000	   0.03969
  10.60000	   0.06209
  10.70000	   0.13909
  10.80000	   0.11067
  10.90000	   0.10285
  11.00000	   0.09682
  11.10000	   0.05577
  11.20000	   0.06126
  11.30000	   0.08480
  11.40000	   0.10215
  11.50000	   0.12024
  11.60000	   0.16348
  11.70000	   0.17149
  11.80000	   0.17408
  11.90000	   0.12396
  12.00000	   0.03893
  12.10000	  -0.03114
  12.20000	  -0.02041
  12.30000	   0.02166
  12.40000	   0.03259
  12.50000	   0.09742
  12.60000	   0.05040
  12.70000	  -0.12330
  12.80000	  -0.19017
  12.90000	  -0.15529
  13.00000	  -0.15156
  13.10000	  -0.20031
  13.20000	  -0.22424
  13.30000	  -0.20088
  13.40000	  -0.09905
  13.50000	  -0.12563
  13.60000	  -0.15259
  13.70000	  -0.10878
  13.80000	   0.02456
  13.90000	  -0.04991
  14.00000	  -0.06144
  14.10000	  -0.03363
  14.20000	  -0.03472
  14.30000	   0.00643
  14.40000	   0.04158
  14.50000	   0.14747
  14.60000	   0.10743
  14.70000	   0.08775
  14.80000	   0.07596
  14.90000	   0.05027
  15.00000	   0.05738
  15.10000	   0.02926
  15.20000	   0.02200
  15.30000	  -0.02339
  15.40000	   0.02385
  15.50000	   0.09377
  15.60000	   0.09449
  15.70000	   0.07702
  15.80000	   0.08237
  15.90000	   0.06335
  16.00000	   0.02405
  16.10000	   0.04558
  16.20000	   0.08499
  16.30000	   0.12953
  16.40000	   0.14436
  16.50000	   0.11705
  16.60000	   0.07494
  16.70000	   0.07554
  16.80000	   0.07250
  16.90000	   0.05725
  17.00000	   0.08111
  17.10000	   0.06583
  17.20000	   0.12625
  17.30000	   0.15055
  17.40000	   0.25713
  17.50000	   0.18994
  17.60000	   0.13582
  17.70000	   0.15880
  17.80000	   0.10261
  17.90000	   0.03243
  18.00000	  -0.00733
  18.10000	  -0.06374
  18.20000	   0.00952
  18.30000	   0.00482
  18.40000	  -0.02815
  18.50000	  -0.08889
  18.60000	  -0.13486
  18.70000	  -0.03822
  18.80000	  -0.04819
  18.90000	  -0.03180
  19.00000	  -0.00618
  19.10000	  -0.02808
  19.20000	  -0.00978
  19.30000	  -0.00430
  19.40000	   0.08843
  19.50000	   0.08780
  19.60000	   0.02075
  19.70000	  -0.05475
  19.80000	  -0.09658
  19.90000	  -0.10773
  20.00000	  -0.08698
  20.10000	  -0.03023
  20.20000	   0.05367
  20.30000	   0.11336
  20.40000	   0.13376
  20.50000	   0.12790
  20.60000	   0.17542
  20.70000	   0.18375
  20.80000	   0.18794
  20.90000	   0.28449
  21.00000	   0.22481
  21.10000	   0.17488
  21.20000	   0.08641
  21.30000	   0.09947
  21.40000	   0.10585
  21.50000	   0.18816
  21.60000	   0.21107
  21.70000	   0.22030
  21.80000	   0.23678
  21.90000	   0.28447
  22.00000	   0.35553
  22.10000	   0.35275
  22.20000	   0.41125
  22.30000	   0.40050
  22.40000	   0.33716
  22.50000	   0.27795
  22.60000	   0.28613
  22.70000	   0.27941
  22.80000	   0.30768
  22.90000	   0.29774
  23.00000	   0.26644
  23.10000	   0.25355
  23.20000	   0.19970
  23.30000	   0.15752
  23.40000	   0.11921
  23.50000	   0.18525
  23.60000	   0.13932
  23.70000	   0.13268
  23.80000	   0.10124
  23.90000	   0.07528
  24.00000	   0.10247
  24.10000	  -0.02686
  24.20000	   0.02016
  24.30000	   0.09853
  24.40000	   0.10695
  24.50000	   0.09672
  24.60000	   0.03463
  24.70000	   0.05046
  24.80000	   0.02715
  24.90000	   0.04496
  25.00000	  -0.00727
  25.10000	   0.05892
  25.20000	   0.02503
  25.30000	  -0.00500
  25.40000	   0.02764
  25.50000	   0.07677
  25.60000	   0.04552
  25.70000	   0.07951
  25.80000	   0.11815
  25.90000	   0.14107
  26.00000	   0.13144
  26.10000	   0.06270
  26.20000	   0.07482
  26.30000	   0.13511
  26.40000	   0.11923
  26.50000	  -0.00342
  26.60000	  -0.07065
  26.70000	  -0.02611
  26.80000	  -0.11564
  26.90000	  -0.15836
  27.00000	  -0.05393
  27.10000	   0.01658
  27.20000	  -0.03038
  27.30000	  -0.01389
  27.40000	  -0.03975
  27.50000	   0.01585
  27.60000	  -0.07397
  27.70000	  -0.05166
  27.80000	  -0.03522
  27.90000	  -0.01187
  28.00000	  -0.07087
  28.10000	  -0.03057
  28.20000	   0.00221
  28.30000	   0.03623
  28.40000	  -0.02146
  28.50000	   0.02030
  28.60000	  -0.01257
  28.70000	  -0.00385
  28.80000	   0.00044
  28.90000	  -0.00958
  29.00000	  -0.01705
  29.10000	  -0.03622
  29.20000	  -0.01789
  29.30000	  -0.02697
  29.40000	  -0.02539
  29.50000	  -0.05596
  29.60000	   0.04502
  29.70000	  -0.00030
  29.80000	  -0.08557
  29.90000	  -0.10490
  30.00000	  -0.08540
  30.10000	  -0.10095
  30.20000	  -0.02831
  30.30000	  -0.01837
  30.40000	  -0.05010
  30.50000	  -0.06577
  30.60000	  -0.08718
  30.70000	  -0.09604
  30.80000	  -0.09300
  30.90000	  -0.15317
  31.00000	  -0.09740
  31.10000	  -0.20372
  31.20000	  -0.14583
  31.30000	  -0.07588
  31.40000	  -0.07141
  31.50000	  -0.07409
  31.60000	  -0.11843
  31.70000	  -0.04057
  31.80000	  -0.07608
  31.90000	  -0.11535
  32.00000	  -0.07170
  32.10000	  -0.01458
  32.20000	  -0.03890
  32.30000	  -0.05397
  32.40000	   0.04388
  32.50000	   0.04984
  32.60000	   0.06436
  32.70000	   0.12952
  32.80000	   0.10094
  32.90000	   0.12188
  33.00000	   0.22280
  33.10000	   0.08478
  33.20000	   0.05615
  33.30000	   0.15741
  33.40000	   0.20395
  33.50000	   0.19436
  33.60000	   0.15509
  33.70000	   0.22657
  33.80000	   0.13207
  33.90000	   0.04288
  34.00000	   0.11658
  34.10000	   0.07225
  34.20000	  -0.02205
  34.30000	  -0.03916
  34.40000	  -0.05360
  34.50000	  -0.03613
  34.60000	   0.03900
  34.70000	   0.08106
  34.80000	   0.10149
  34.90000	   0.08059
  35.00000	   0.20733
  35.10000	   0.15504
  35.20000	   0.21844
  35.30000	   0.18883
  35.40000	   0.15802
  35.50000	   0.10613
  35.60000	   0.06074
  35.70000	   0.01167
  35.80000	   0.03964
  35.90000	  -0.01812
  36.00000	  -0.01982
  36.10000	  -0.03233
  36.20000	   0.04262
  36.30000	   0.05460
  36.40000	  -0.03086
  36.50000	  -0.00843
  36.60000	  -0.06588
  36.70000	  -0.15746
  36.80000	  -0.21002
  36.90000	  -0.13376
  37.00000	  -0.14589
  37.10000	  -0.12722
  37.20000	  -0.16134
  37.30000	  -0.10706
  37.40000	  -0.20521
  37.50000	  -0.28060
  37.60000	  -0.32226
  37.70000	  -0.24473
  37.80000	  -0.28400
  37.90000	  -0.26875
  38.00000	  -0.21959
  38.10000	  -0.20372
  38.20000	  -0.26404
  38.30000	  -0.14938
  38.40000	  -0.09107
  38.50000	  -0.13534
  38.60000	  -0.05678
  38.70000	  -0.01702
  38.80000	  -0.03224
  38.90000	  -0.02803
  39.00000	   0.00646
  39.10000	  -0.05838
  39.20000	  -0.06639
  39.30000	  -0.01220
  39.40000	  -0.01482
  39.50000	  -0.02473
  39.60000	  -0.05828
  39.70000	  -0.05475
  39.80000	  -0.06815
  39.90000	  -0.03896
  40.00000	  -0.04093
  40.10000	  -0.03841
  40.20000	   0.00106
  40.30000	   0.03931
  40.40000	   0.14020
  40.50000	   0.16560
  40.60000	   0.15213
  40.70000	   0.12971
  40.80000	   0.02902
  40.90000	   0.04233
  41.00000	   0.11616
  41.10000	   0.08880
  41.20000	   0.14057
  41.30000	   0.14035
  41.40000	   0.19823
  41.50000	   0.21720
  41.60000	   0.28113
  41.70000	   0.30834
  41.80000	   0.31906
  41.90000	   0.22701
  42.00000	   0.16149
  42.10000	   0.14472
  42.20000	   0.12844
  42.30000	   0.17587
  42.40000	   0.13768
  42.50000	   0.12280
  42.60000	   0.13033
  42.70000	   0.12232
  42.80000	   0.09973
  42.90000	   0.07312
  43.00000	   0.18949
  43.10000	   0.09434
  43.20000	   0.02072
  43.30000	   0.04603
  43.40000	   0.00392
  43.50000	  -0.02607
  43.60000	  -0.04327
  43.70000	  -0.02136
  43.80000	  -0.02802
  43.90000	  -0.01562
  44.00000	  -0.03715
  44.10000	  -0.08240
  44.20000	  -0.06942
  44.30000	  -0.00340
  44.40000	  -0.04258
  44.50000	  -0.09212
  44.60000	  -0.08455
  44.70000	   0.03984
  44.80000	   0.02760
  44.90000	  -0.01220
  45.00000	  -0.03918
  45.10000	  -0.06234
  45.20000	  -0.03315
  45.30000	   0.08169
  45.40000	   0.00028
  45.50000	  -0.01699
  45.60000	   0.00203
  45.70000	  -0.00089
  45.80000	   0.04617
  45.90000	   0.11966
  46.00000	   0.10171
  46.10000	   0.03258
