# gamma	ks
  26.98102	  55.51557
   0.00000	  -0.36268
   0.10000	  -0.29609
   0.20000	  -0.23045
   0.30000	  -0.19296
   0.40000	  -0.16829
   0.50000	  -0.13281
   0.60000	  -0.15886
   0.70000	  -0.06955
   0.80000	  -0.09124
   0.90000	   0.00158
   1.00000	   0.08963
   1.10000	   0.10775
   1.20000	   0.09647
   1.30000	   0.08337
   1.40000	   0.13794
   1.50000	   0.04804
   1.60000	   0.01600
   1.70000	   0.00614
   1.80000	  -0.09010
   1.90000	  -0.09153
   2.00000	  -0.22825
   2.10000	  -0.21067
   2.20000	  -0.22570
   2.30000	  -0.16265
   2.40000	  -0.09333
   2.50000	  -0.03735
   2.60000	  -0.05137
   2.70000	  -0.04429
   2.80000	  -0.04052
   2.90000	  -0.07234
   3.00000	  -0.07626
   3.10000	   0.02353
   3.20000	   0.10369
   3.30000	   0.12805
   3.40000	   0.11196
   3.50000	   0.05837
   3.60000	   0.06907
   3.70000	   0.07149
   3.80000	   0.02237
   3.90000	   0.04620
   4.00000	   0.09159
   4.10000	  -0.01469
   4.20000	   0.05351
   4.30000	   0.04251
   4.40000	   0.06285
   4.50000	   0.07326
   4.60000	   0.07313
   4.70000	   0.13880
   4.80000	   0.12433
   4.90000	   0.05860
   5.00000	   0.08677
   5.10000	   0.04428
   5.20000	   0.09372
   5.30000	   0.24991
   5.40000	   0.22861
   5.50000	   0.32021
   5.60000	   0.24621
   5.70000	   0.19301
   5.80000	   0.25352
   5.90000	   0.32183
   6.00000	   0.23736
   6.10000	   0.05089
   6.20000	   0.05107
   6.30000	  -0.00771
   6.40000	   0.00542
   6.50000	   0.01783
   6.60000	   0.17196
   6.70000	   0.20092
   6.80000	   0.25034
   6.90000	   0.13999
   7.00000	   0.17209
   7.10000	   0.28086
   7.20000	   0.26290
   7.30000	   0.23939
   7.40000	   0.29862
   7.50000	   0.26252
   7.60000	   0.20514
   7.70000	   0.20183
   7.80000	   0.13283
   7.90000	   0.08098
   8.00000	  -0.01198
   8.10000	  -0.04429
   8.20000	  -0.05076
   8.30000	  -0.05275
   8.40000	   0.09839
   8.50000	   0.07173
   8.60000	  -0.07719
   8.70000	  -0.10641
   8.80000	  -0.12814
   8.90000	  -0.06446
   9.00000	  -0.04945
   9.10000	   0.05182
   9.20000	   0.05307
   9.30000	  -0.04860
   9.40000	  -0.08084
   9.50000	  -0.14807
   9.60000	  -0.14248
   9.70000	  -0.13949
   9.80000	  -0.04254
   9.90000	   0.00861
  10.00000	  -0.07430
  10.10000	   0.04534
  10.20000	   0.06134
  10.30000	   0.10111
  10.40000	   0.14552
  10.50000	   0.05411
  10.60000	  -0.07348
  10.70000	  -0.15387
  10.80000	  -0.11699
  10.90000	  -0.04258
  11.00000	  -0.03917
  11.10000	   0.00018
  11.20000	   0.00877
  11.30000	   0.02878
  11.40000	   0.06212
  11.50000	   0.00539
  11.60000	  -0.06021
  11.70000	  -0.17259
  11.80000	  -0.33037
  11.90000	  -0.37669
  12.00000	  -0.27037
  12.10000	  -0.24526
  12.20000	  -0.07711
  12.30000	  -0.06641
  12.40000	  -0.11143
  12.50000	  -0.15634
  12.60000	  -0.26801
  12.70000	  -0.26805
  12.80000	  -0.20967
  12.90000	  -0.16448
  13.00000	  -0.19119
  13.10000	  -0.04247
  13.20000	   0.02655
  13.30000	   0.07938
  13.40000	  -0.00881
  13.50000	   0.03724
  13.60000	   0.06411
  13.70000	   0.04811
  13.80000	   0.12378
  13.90000	   0.19816
  14.00000	   0.28432
  14.10000	   0.26306
  14.20000	   0.22536
  14.30000	   0.20894
  14.40000	   0.08874
  14.50000	   0.17520
  14.60000	   0.11204
  14.70000	  -0.01170
  14.80000	   0.00517
  14.90000	   0.05342
  15.00000	   0.06969
  15.10000	   0.05524
  15.20000	   0.14148
  15.30000	   0.16061
  15.40000	   0.21585
  15.50000	   0.18973
  15.60000	   0.20171
  15.70000	   0.21363
  15.80000	   0.10801
  15.90000	  -0.00280
  16.00000	  -0.01359
  16.10000	  -0.08302
  16.20000	  -0.10977
  16.30000	  -0.13023
  16.40000	  -0.08877
  16.50000	  -0.06311
  16.60000	   0.04428
  16.70000	   0.19283
  16.80000	   0.23980
  16.90000	   0.28021
  17.00000	   0.28542
  17.10000	   0.29191
  17.20000	   0.21685
  17.30000	   0.09288
  17.40000	   0.04715
  17.50000	  -0.03260
  17.60000	  -0.02435
  17.70000	  -0.00892
  17.80000	  -0.03125
  17.90000	  -0.04503
  18.00000	  -0.03844
  18.10000	  -0.11468
  18.20000	  -0.19543
  18.30000	  -0.19249
  18.40000	  -0.27133
  18.50000	  -0.30013
  18.60000	  -0.23907
  18.70000	  -0.22100
  18.80000	  -0.27239
  18.90000	  -0.22158
  19.00000	  -0.13729
  19.10000	  -0.03683
  19.20000	   0.00541
  19.30000	   0.19862
  19.40000	   0.13902
  19.50000	   0.02035
  19.60000	  -0.03810
  19.70000	   0.02007
  19.80000	  -0.06940
  19.90000	  -0.16542
  20.00000	  -0.24585
  20.10000	  -0.27217
  20.20000	  -0.29757
  20.30000	  -0.29849
  20.40000	  -0.25114
  20.50000	  -0.18901
  20.60000	  -0.13267
  20.70000	  -0.04051
