# gamma	ks
  43.38427	  45.28369
   0.00000	   0.29100
   0.10000	   0.24516
   0.20000	   0.22309
   0.30000	   0.17876
   0.40000	   0.04682
   0.50000	   0.03386
   0.60000	   0.01191
   0.70000	   0.03153
   0.80000	  -0.00170
   0.90000	   0.06671
   1.00000	   0.05410
   1.10000	  -0.02706
   1.20000	  -0.08931
   1.30000	  -0.05113
   1.40000	   0.12713
   1.50000	   0.13431
   1.60000	   0.11465
   1.70000	  -0.02976
   1.80000	  -0.00687
   1.90000	   0.12070
   2.00000	   0.15561
   2.10000	   0.21385
   2.20000	   0.23006
   2.30000	   0.17717
   2.40000	   0.21500
   2.50000	   0.19133
   2.60000	   0.11928
   2.70000	   0.06149
   2.80000	   0.09073
   2.90000	   0.11725
   3.00000	   0.12184
   3.10000	   0.13015
   3.20000	   0.17554
   3.30000	   0.07869
   3.40000	   0.02313
   3.50000	   0.00375
   3.60000	   0.02150
   3.70000	  -0.04734
   3.80000	  -0.04243
   3.90000	   0.04727
   4.00000	   0.10544
   4.10000	   0.04228
   4.20000	   0.03840
   4.30000	   0.05030
   4.40000	   0.04486
   4.50000	   0.02422
   4.60000	   0.02086
   4.70000	   0.06912
   4.80000	   0.10077
   4.90000	   0.00838
   5.00000	  -0.03158
   5.10000	   0.09680
   5.20000	   0.09063
   5.30000	   0.06653
   5.40000	   0.03236
   5.50000	   0.09897
   5.60000	   0.18288
   5.70000	   0.29701
   5.80000	   0.33548
   5.90000	   0.27036
   6.00000	   0.24716
   6.10000	   0.16074
   6.20000	   0.18050
   6.30000	   0.19999
   6.40000	   0.19445
   6.50000	   0.16405
   6.60000	   0.24264
   6.70000	   0.25547
   6.80000	   0.20841
   6.90000	   0.18595
   7.00000	   0.09652
   7.10000	   0.08921
   7.20000	   0.01383
   7.30000	  -0.02368
   7.40000	   0.00411
   7.50000	   0.11591
   7.60000	   0.17274
   7.70000	   0.16507
   7.80000	   0.09312
   7.90000	   0.11771
   8.00000	   0.18635
   8.10000	   0.23011
   8.20000	   0.19705
   8.30000	   0.19617
   8.40000	   0.19280
   8.50000	   0.20573
   8.60000	   0.22616
   8.70000	   0.12602
   8.80000	   0.08617
   8.90000	  -0.04042
   9.00000	  -0.04037
   9.10000	  -0.13662
   9.20000	  -0.13344
   9.30000	  -0.02638
   9.40000	  -0.03364
   9.50000	  -0.02063
   9.60000	   0.02630
   9.70000	  -0.01697
   9.80000	  -0.09595
   9.90000	  -0.15475
  10.00000	  -0.19923
  10.10000	  -0.21510
  10.20000	  -0.19646
  10.30000	  -0.21267
  10.40000	  -0.19743
  10.50000	  -0.14789
  10.60000	  -0.20529
  10.70000	  -0.21096
  10.80000	  -0.13416
  10.90000	  -0.15714
  11.00000	  -0.10530
  11.10000	  -0.08725
  11.20000	  -0.03106
  11.30000	  -0.11094
  11.40000	  -0.17551
  11.50000	  -0.16863
  11.60000	  -0.18608
  11.70000	  -0.11719
  11.80000	  -0.07436
  11.90000	  -0.07926
  12.00000	  -0.10284
  12.10000	  -0.07196
  12.20000	  -0.03634
  12.30000	  -0.03133
  12.40000	  -0.00360
  12.50000	  -0.04175
  12.60000	  -0.00952
  12.70000	  -0.05157
  12.80000	  -0.05912
  12.90000	  -0.10678
  13.00000	  -0.10122
  13.10000	  -0.10766
  13.20000	  -0.09794
  13.30000	  -0.10324
  13.40000	  -0.06687
  13.50000	  -0.02198
  13.60000	  -0.01460
  13.70000	  -0.03051
  13.80000	   0.02633
  13.90000	   0.00775
  14.00000	  -0.09749
  14.10000	  -0.14241
  14.20000	  -0.20421
  14.30000	  -0.12450
  14.40000	  -0.11921
  14.50000	  -0.03906
  14.60000	   0.02928
  14.70000	   0.03945
  14.80000	   0.06833
  14.90000	   0.18420
  15.00000	   0.10335
  15.10000	   0.10068
  15.20000	   0.07577
  15.30000	   0.00883
  15.40000	   0.02695
  15.50000	   0.08284
  15.60000	   0.16815
  15.70000	   0.20603
  15.80000	   0.22337
  15.90000	   0.26695
  16.00000	   0.24070
  16.10000	   0.15667
  16.20000	   0.21370
  16.30000	   0.12035
  16.40000	   0.09135
  16.50000	   0.06087
  16.60000	  -0.05591
  16.70000	  -0.07946
  16.80000	  -0.10980
  16.90000	  -0.15838
  17.00000	  -0.13523
  17.10000	  -0.05521
  17.20000	  -0.04697
  17.30000	  -0.01260
  17.40000	   0.10954
  17.50000	   0.07598
  17.60000	   0.04852
  17.70000	   0.07644
  17.80000	   0.00107
  17.90000	  -0.13202
  18.00000	  -0.08580
  18.10000	  -0.12776
  18.20000	  -0.23924
  18.30000	  -0.21590
  18.40000	  -0.21501
  18.50000	  -0.23289
  18.60000	  -0.26767
  18.70000	  -0.30947
  18.80000	  -0.37180
  18.90000	  -0.42873
  19.00000	  -0.41136
  19.10000	  -0.34455
  19.20000	  -0.24357
  19.30000	  -0.21796
  19.40000	  -0.16025
  19.50000	  -0.22944
  19.60000	  -0.23138
  19.70000	  -0.24478
  19.80000	  -0.18726
  19.90000	  -0.23212
  20.00000	  -0.29817
  20.10000	  -0.23041
  20.20000	  -0.24239
  20.30000	  -0.24905
  20.40000	  -0.26137
  20.50000	  -0.23856
  20.60000	  -0.29829
  20.70000	  -0.32848
  20.80000	  -0.26236
  20.90000	  -0.26432
  21.00000	  -0.31272
  21.10000	  -0.31241
  21.20000	  -0.26891
  21.30000	  -0.25680
  21.40000	  -0.23213
  21.50000	  -0.16695
  21.60000	  -0.13529
  21.70000	  -0.19126
  21.80000	  -0.25150
  21.90000	  -0.30608
  22.00000	  -0.24670
  22.10000	  -0.20550
  22.20000	  -0.09777
  22.30000	  -0.06835
  22.40000	  -0.09644
  22.50000	  -0.07367
  22.60000	  -0.10073
  22.70000	  -0.07236
  22.80000	  -0.05490
  22.90000	  -0.03027
  23.00000	  -0.11851
  23.10000	  -0.12630
  23.20000	  -0.00264
  23.30000	   0.00221
  23.40000	  -0.01607
  23.50000	  -0.05907
  23.60000	  -0.06045
  23.70000	  -0.19508
  23.80000	  -0.20519
  23.90000	  -0.16960
  24.00000	  -0.26918
  24.10000	  -0.20618
  24.20000	  -0.19133
  24.30000	  -0.20299
  24.40000	  -0.13008
  24.50000	  -0.14948
  24.60000	  -0.12060
  24.70000	  -0.13738
  24.80000	  -0.17950
  24.90000	  -0.26721
  25.00000	  -0.32653
  25.10000	  -0.25360
  25.20000	  -0.19278
  25.30000	  -0.21727
  25.40000	  -0.22881
  25.50000	  -0.29017
  25.60000	  -0.32492
  25.70000	  -0.34776
  25.80000	  -0.40098
  25.90000	  -0.35288
  26.00000	  -0.25938
  26.10000	  -0.03349
  26.20000	   0.08502
  26.30000	   0.07458
  26.40000	   0.09691
  26.50000	   0.10659
  26.60000	   0.09682
  26.70000	   0.12407
  26.80000	   0.08465
  26.90000	   0.05753
  27.00000	   0.04015
  27.10000	  -0.06275
  27.20000	  -0.05604
  27.30000	  -0.15056
  27.40000	  -0.20563
  27.50000	  -0.19946
  27.60000	  -0.27547
  27.70000	  -0.23788
  27.80000	  -0.13442
  27.90000	  -0.14476
  28.00000	  -0.16923
  28.10000	  -0.02254
  28.20000	   0.09055
  28.30000	   0.11391
  28.40000	   0.07065
  28.50000	   0.01230
  28.60000	   0.00487
  28.70000	   0.00691
  28.80000	  -0.01938
  28.90000	   0.00423
  29.00000	   0.02602
  29.10000	  -0.06679
  29.20000	  -0.04616
  29.30000	  -0.13318
  29.40000	  -0.07720
  29.50000	  -0.08391
  29.60000	  -0.14435
  29.70000	  -0.19224
  29.80000	  -0.21707
  29.90000	  -0.15794
  30.00000	  -0.15194
  30.10000	  -0.13472
  30.20000	  -0.15409
  30.30000	  -0.14531
  30.40000	  -0.12524
  30.50000	  -0.10538
  30.60000	  -0.01746
  30.70000	  -0.06337
  30.80000	  -0.15829
  30.90000	  -0.11105
  31.00000	   0.04617
  31.10000	   0.14381
  31.20000	   0.15404
  31.30000	   0.02432
  31.40000	   0.00681
  31.50000	  -0.02612
  31.60000	  -0.07088
  31.70000	  -0.01728
  31.80000	   0.02649
  31.90000	   0.07598
  32.00000	   0.07963
  32.10000	   0.14580
  32.20000	   0.19702
  32.30000	   0.12404
  32.40000	   0.10598
  32.50000	   0.05561
  32.60000	   0.03259
  32.70000	   0.08009
  32.80000	   0.09220
  32.90000	   0.14582
  33.00000	   0.12424
  33.10000	   0.05746
  33.20000	   0.00707
  33.30000	  -0.03592
  33.40000	  -0.07815
  33.50000	  -0.01792
  33.60000	   0.08896
  33.70000	   0.10129
  33.80000	   0.05502
  33.90000	   0.06388
  34.00000	   0.12472
  34.10000	   0.13604
  34.20000	   0.11030
  34.30000	   0.07131
  34.40000	   0.16145
  34.50000	   0.22206
  34.60000	   0.14098
  34.70000	   0.01515
  34.80000	   0.03595
  34.90000	  -0.01912
  35.00000	  -0.13983
  35.10000	  -0.21351
  35.20000	  -0.20452
  35.30000	  -0.09891
  35.40000	  -0.03456
  35.50000	  -0.04386
  35.60000	  -0.08847
  35.70000	  -0.00874
  35.80000	  -0.06222
  35.90000	  -0.11649
  36.00000	  -0.07671
  36.10000	   0.03221
  36.20000	   0.11512
  36.30000	   0.14161
  36.40000	   0.15445
  36.50000	   0.10110
  36.60000	   0.11182
  36.70000	   0.16725
  36.80000	   0.04055
  36.90000	   0.03586
  37.00000	   0.00721
  37.10000	  -0.02280
  37.20000	  -0.04736
  37.30000	  -0.03789
  37.40000	   0.03149
  37.50000	   0.02036
  37.60000	  -0.11545
  37.70000	  -0.17380
  37.80000	  -0.13368
  37.90000	  -0.15398
  38.00000	  -0.09437
  38.10000	  -0.04893
  38.20000	   0.03344
  38.30000	   0.05223
  38.40000	   0.03244
  38.50000	   0.02648
  38.60000	  -0.03295
  38.70000	  -0.12391
  38.80000	  -0.16940
  38.90000	  -0.21190
  39.00000	  -0.12286
  39.10000	  -0.02638
  39.20000	   0.01756
  39.30000	  -0.00808
  39.40000	  -0.03252
  39.50000	   0.02725
  39.60000	  -0.01425
  39.70000	   0.00815
  39.80000	   0.10466
  39.90000	   0.00845
  40.00000	  -0.01931
  40.10000	  -0.00071
  40.20000	   0.09335
  40.30000	   0.10199
  40.40000	   0.08125
  40.50000	   0.10796
  40.60000	   0.10887
  40.70000	   0.04397
  40.80000	  -0.07598
  40.90000	  -0.07502
  41.00000	  -0.10866
  41.10000	   0.05987
  41.20000	  -0.03107
  41.30000	  -0.09509
  41.40000	  -0.10506
  41.50000	  -0.10638
  41.60000	  -0.14318
  41.70000	  -0.14945
