# gamma	ks
  51.63854	  69.61881
   0.00000	  -0.19235
   0.10000	  -0.26188
   0.20000	  -0.25012
   0.30000	  -0.27098
   0.40000	  -0.26517
   0.50000	  -0.29925
   0.60000	  -0.21036
   0.70000	  -0.25688
   0.80000	  -0.15080
   0.90000	  -0.17762
   1.00000	  -0.17704
   1.10000	  -0.19356
   1.20000	  -0.20069
   1.30000	  -0.18038
   1.40000	  -0.13474
   1.50000	  -0.17353
   1.60000	  -0.12020
   1.70000	  -0.05066
   1.80000	  -0.02418
   1.90000	  -0.05749
   2.00000	  -0.09045
   2.10000	  -0.03215
   2.20000	  -0.02796
   2.30000	  -0.17427
   2.40000	  -0.10097
   2.50000	  -0.08327
   2.60000	  -0.05534
   2.70000	  -0.00431
   2.80000	   0.01551
   2.90000	   0.09511
   3.00000	   0.07362
   3.10000	  -0.00959
   3.20000	  -0.01190
   3.30000	   0.04147
   3.40000	   0.04302
   3.50000	   0.05170
   3.60000	   0.12381
   3.70000	   0.10879
   3.80000	   0.11576
   3.90000	   0.14941
   4.00000	   0.15779
   4.10000	   0.08222
   4.20000	   0.07170
   4.30000	   0.02577
   4.40000	   0.06600
   4.50000	   0.02259
   4.60000	  -0.01072
   4.70000	   0.03123
   4.80000	   0.10722
   4.90000	   0.21774
   5.00000	   0.21806
   5.10000	   0.22709
   5.20000	   0.31010
   5.30000	   0.23979
   5.40000	   0.18501
   5.50000	   0.10735
   5.60000	   0.13595
   5.70000	   0.18739
   5.80000	   0.15152
   5.90000	   0.04888
   6.00000	   0.05959
   6.10000	   0.05797
   6.20000	   0.01316
   6.30000	   0.10242
   6.40000	   0.05531
   6.50000	   0.05903
   6.60000	  -0.00812
   6.70000	  -0.00351
   6.80000	  -0.09911
   6.90000	  -0.08370
   7.00000	  -0.06031
   7.10000	  -0.14651
   7.20000	  -0.17173
   7.30000	  -0.20874
   7.40000	  -0.18151
   7.50000	  -0.19572
   7.60000	  -0.20671
   7.70000	  -0.23977
   7.80000	  -0.29892
   7.90000	  -0.29776
   8.00000	  -0.38725
   8.10000	  -0.43104
   8.20000	  -0.33857
   8.30000	  -0.21383
   8.40000	  -0.17607
   8.50000	  -0.12446
   8.60000	  -0.12760
   8.70000	  -0.04090
   8.80000	  -0.01646
   8.90000	  -0.05437
   9.00000	  -0.12120
   9.10000	  -0.19355
   9.20000	  -0.18348
   9.30000	  -0.24872
   9.40000	  -0.22801
   9.50000	  -0.17047
   9.60000	  -0.05692
   9.70000	   0.05881
   9.80000	   0.09363
   9.90000	   0.02351
  10.00000	  -0.08507
  10.10000	  -0.10379
  10.20000	  -0.06227
  10.30000	  -0.11162
  10.40000	  -0.08369
  10.50000	   0.02300
  10.60000	   0.01120
  10.70000	  -0.04717
  10.80000	  -0.04561
  10.90000	  -0.04788
  11.00000	  -0.03715
  11.10000	   0.00446
  11.20000	  -0.02272
  11.30000	  -0.07253
  11.40000	  -0.10067
  11.50000	  -0.09870
  11.60000	  -0.10510
  11.70000	  -0.06935
  11.80000	  -0.00120
  11.90000	  -0.08440
  12.00000	  -0.11546
  12.10000	  -0.07670
  12.20000	  -0.10862
  12.30000	  -0.05183
  12.40000	  -0.07186
  12.50000	  -0.12825
  12.60000	  -0.12397
  12.70000	  -0.22687
  12.80000	  -0.20953
  12.90000	  -0.25583
  13.00000	  -0.02354
  13.10000	   0.02274
  13.20000	   0.14179
  13.30000	   0.11490
  13.40000	   0.14831
  13.50000	   0.22397
  13.60000	   0.20452
  13.70000	   0.10499
  13.80000	   0.07801
  13.90000	   0.09259
  14.00000	   0.12946
  14.10000	   0.19443
  14.20000	   0.18769
  14.30000	   0.12627
  14.40000	   0.15625
  14.50000	   0.14028
  14.60000	  -0.01286
  14.70000	  -0.08657
  14.80000	  -0.08542
  14.90000	  -0.10017
  15.00000	  -0.09978
  15.10000	  -0.12753
  15.20000	  -0.15242
  15.30000	  -0.05932
  15.40000	  -0.10415
  15.50000	  -0.09858
  15.60000	  -0.05959
