# gamma	ks
  69.77171	  68.86396
   0.00000	   0.10025
   0.10000	   0.10715
   0.20000	   0.03873
   0.30000	   0.01885
   0.40000	   0.03104
   0.50000	  -0.01960
   0.60000	  -0.02971
   0.70000	   0.07382
   0.80000	   0.02663
   0.90000	  -0.01317
   1.00000	  -0.05849
   1.10000	  -0.02504
   1.20000	   0.01588
   1.30000	  -0.02732
   1.40000	  -0.00209
   1.50000	  -0.00479
   1.60000	   0.07872
   1.70000	   0.03960
   1.80000	   0.04866
   1.90000	   0.08891
   2.00000	   0.11710
   2.10000	   0.12202
   2.20000	   0.16385
   2.30000	   0.22436
   2.40000	   0.22651
   2.50000	   0.20071
   2.60000	   0.15464
   2.70000	   0.08296
   2.80000	   0.14376
   2.90000	   0.05703
   3.00000	  -0.02045
   3.10000	  -0.03342
   3.20000	   0.01464
   3.30000	   0.02307
   3.40000	   0.07360
   3.50000	   0.13455
   3.60000	   0.21508
   3.70000	   0.16965
   3.80000	   0.18554
   3.90000	   0.16810
   4.00000	   0.15663
   4.10000	   0.15840
   4.20000	   0.10127
   4.30000	   0.09409
   4.40000	   0.14244
   4.50000	   0.14435
   4.60000	   0.12794
   4.70000	   0.09142
   4.80000	  -0.00328
   4.90000	   0.07014
   5.00000	   0.04045
   5.10000	   0.03855
   5.20000	   0.13880
   5.30000	   0.10458
   5.40000	   0.05790
   5.50000	   0.06545
   5.60000	  -0.03946
   5.70000	  -0.13253
   5.80000	  -0.11821
   5.90000	  -0.09308
   6.00000	  -0.07560
   6.10000	  -0.06787
   6.20000	   0.01036
   6.30000	  -0.05378
   6.40000	   0.05142
   6.50000	   0.01811
   6.60000	   0.01708
   6.70000	  -0.03008
   6.80000	  -0.03333
   6.90000	  -0.00787
   7.00000	  -0.07774
   7.10000	  -0.07828
   7.20000	  -0.02720
   7.30000	   0.00543
   7.40000	  -0.00090
   7.50000	  -0.01873
   7.60000	  -0.04853
   7.70000	  -0.10315
   7.80000	  -0.10718
   7.90000	  -0.01351
   8.00000	  -0.11244
   8.10000	  -0.05913
   8.20000	  -0.05098
   8.30000	  -0.07151
   8.40000	  -0.05772
   8.50000	  -0.05785
   8.60000	  -0.10889
   8.70000	  -0.10515
   8.80000	  -0.06529
   8.90000	  -0.04465
   9.00000	  -0.12866
   9.10000	  -0.08615
   9.20000	  -0.03635
   9.30000	  -0.05005
   9.40000	  -0.00619
   9.50000	   0.01764
   9.60000	   0.10136
   9.70000	   0.04873
   9.80000	   0.06403
   9.90000	   0.04864
  10.00000	   0.09570
  10.10000	   0.09243
  10.20000	   0.02615
  10.30000	  -0.00719
  10.40000	  -0.04958
  10.50000	  -0.17638
  10.60000	  -0.15155
  10.70000	  -0.10428
  10.80000	  -0.12066
  10.90000	  -0.13721
  11.00000	  -0.15946
  11.10000	  -0.07408
  11.20000	  -0.06802
  11.30000	   0.07721
  11.40000	   0.14466
  11.50000	   0.12777
  11.60000	   0.17172
  11.70000	   0.14865
  11.80000	  -0.07035
  11.90000	  -0.04708
  12.00000	   0.00573
  12.10000	   0.04908
  12.20000	   0.04422
  12.30000	  -0.02938
  12.40000	  -0.00410
  12.50000	  -0.02079
  12.60000	  -0.02575
  12.70000	   0.01955
  12.80000	   0.03160
  12.90000	   0.05119
  13.00000	   0.05592
  13.10000	   0.00755
  13.20000	   0.05485
  13.30000	   0.08384
  13.40000	   0.08647
  13.50000	   0.09225
  13.60000	   0.13917
  13.70000	   0.08664
  13.80000	   0.01561
  13.90000	   0.02553
  14.00000	   0.03984
  14.10000	   0.03791
  14.20000	   0.02203
  14.30000	   0.06073
  14.40000	   0.07737
  14.50000	   0.02605
  14.60000	  -0.03557
  14.70000	  -0.02807
  14.80000	  -0.03843
  14.90000	  -0.01604
  15.00000	  -0.08594
  15.10000	  -0.02902
  15.20000	   0.03686
  15.30000	   0.03962
  15.40000	   0.07947
  15.50000	   0.04414
  15.60000	   0.10320
  15.70000	   0.06470
  15.80000	   0.00054
  15.90000	  -0.00497
  16.00000	  -0.03722
  16.10000	   0.06417
  16.20000	   0.13091
  16.30000	   0.09066
  16.40000	   0.08754
  16.50000	   0.04828
  16.60000	   0.00083
  16.70000	  -0.05008
  16.80000	  -0.05882
  16.90000	   0.02322
  17.00000	   0.00896
  17.10000	  -0.03781
  17.20000	   0.02130
  17.30000	   0.00637
  17.40000	  -0.01221
  17.50000	  -0.03928
  17.60000	  -0.04143
  17.70000	  -0.19835
  17.80000	  -0.15938
  17.90000	  -0.12066
  18.00000	  -0.09221
  18.10000	  -0.06388
  18.20000	  -0.14943
  18.30000	  -0.16492
  18.40000	  -0.12979
  18.50000	  -0.12169
  18.60000	  -0.24108
  18.70000	  -0.28497
  18.80000	  -0.28612
  18.90000	  -0.27622
  19.00000	  -0.26110
  19.10000	  -0.24090
  19.20000	  -0.23914
  19.30000	  -0.29902
  19.40000	  -0.27133
  19.50000	  -0.22502
  19.60000	  -0.17022
  19.70000	  -0.06500
  19.80000	  -0.09354
  19.90000	  -0.00299
  20.00000	  -0.04077
  20.10000	   0.02748
  20.20000	   0.11988
  20.30000	   0.06997
  20.40000	   0.05139
  20.50000	   0.07721
  20.60000	   0.04465
  20.70000	   0.02571
  20.80000	  -0.01476
  20.90000	  -0.02653
  21.00000	  -0.08573
  21.10000	   0.00850
  21.20000	   0.00421
  21.30000	  -0.08341
  21.40000	  -0.06936
  21.50000	  -0.05145
  21.60000	  -0.02569
  21.70000	  -0.02145
  21.80000	  -0.06071
  21.90000	  -0.15351
  22.00000	  -0.13782
  22.10000	  -0.17280
  22.20000	  -0.14685
  22.30000	  -0.11003
  22.40000	  -0.06461
  22.50000	   0.03160
  22.60000	  -0.03605
  22.70000	  -0.04397
  22.80000	  -0.04695
  22.90000	  -0.02641
  23.00000	  -0.05388
  23.10000	  -0.10033
  23.20000	  -0.05043
  23.30000	  -0.07448
  23.40000	  -0.17052
  23.50000	  -0.21700
  23.60000	  -0.23799
  23.70000	  -0.30205
  23.80000	  -0.27329
  23.90000	  -0.29248
  24.00000	  -0.26366
  24.10000	  -0.32345
  24.20000	  -0.25260
  24.30000	  -0.28382
  24.40000	  -0.23918
  24.50000	  -0.26243
  24.60000	  -0.23164
  24.70000	  -0.29285
  24.80000	  -0.31367
  24.90000	  -0.29478
  25.00000	  -0.20940
  25.10000	  -0.18136
  25.20000	  -0.08085
  25.30000	  -0.11506
  25.40000	  -0.13998
  25.50000	  -0.03407
  25.60000	  -0.00121
  25.70000	   0.02190
  25.80000	   0.04789
  25.90000	   0.01707
  26.00000	   0.02568
  26.10000	   0.00580
  26.20000	  -0.04810
  26.30000	  -0.07987
  26.40000	  -0.09013
  26.50000	  -0.05570
  26.60000	  -0.01832
  26.70000	   0.00836
  26.80000	   0.01735
  26.90000	   0.07668
  27.00000	   0.08028
  27.10000	   0.10833
  27.20000	   0.15086
  27.30000	   0.17646
  27.40000	   0.20145
  27.50000	   0.20771
  27.60000	   0.13543
  27.70000	   0.11772
  27.80000	   0.03734
  27.90000	   0.08046
  28.00000	   0.03411
  28.10000	   0.01652
  28.20000	  -0.04211
  28.30000	  -0.09046
  28.40000	  -0.10434
  28.50000	  -0.09648
  28.60000	  -0.06783
  28.70000	  -0.08342
  28.80000	  -0.09146
  28.90000	  -0.10309
  29.00000	  -0.08619
  29.10000	  -0.10547
  29.20000	  -0.12426
  29.30000	  -0.16341
  29.40000	  -0.14499
  29.50000	  -0.07131
  29.60000	  -0.02882
  29.70000	  -0.00955
  29.80000	   0.07864
  29.90000	   0.12930
  30.00000	   0.06646
  30.10000	   0.08379
  30.20000	   0.05991
  30.30000	   0.05368
  30.40000	   0.18887
  30.50000	   0.12200
  30.60000	   0.09557
  30.70000	   0.03734
  30.80000	   0.02982
  30.90000	   0.05418
  31.00000	   0.03170
  31.10000	  -0.06810
