# gamma	ks
  76.07629	  84.25536
   0.00000	   0.20521
   0.10000	   0.15979
   0.20000	   0.12876
   0.30000	   0.12575
   0.40000	   0.02412
   0.50000	   0.04721
   0.60000	   0.00918
   0.70000	   0.09490
   0.80000	   0.10506
   0.90000	   0.00736
   1.00000	  -0.02519
   1.10000	   0.05700
   1.20000	   0.09803
   1.30000	   0.04503
   1.40000	   0.00053
   1.50000	  -0.03982
   1.60000	  -0.06631
   1.70000	   0.04190
   1.80000	   0.05099
   1.90000	   0.02975
   2.00000	  -0.05276
   2.10000	  -0.01028
   2.20000	   0.01785
   2.30000	   0.03549
   2.40000	   0.03856
   2.50000	   0.02195
   2.60000	   0.04630
   2.70000	   0.00889
   2.80000	  -0.01738
   2.90000	  -0.04132
   3.00000	   0.03877
   3.10000	   0.02376
   3.20000	   0.01378
   3.30000	   0.11337
   3.40000	   0.07545
   3.50000	   0.07679
   3.60000	   0.07043
   3.70000	   0.06230
   3.80000	   0.02750
   3.90000	   0.04468
   4.00000	  -0.00920
   4.10000	   0.01729
   4.20000	   0.10071
   4.30000	  -0.02489
   4.40000	  -0.08102
   4.50000	  -0.12529
   4.60000	  -0.06605
   4.70000	  -0.11979
   4.80000	  -0.03480
   4.90000	  -0.00774
   5.00000	  -0.02265
   5.10000	  -0.02087
   5.20000	  -0.06314
   5.30000	  -0.05735
   5.40000	  -0.00992
   5.50000	   0.05241
   5.60000	   0.03454
   5.70000	  -0.02984
   5.80000	   0.06852
   5.90000	   0.05641
   6.00000	   0.10119
   6.10000	   0.07963
   6.20000	   0.22396
   6.30000	   0.09783
   6.40000	   0.13328
   6.50000	   0.07327
   6.60000	   0.06773
   6.70000	   0.07407
   6.80000	   0.02633
   6.90000	  -0.02109
   7.00000	   0.00882
   7.10000	   0.08123
   7.20000	   0.02684
   7.30000	   0.08603
   7.40000	   0.14807
   7.50000	   0.12392
   7.60000	   0.13668
   7.70000	   0.14297
   7.80000	   0.15822
   7.90000	   0.01429
   8.00000	  -0.06307
   8.10000	  -0.14858
   8.20000	  -0.06580
   8.30000	  -0.08311
   8.40000	  -0.07264
   8.50000	  -0.05953
   8.60000	  -0.07862
   8.70000	  -0.14413
   8.80000	  -0.26800
   8.90000	  -0.27636
   9.00000	  -0.26230
   9.10000	  -0.21384
   9.20000	  -0.22756
   9.30000	  -0.20126
   9.40000	  -0.22242
   9.50000	  -0.20810
   9.60000	  -0.15797
   9.70000	  -0.13889
   9.80000	  -0.14332
   9.90000	  -0.12661
  10.00000	  -0.05248
  10.10000	  -0.07778
  10.20000	   0.06141
  10.30000	   0.06498
  10.40000	   0.11576
  10.50000	   0.10175
  10.60000	   0.10983
  10.70000	   0.06687
  10.80000	   0.06777
  10.90000	   0.00559
  11.00000	  -0.06792
  11.10000	  -0.09146
  11.20000	  -0.09752
  11.30000	  -0.18953
  11.40000	  -0.13023
  11.50000	  -0.09850
  11.60000	  -0.10142
  11.70000	  -0.05741
  11.80000	  -0.05225
  11.90000	  -0.03548
  12.00000	  -0.04292
  12.10000	   0.03910
  12.20000	   0.13130
  12.30000	   0.11721
  12.40000	   0.08724
  12.50000	   0.16207
  12.60000	   0.21950
  12.70000	   0.17699
  12.80000	   0.07194
  12.90000	   0.10752
  13.00000	   0.11154
  13.10000	   0.19152
  13.20000	   0.20051
  13.30000	   0.12630
  13.40000	   0.05859
  13.50000	   0.01342
  13.60000	   0.02374
  13.70000	   0.05129
  13.80000	   0.05913
  13.90000	   0.06010
  14.00000	   0.06246
  14.10000	   0.06716
  14.20000	  -0.02747
  14.30000	  -0.07232
  14.40000	  -0.07915
  14.50000	  -0.01256
  14.60000	  -0.04051
  14.70000	  -0.00075
  14.80000	   0.01031
  14.90000	   0.03355
  15.00000	   0.03819
  15.10000	   0.05690
  15.20000	   0.14284
  15.30000	   0.09937
  15.40000	   0.04851
  15.50000	   0.08825
  15.60000	   0.10932
  15.70000	   0.07509
  15.80000	   0.07380
  15.90000	   0.07077
  16.00000	   0.08606
  16.10000	   0.00954
  16.20000	  -0.01486
  16.30000	  -0.00378
  16.40000	  -0.03653
  16.50000	  -0.07338
  16.60000	  -0.10974
  16.70000	  -0.10533
  16.80000	  -0.03547
  16.90000	  -0.05668
  17.00000	  -0.03484
  17.10000	  -0.05342
  17.20000	  -0.08722
  17.30000	  -0.01882
  17.40000	  -0.06720
  17.50000	  -0.13365
  17.60000	  -0.24424
  17.70000	  -0.28013
  17.80000	  -0.32056
  17.90000	  -0.22053
  18.00000	  -0.18071
  18.10000	  -0.10588
  18.20000	  -0.11206
  18.30000	  -0.23786
  18.40000	  -0.27521
  18.50000	  -0.24629
  18.60000	  -0.25266
  18.70000	  -0.26206
  18.80000	  -0.39839
  18.90000	  -0.36542
  19.00000	  -0.22149
  19.10000	  -0.21752
  19.20000	  -0.25050
  19.30000	  -0.21864
  19.40000	  -0.15543
  19.50000	  -0.11744
  19.60000	  -0.04603
  19.70000	  -0.07105
  19.80000	  -0.12709
  19.90000	  -0.05082
  20.00000	  -0.06538
  20.10000	  -0.02517
  20.20000	  -0.03922
  20.30000	  -0.00599
  20.40000	   0.00892
  20.50000	  -0.04413
  20.60000	  -0.06185
  20.70000	  -0.05487
  20.80000	  -0.08122
  20.90000	  -0.04196
  21.00000	  -0.04305
  21.10000	  -0.03310
  21.20000	   0.03548
  21.30000	  -0.01765
  21.40000	  -0.03371
  21.50000	  -0.01024
  21.60000	  -0.02104
  21.70000	   0.03383
  21.80000	   0.02961
  21.90000	   0.01466
  22.00000	   0.06044
  22.10000	   0.11423
  22.20000	   0.12012
  22.30000	  -0.02194
  22.40000	  -0.03966
  22.50000	  -0.03878
  22.60000	  -0.02655
  22.70000	  -0.07213
  22.80000	  -0.00837
  22.90000	  -0.00151
  23.00000	   0.07119
  23.10000	   0.15409
  23.20000	   0.07642
  23.30000	   0.16589
  23.40000	   0.17673
  23.50000	   0.15948
  23.60000	   0.13538
  23.70000	   0.16905
  23.80000	   0.15785
  23.90000	   0.18068
  24.00000	   0.15624
  24.10000	   0.07278
  24.20000	   0.15565
  24.30000	   0.08940
  24.40000	   0.12336
  24.50000	   0.08695
  24.60000	   0.14623
  24.70000	   0.14615
  24.80000	   0.06400
  24.90000	   0.07566
  25.00000	   0.09269
  25.10000	   0.05668
  25.20000	  -0.00583
  25.30000	   0.04168
  25.40000	   0.06487
  25.50000	   0.11144
  25.60000	   0.04589
  25.70000	  -0.01310
  25.80000	  -0.12609
  25.90000	  -0.16979
  26.00000	  -0.15878
  26.10000	  -0.25911
  26.20000	  -0.15894
  26.30000	  -0.13951
  26.40000	  -0.15660
  26.50000	  -0.21266
  26.60000	  -0.09677
  26.70000	  -0.06764
  26.80000	   0.01884
  26.90000	   0.01357
  27.00000	   0.03409
  27.10000	  -0.01279
  27.20000	   0.00263
  27.30000	  -0.02781
  27.40000	  -0.01335
  27.50000	  -0.05096
  27.60000	   0.03378
  27.70000	   0.04324
  27.80000	  -0.03823
  27.90000	   0.00884
  28.00000	   0.04924
  28.10000	   0.05678
  28.20000	   0.08634
  28.30000	   0.13790
  28.40000	   0.17587
  28.50000	   0.09229
  28.60000	   0.08811
  28.70000	   0.04384
  28.80000	   0.06335
  28.90000	   0.05469
  29.00000	   0.02624
  29.10000	   0.00069
  29.20000	  -0.01715
  29.30000	  -0.03670
  29.40000	  -0.12190
  29.50000	  -0.06823
  29.60000	  -0.02322
  29.70000	  -0.07150
  29.80000	  -0.10258
  29.90000	  -0.09753
  30.00000	  -0.04335
  30.10000	  -0.03265
  30.20000	  -0.01422
  30.30000	  -0.01035
  30.40000	   0.06361
  30.50000	   0.06289
  30.60000	   0.14258
  30.70000	   0.10487
  30.80000	   0.04965
  30.90000	   0.10940
  31.00000	   0.06304
  31.10000	   0.10312
  31.20000	   0.13243
  31.30000	   0.13652
  31.40000	   0.12326
  31.50000	   0.05591
  31.60000	   0.06313
  31.70000	  -0.05397
  31.80000	  -0.04802
  31.90000	  -0.01038
  32.00000	   0.00054
  32.10000	   0.01889
  32.20000	   0.06412
  32.30000	   0.03528
  32.40000	   0.11399
  32.50000	   0.09297
  32.60000	   0.09353
  32.70000	   0.06019
  32.80000	   0.03804
  32.90000	   0.08013
  33.00000	   0.12147
  33.10000	   0.13982
  33.20000	   0.15421
  33.30000	   0.16108
  33.40000	   0.22247
  33.50000	   0.13725
  33.60000	   0.17939
  33.70000	   0.16415
  33.80000	   0.14725
