# gamma	ks
  69.45639	  73.65966
   0.00000	  -0.00005
   0.10000	  -0.01982
   0.20000	   0.02265
   0.30000	  -0.03072
   0.40000	  -0.03985
   0.50000	   0.00648
   0.60000	  -0.01220
   0.70000	  -0.04305
   0.80000	   0.00272
   0.90000	  -0.00086
   1.00000	   0.03704
   1.10000	   0.04094
   1.20000	   0.08934
   1.30000	   0.04791
   1.40000	   0.06441
   1.50000	   0.05994
   1.60000	   0.13830
   1.70000	   0.21303
   1.80000	   0.16415
   1.90000	   0.13583
   2.00000	   0.07721
   2.10000	   0.05509
   2.20000	   0.05385
   2.30000	   0.18622
   2.40000	   0.25180
   2.50000	   0.26832
   2.60000	   0.27302
   2.70000	   0.25679
   2.80000	   0.27627
   2.90000	   0.25050
   3.00000	   0.25638
   3.10000	   0.23516
   3.20000	   0.22447
   3.30000	   0.23829
   3.40000	   0.18723
   3.50000	   0.13396
   3.60000	   0.12739
   3.70000	   0.13597
   3.80000	   0.05024
   3.90000	   0.01059
   4.00000	   0.06921
   4.10000	   0.06321
   4.20000	  -0.00201
   4.30000	  -0.06692
   4.40000	  -0.02741
   4.50000	  -0.02973
   4.60000	  -0.03430
   4.70000	  -0.08115
   4.80000	  -0.08601
   4.90000	  -0.04918
   5.00000	  -0.00652
   5.10000	  -0.11869
   5.20000	  -0.02739
   5.30000	  -0.01396
   5.40000	   0.05366
   5.50000	  -0.02819
   5.60000	  -0.01966
   5.70000	  -0.08733
   5.80000	  -0.02694
   5.90000	  -0.01699
   6.00000	   0.05194
   6.10000	   0.14961
   6.20000	   0.09898
   6.30000	   0.07946
   6.40000	   0.03955
   6.50000	  -0.07079
   6.60000	  -0.07708
   6.70000	  -0.06557
   6.80000	   0.00527
   6.90000	  -0.00887
   7.00000	  -0.06272
   7.10000	  -0.01307
   7.20000	  -0.02785
   7.30000	  -0.04738
   7.40000	  -0.06921
   7.50000	  -0.05255
   7.60000	   0.00316
   7.70000	   0.10090
   7.80000	   0.08114
   7.90000	   0.00194
   8.00000	   0.06220
   8.10000	   0.13141
   8.20000	   0.06686
   8.30000	   0.11764
   8.40000	   0.20698
   8.50000	   0.11329
   8.60000	   0.07636
   8.70000	   0.09201
   8.80000	   0.05939
   8.90000	  -0.05870
   9.00000	   0.02033
   9.10000	  -0.11304
   9.20000	  -0.13873
   9.30000	  -0.14593
   9.40000	  -0.10685
   9.50000	  -0.11628
   9.60000	  -0.12762
   9.70000	  -0.15164
   9.80000	  -0.13408
   9.90000	  -0.08552
  10.00000	  -0.03988
  10.10000	  -0.05073
  10.20000	  -0.14681
  10.30000	  -0.03602
  10.40000	  -0.04208
  10.50000	  -0.03430
  10.60000	   0.09239
  10.70000	   0.05439
  10.80000	   0.01365
  10.90000	  -0.04002
  11.00000	  -0.02681
  11.10000	  -0.00281
  11.20000	  -0.02365
  11.30000	   0.02338
  11.40000	   0.05118
  11.50000	   0.05393
  11.60000	   0.12183
  11.70000	   0.14223
