# gamma	ks
  95.39760	  16.96044
   0.00000	   0.10789
   0.10000	   0.09214
   0.20000	   0.13118
   0.30000	   0.15010
   0.40000	   0.14602
   0.50000	   0.09127
   0.60000	   0.04630
   0.70000	   0.05547
   0.80000	   0.06165
   0.90000	  -0.00073
   1.00000	   0.00692
   1.10000	  -0.00512
   1.20000	  -0.08726
   1.30000	  -0.04445
   1.40000	  -0.06284
   1.50000	  -0.10298
   1.60000	  -0.04106
   1.70000	  -0.03551
   1.80000	  -0.02781
   1.90000	  -0.02514
   2.00000	  -0.00679
   2.10000	   0.04010
   2.20000	  -0.01939
   2.30000	  -0.03049
   2.40000	  -0.00641
   2.50000	  -0.02340
   2.60000	  -0.02882
   2.70000	   0.02175
   2.80000	  -0.00475
   2.90000	   0.01871
   3.00000	  -0.01638
   3.10000	  -0.08068
   3.20000	   0.00328
   3.30000	   0.02230
   3.40000	  -0.00206
   3.50000	   0.08662
   3.60000	   0.02443
   3.70000	  -0.02688
   3.80000	  -0.00331
   3.90000	  -0.02874
   4.00000	  -0.00282
   4.10000	   0.02329
   4.20000	   0.00739
   4.30000	  -0.01465
   4.40000	  -0.00962
   4.50000	  -0.05978
   4.60000	  -0.05449
   4.70000	   0.04089
   4.80000	   0.03321
   4.90000	   0.05863
   5.00000	   0.09752
   5.10000	   0.09660
   5.20000	   0.13393
   5.30000	   0.15360
   5.40000	   0.13049
   5.50000	   0.15553
   5.60000	   0.10040
   5.70000	   0.09035
   5.80000	   0.06050
   5.90000	   0.02071
   6.00000	  -0.00323
   6.10000	   0.06777
   6.20000	   0.16461
   6.30000	   0.17774
   6.40000	   0.15204
   6.50000	   0.12488
   6.60000	   0.08120
   6.70000	   0.13102
   6.80000	   0.12603
   6.90000	   0.10904
   7.00000	   0.01893
   7.10000	  -0.04047
   7.20000	  -0.05327
   7.30000	  -0.07327
   7.40000	  -0.06606
   7.50000	  -0.10360
   7.60000	  -0.02992
   7.70000	  -0.05620
   7.80000	  -0.11860
   7.90000	  -0.09685
   8.00000	  -0.03064
   8.10000	   0.06598
   8.20000	   0.03456
   8.30000	   0.00516
   8.40000	  -0.02848
   8.50000	   0.02450
   8.60000	  -0.00331
   8.70000	   0.11960
   8.80000	   0.09108
   8.90000	   0.12560
   9.00000	   0.10510
   9.10000	   0.03703
   9.20000	  -0.02009
   9.30000	  -0.05766
   9.40000	  -0.00779
   9.50000	  -0.00788
   9.60000	  -0.01713
   9.70000	  -0.00104
   9.80000	  -0.08964
   9.90000	  -0.04120
  10.00000	  -0.01390
  10.10000	  -0.01656
  10.20000	   0.02111
  10.30000	   0.00103
  10.40000	  -0.00923
  10.50000	  -0.02908
  10.60000	  -0.03763
  10.70000	  -0.09468
  10.80000	  -0.12492
  10.90000	  -0.16979
  11.00000	  -0.14719
  11.10000	  -0.09951
  11.20000	  -0.07857
  11.30000	  -0.07241
  11.40000	  -0.07668
  11.50000	  -0.09550
  11.60000	  -0.07550
  11.70000	  -0.02053
  11.80000	  -0.05773
  11.90000	  -0.10670
  12.00000	  -0.14733
  12.10000	  -0.23059
  12.20000	  -0.24195
  12.30000	  -0.22723
  12.40000	  -0.24332
  12.50000	  -0.18424
  12.60000	  -0.18049
  12.70000	  -0.23754
  12.80000	  -0.29421
  12.90000	  -0.34170
  13.00000	  -0.30917
  13.10000	  -0.22474
  13.20000	  -0.19186
  13.30000	  -0.21082
  13.40000	  -0.16476
  13.50000	  -0.18132
  13.60000	  -0.15722
  13.70000	  -0.15282
  13.80000	  -0.12500
  13.90000	  -0.14662
  14.00000	  -0.17539
  14.10000	  -0.25953
  14.20000	  -0.27387
  14.30000	  -0.30972
  14.40000	  -0.40988
  14.50000	  -0.41666
  14.60000	  -0.32326
  14.70000	  -0.30311
  14.80000	  -0.27258
  14.90000	  -0.26685
  15.00000	  -0.30077
  15.10000	  -0.31157
  15.20000	  -0.35577
  15.30000	  -0.29520
  15.40000	  -0.28778
  15.50000	  -0.24925
  15.60000	  -0.26356
  15.70000	  -0.26827
  15.80000	  -0.33168
  15.90000	  -0.35229
  16.00000	  -0.25930
  16.10000	  -0.29030
  16.20000	  -0.27531
  16.30000	  -0.20725
  16.40000	  -0.19174
  16.50000	  -0.23330
  16.60000	  -0.15442
  16.70000	  -0.13042
  16.80000	  -0.12092
  16.90000	  -0.19442
  17.00000	  -0.17922
  17.10000	  -0.13244
  17.20000	  -0.07717
  17.30000	   0.01490
  17.40000	   0.15784
  17.50000	   0.14427
  17.60000	   0.09919
  17.70000	   0.18351
  17.80000	   0.17161
  17.90000	   0.19314
  18.00000	   0.12256
  18.10000	   0.13829
  18.20000	   0.10366
  18.30000	   0.14282
  18.40000	   0.19887
  18.50000	   0.23902
  18.60000	   0.19433
  18.70000	   0.23435
  18.80000	   0.18349
  18.90000	   0.10735
  19.00000	   0.10428
  19.10000	   0.08385
  19.20000	   0.14663
  19.30000	   0.08912
  19.40000	   0.06334
  19.50000	   0.06056
  19.60000	  -0.02301
  19.70000	  -0.01746
